"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"US",NA,NA,NA,NA,NA,57.6,59.2,59.1,59.5,56.7,52.7,52.2,52.5,52.4,53.9,53.0,52.6,48.8,44.1,47.7,45.1,44.0,45.5,46.7,47.4,48.8,48.5,48.7,49.6,51.6,51.0,51.5,51.8,52.1,51.6,52.4,53.7,51.9,52.3,50.8,49.5,50.7
"CA",NA,NA,NA,NA,NA,5.5,6.0,6.8,7.3,7.1,7.3,7.3,7.7,7.4,7.8,7.2,7.0,7.3,6.9,7.5,8.1,7.7,8.3,9.6,10.2,10.5,11.1,12.3,13.4,14.4,15.4,15.8,16.0,16.6,17.2,17.7,18.1,18.2,17.7,17.7,18.0,18.1
"MX",NA,NA,NA,NA,NA,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.7,2.3,2.8,2.9,3.1,3.0,2.8,2.6,2.5,2.6,2.5,2.5,2.6,2.6,2.5,2.5,2.5,2.6,2.7,3.1,3.3,3.6,3.5,3.4,3.4,3.5,3.6,3.8,4.2
"BP_01",NA,NA,NA,NA,NA,64.3,66.4,67.1,68.1,65.2,61.4,60.9,61.7,61.5,64.0,63.0,62.5,59.2,54.0,58.1,55.8,54.2,56.4,58.8,60.2,61.9,62.2,63.6,65.5,68.5,68.9,70.0,70.9,72.0,72.4,73.5,75.2,73.4,73.5,72.1,71.3,73.0
"AR",NA,NA,NA,NA,NA,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.9,1.3,1.3,1.3,1.5,1.5,1.7,1.8,1.7,1.9,1.9,2.1,2.2,2.4,2.8,2.6,2.9,3.3,3.6,3.6,3.5,4.0,4.3,4.4,4.5
"BO",NA,NA,NA,NA,NA,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.5,0.6,0.8,1.0,1.1
"BR",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1.0,1.1,1.1,1.1
"CO",NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7
"TT",NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.4,1.5,1.7,2.4,2.6,2.9,3.4
"VE",NA,NA,NA,NA,NA,0.7,0.7,0.7,0.9,0.9,0.9,1.1,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.7,1.7,1.8,1.8,1.8,1.9,2.1,2.1,2.1,2.3,2.4,2.7,2.9,3.0,3.1,2.7,2.7,2.9,2.7,2.4,2.7,2.8,2.8
