title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2008_GasConsumption.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"US",41.9,45.1,47.6,50.9,54.9,57.9,59.7,60.4,60.4,58.1,53.5,54.5,53.5,53.8,55.5,54.3,53.2,49.3,46.1,49.0,47.3,44.4,47.2,49.3,52.4,52.5,53.6,55.3,57.0,58.2,60.8,61.8,62.3,60.9,61.4,63.8,60.9,63.0,61.0,61.2,60.3,59.3,63.2
"CA",2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.2,4.5,4.5,4.7,4.7,5.0,5.0,5.1,5.0,4.9,5.2,5.0,5.5,5.6,5.6,5.7,6.2,6.7,6.5,6.5,6.9,7.3,7.6,8.0,8.4,8.4,8.1,8.5,8.9,8.5,8.7,9.4,9.2,9.5,9.4,9.1
"MX",0.8,0.9,0.8,0.8,1.1,1.0,1.0,1.1,1.3,1.3,1.5,1.4,1.5,1.7,2.3,2.5,2.6,2.8,2.8,2.7,2.6,2.5,2.6,2.5,2.5,2.6,2.7,2.8,2.6,2.6,2.7,2.8,3.1,3.5,3.6,3.7,3.6,4.0,4.3,4.5,4.5,5.0,5.2
"BP_TNA",44.9,48.4,51.0,54.6,59.2,62.5,64.5,65.7,66.2,64.0,59.7,60.6,59.9,60.4,62.8,61.8,60.7,57.3,53.9,57.2,55.6,52.6,55.4,58.0,61.6,61.7,62.9,65.0,66.9,68.4,71.5,72.9,73.9,72.5,73.4,76.4,73.1,75.8,74.8,74.9,74.3,73.7,77.5
"AR",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.7,2.0,2.1,2.0,2.0,2.2,2.3,2.3,2.6,3.0,2.8,3.0,3.1,3.2,3.0,2.9,3.3,3.7,3.9,4.0,4.3
"BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.1,1.4,1.5,1.8,1.9,2.0,2.1
"CL",0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.4
"CO",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3
"VE",0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.9,0.9,0.9,1.1,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.7,1.7,1.8,1.8,1.8,1.9,2.1,2.1,2.1,2.3,2.4,2.7,2.9,3.0,3.1,2.7,2.7,2.9,2.7,2.4,2.7,2.7,2.7,2.8
