title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"US",432.7,465.9,492.4,527.6,567.9,598.6,617.1,625.8,624.4,601.0,553.2,564.8,552.8,555.8,573.2,562.9,549.5,509.7,476.7,508.3,489.3,459.3,487.4,510.5,541.4,542.9,553.9,572.8,588.7,601.6,628.8,640.2,643.8,629.9,634.4,660.7,629.7,651.5,630.8,634.0,623.3,613.1,652.9
"CA",22.7,24.9,26.4,29.5,32.9,36.4,38.8,43.7,46.4,46.9,48.5,48.9,51.3,51.8,52.6,52.2,50.7,53.7,51.2,56.8,58.0,57.8,58.6,64.2,69.4,67.2,67.7,71.7,75.9,78.5,82.5,86.6,87.2,83.4,87.4,92.8,88.2,90.2,97.7,95.1,98.1,96.9,94.0
"MX",8.6,9.3,7.8,8.4,11.1,10.8,10.7,11.7,12.9,13.4,15.0,14.7,15.2,17.2,23.9,25.8,27.3,29.0,28.9,27.9,27.1,26.1,26.4,26.2,26.3,27.2,28.2,28.9,26.5,27.0,28.1,28.6,32.3,36.0,36.8,38.3,37.7,41.4,44.5,47.1,46.2,51.4,54.1
"BP_TNA",464.1,500.0,526.7,565.4,611.9,645.7,666.7,681.2,683.7,661.3,616.7,628.4,619.3,624.8,649.6,640.9,627.4,592.4,556.8,593.1,574.4,543.3,572.4,600.9,637.0,637.3,649.8,673.4,691.1,707.1,739.4,755.4,763.3,749.4,758.6,791.8,755.6,783.1,773.0,776.2,767.6,761.4,801.0
"AR",4.2,4.6,4.8,5.3,5.3,6.0,6.5,7.3,8.3,8.8,9.0,10.1,10.6,10.3,10.6,11.5,12.1,13.7,14.7,15.7,16.0,17.3,17.3,20.2,21.2,20.3,20.7,22.3,23.6,24.2,27.0,31.0,28.5,30.5,32.4,33.2,31.1,30.3,34.6,37.9,40.4,41.8,44.1
"BR",0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.4,0.5,0.6,0.8,0.8,1.0,0.9,1.2,1.7,2.1,2.7,3.0,3.3,3.7,3.8,3.8,3.9,4.0,4.5,4.5,4.8,5.5,6.0,6.3,7.1,9.3,11.7,14.1,15.8,18.7,19.3,20.6,22.0
"CL",0.6,0.7,0.6,0.5,0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,1.0,1.6,1.7,1.5,1.7,1.6,1.7,1.6,1.7,2.6,3.6,4.9,6.4,7.2,7.3,7.9,8.6,8.3,7.9,4.4
"CO",0.9,1.0,1.2,1.2,1.3,1.3,1.4,1.7,1.7,1.7,1.6,1.7,2.0,2.5,2.9,3.2,3.4,3.6,3.8,3.9,4.0,4.1,4.2,4.3,4.0,4.1,4.1,4.0,4.2,4.2,4.4,4.7,5.9,6.2,5.2,5.9,6.1,6.1,6.0,6.3,6.8,7.3,7.7
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.2,0.3,0.3,0.3
"PE",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.8,0.8,0.5,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.3,0.4,0.4,0.5,0.9,1.5,1.8,2.7
"VE",6.8,7.1,7.8,8.0,8.3,7.7,7.5,7.4,9.1,9.7,9.4,11.7,12.7,12.8,14.4,14.8,14.9,15.9,15.6,17.3,17.3,19.1,18.6,19.0,19.5,22.0,21.9,21.6,23.3,24.7,27.5,29.7,30.8,32.3,27.4,27.9,29.6,28.4,25.2,28.4,28.1,27.9,28.5
"BP_OSCA",1.2,1.4,1.6,1.6,1.6,1.9,1.8,1.9,1.9,1.7,1.6,1.9,2.2,2.6,2.8,3.1,3.2,3.9,4.3,4.5,4.5,4.8,5.0,5.6,5.8,6.0,6.5,6.8,6.8,7.3,7.3,8.2,8.5,10.0,11.3,11.9,13.6,14.4,15.9,16.2,19.5,23.8,24.9
"BP_TSCA",14.3,15.3,16.4,17.3,17.9,18.1,18.5,19.6,22.2,23.3,23.2,27.1,29.4,30.3,32.8,34.9,35.9,39.9,41.7,45.0,46.0,49.7,49.7,54.5,56.5,58.4,59.0,61.0,64.5,67.1,73.2,81.3,82.7,89.4,88.8,95.1,99.8,101.2,106.0,117.3,124.3,131.3,134.5
"AT",1.8,2.0,1.9,2.0,2.4,2.9,3.4,3.6,4.0,4.3,4.3,4.9,5.0,5.2,5.2,5.0,4.8,4.6,4.7,5.2,5.6,5.4,5.7,5.4,5.8,6.4,6.8,6.7,7.0,7.2,7.9,8.4,8.1,8.3,8.5,8.1,8.6,8.5,9.4,9.5,10.0,9.4,8.9
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",13.6,15.1,14.9,14.7,15.5,15.8,15.1,11.8,8.7,8.1,8.0,5.9,5.6,5.2,5.6,5.4,7.8,7.8,8.0,8.6,8.9,9.4,8.3
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9.2,9.4,10.6,12.3,13.0,13.8,14.5,16.8,15.6,13.6,12.3,13.0,14.8,15.0,15.3,16.2,16.1,16.6,16.3,18.5,18.9,19.6,19.4
"BP_BELU",0.1,0.1,0.6,1.4,2.9,4.6,6.5,7.4,9.1,10.9,10.6,11.5,11.2,11.0,11.5,11.5,10.5,8.7,9.1,9.4,9.4,8.4,9.4,9.3,10.4,10.6,10.0,10.0,11.0,10.8,11.8,13.1,12.5,13.8,14.7,14.9,14.6,14.8,16.0,16.5,16.6,17.0,16.9
"BG",0.1,0.1,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.4,1.1,1.9,2.4,2.6,2.8,3.5,3.8,4.3,4.5,4.7,5.1,5.1,5.7,5.5,6.3,5.9,5.0,4.3,4.1,4.1,5.0,5.2,4.1,3.5,3.0,3.3,3.0,2.7,2.8,2.8,2.9,3.0,3.1
"CZ",0.3,0.4,0.4,0.5,0.7,0.8,1.0,1.1,1.2,1.4,1.5,1.8,2.3,2.5,2.9,3.7,3.5,3.6,3.7,4.1,4.1,4.5,4.9,4.9,5.1,5.4,5.9,5.8,5.9,6.3,7.3,8.4,8.5,8.5,8.6,8.3,8.9,8.7,8.7,9.1,9.6,9.8,8.9
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,1.1,1.5,1.8,1.9,2.0,2.3,2.4,2.8,3.0,3.5,4.1,4.4,4.8,5.0,4.9,5.1,5.2,5.2,5.2,5.0,5.1,4.6
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,0.9,0.8,0.9,0.9,0.9,0.7,0.7,0.6,0.7,0.9,1.1,1.5,1.6,2.1,2.5,2.6,2.7,2.8,3.1,3.2,3.3,3.2,3.7,3.7,3.7,4.1,4.0,4.5,4.3,4.0,4.2,4.1
"FR",5.5,5.8,6.6,7.9,9.5,10.3,12.4,14.7,17.4,19.1,18.9,21.1,22.7,23.2,25.9,26.2,27.2,26.7,24.7,26.1,25.8,26.9,27.8,26.2,27.1,29.3,30.6,31.4,32.3,30.9,32.9,36.1,34.6,37.0,37.7,39.7,41.7,41.7,43.3,44.5,45.8,44.1,41.9
"DE",2.9,3.5,4.5,7.4,10.6,15.0,19.8,25.7,33.1,41.4,43.7,46.3,49.1,52.7,58.2,57.4,54.9,50.9,52.9,55.3,54.6,54.5,59.1,58.2,59.5,59.9,62.9,63.0,66.4,67.9,74.4,83.6,79.2,79.7,80.2,79.5,82.9,82.6,85.5,85.9,86.2,87.2,82.7
