title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"US",397.4,428.3,452.2,484.1,521.1,549.2,566.2,572.0,567.3,547.6,502.7,512.7,502.3,504.0,520.8,509.9,497.6,462.6,434.0,463.5,446.1,418.1,444.5,464.9,494.0,494.0,504.8,522.0,535.0,547.5,571.3,581.7,585.2,575.3,577.3,600.4,573.9,593.7,577.0,577.9,569.1,559.2,595.7
"CA",20.5,22.4,23.8,26.5,29.6,32.7,34.9,39.3,41.8,42.2,43.6,44.0,46.2,46.6,47.3,47.0,45.6,48.3,46.1,51.1,52.2,52.0,52.8,57.7,62.4,60.5,60.9,64.5,68.3,70.6,74.2,77.9,78.5,75.1,78.6,83.5,79.4,81.2,87.9,85.6,88.3,87.3,84.6
"MX",7.8,8.3,7.1,7.5,9.9,9.7,9.6,10.6,11.6,12.0,13.5,13.2,13.7,15.5,21.5,23.2,24.5,26.1,26.0,25.1,24.3,23.5,23.8,23.6,23.7,24.5,25.4,26.0,23.9,24.3,25.3,25.7,29.1,32.4,33.1,34.5,33.9,37.3,40.1,42.4,41.6,46.2,48.7
"BP_TNA",425.6,459.0,483.1,518.1,560.6,591.6,610.8,621.8,620.7,601.9,559.8,569.9,562.1,566.1,589.6,580.1,567.8,537.0,506.0,539.8,522.6,493.7,521.1,546.2,580.0,578.9,591.1,612.5,627.1,642.5,670.8,685.4,692.7,682.8,689.1,718.3,687.1,712.1,704.9,705.9,699.0,692.7,728.9
"AR",3.8,4.1,4.3,4.8,4.8,5.4,5.8,6.6,7.5,7.9,8.1,9.1,9.5,9.3,9.5,10.4,10.8,12.3,13.2,14.1,14.4,15.6,15.6,18.2,19.1,18.3,18.6,20.1,21.2,21.8,24.3,27.9,25.7,27.5,29.1,29.9,28.0,27.2,31.1,34.1,36.4,37.6,39.7
"BR",0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.7,0.9,0.8,1.1,1.6,1.9,2.4,2.7,3.0,3.3,3.5,3.4,3.5,3.6,4.0,4.1,4.3,5.0,5.4,5.6,6.4,8.4,10.5,12.7,14.2,16.8,17.4,18.5,19.8
"CL",0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.9,1.4,1.5,1.3,1.5,1.5,1.5,1.5,1.5,2.3,3.2,4.4,5.7,6.5,6.6,7.1,7.7,7.5,7.1,4.0
"CO",0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.8,2.3,2.6,2.9,3.1,3.2,3.5,3.5,3.6,3.7,3.8,3.9,3.6,3.7,3.7,3.6,3.8,3.7,4.0,4.2,5.3,5.6,4.7,5.3,5.5,5.5,5.4,5.7,6.1,6.6,6.9
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2
"PE",0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.5,0.8,1.4,1.6,2.4
"VE",6.1,6.4,7.0,7.2,7.4,6.9,6.7,6.7,8.2,8.7,8.5,10.5,11.5,11.6,12.9,13.3,13.4,14.3,14.1,15.6,15.6,17.2,16.7,17.1,17.6,19.8,19.7,19.5,21.0,22.2,24.8,26.8,27.7,29.1,24.7,25.1,26.6,25.6,22.7,25.6,25.3,25.1,25.6
"BP_OSCA",1.1,1.3,1.4,1.5,1.5,1.7,1.6,1.7,1.7,1.6,1.5,1.7,2.0,2.3,2.5,2.8,2.9,3.5,3.9,4.0,4.1,4.3,4.5,5.0,5.2,5.4,5.8,6.1,6.1,6.5,6.5,7.4,7.7,9.0,10.2,10.7,12.2,13.0,14.3,14.6,17.6,21.4,22.4
"BP_TSCA",12.8,13.7,14.8,15.6,16.1,16.3,16.6,17.6,19.9,20.9,20.9,24.4,26.4,27.2,29.5,31.4,32.4,35.9,37.5,40.5,41.4,44.7,44.8,49.0,50.8,52.6,53.1,54.9,58.1,60.4,65.8,73.2,74.4,80.5,79.9,85.6,89.9,91.1,95.4,105.5,111.8,118.2,121.1
"AT",1.6,1.8,1.7,1.8,2.2,2.6,3.0,3.3,3.6,3.9,3.9,4.4,4.5,4.7,4.7,4.5,4.3,4.1,4.2,4.7,5.0,4.9,5.1,4.9,5.3,5.8,6.1,6.0,6.3,6.5,7.1,7.6,7.3,7.5,7.6,7.3,7.7,7.7,8.5,8.5,9.0,8.5,8.0
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",12.2,13.6,13.4,13.3,13.9,14.2,13.6,10.6,7.8,7.3,7.2,5.3,5.0,4.7,5.0,4.9,7.0,7.0,7.2,7.7,8.0,8.4,7.4
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.3,8.5,9.6,11.1,11.7,12.4,13.0,15.1,14.0,12.3,11.1,11.7,13.3,13.5,13.8,14.6,14.5,14.9,14.7,16.6,17.0,17.6,17.5
