title         = ASCII CSV version of Natural Gas production data from the 2008 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_production_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"US","na","na","na","na","na",595.1,611.9,612.3,615.4,586.5,544.7,540.8,542.6,541.5,556.8,549.4,543.2,504.6,455.7,494.6,465.9,454.7,470.6,484.3,490.2,504.3,501.1,505.2,512.4,533.0,526.7,533.9,535.3,538.7,533.3,543.2,555.5,536.0,540.8,526.4,511.1,523.2,545.9
"CA","na","na","na","na","na",56.7,62.0,70.0,75.0,73.4,75.0,75.7,79.5,76.7,80.9,74.8,72.3,75.8,71.3,78.2,84.2,79.1,85.9,99.2,105.4,108.6,114.3,125.9,138.6,150.1,159.8,165.7,168.6,173.4,176.8,182.2,186.5,187.9,184.7,183.7,187.4,188.4,183.7
"MX","na","na","na","na","na",12.6,12.0,12.7,13.7,14.0,14.8,14.5,15.2,17.1,23.7,28.6,30.1,31.6,31.1,29.4,27.0,26.1,26.4,26.1,26.2,26.7,26.5,26.2,25.4,25.9,26.6,28.0,31.7,34.8,36.7,36.1,34.9,35.4,36.2,37.7,38.9,42.8,46.2
"BP_TNA","na","na","na","na","na",664.3,685.9,695.0,704.0,674.0,634.5,631.0,637.3,635.3,661.4,652.8,645.5,612.1,558.2,602.1,577.1,559.9,582.9,609.7,621.8,639.7,642.0,657.3,676.5,708.9,713.0,727.6,735.5,747.0,746.8,761.6,776.8,759.2,761.7,747.9,737.4,754.4,775.8
"AR","na","na","na","na","na",6.0,6.5,6.2,6.7,7.2,7.7,7.3,7.6,7.8,7.2,8.4,8.7,9.8,13.1,13.5,13.9,15.5,15.2,18.0,19.0,17.8,19.9,20.1,21.5,22.3,25.0,28.9,27.4,29.6,34.6,37.4,37.1,36.1,41.0,44.9,45.6,46.1,44.8
"BO","na","na","na","na","na",0.0,0.0,1.1,1.6,1.7,1.7,1.7,1.8,1.8,2.0,2.4,2.6,2.7,2.6,2.5,2.5,2.5,2.6,2.8,2.9,3.0,3.0,2.9,2.9,3.2,3.2,3.2,2.7,2.8,2.3,3.2,4.7,4.9,6.4,9.8,11.9,12.7,13.5
"BR","na","na","na","na","na",0.1,0.1,0.2,0.2,0.4,0.4,0.5,0.6,0.8,0.8,1.0,0.9,1.2,1.7,2.1,2.7,3.0,3.3,3.7,3.8,3.8,3.9,4.0,4.5,4.5,4.8,5.5,6.0,6.3,6.7,7.2,7.6,9.2,10.0,11.0,11.0,11.3,11.3
"CO","na","na","na","na","na",1.3,1.4,1.7,1.7,1.7,1.6,1.7,2.0,2.5,2.9,3.2,3.4,3.6,3.8,3.9,4.0,4.1,4.2,4.3,4.0,4.1,4.1,4.0,4.2,4.2,4.4,4.7,5.9,6.3,5.2,5.9,6.1,6.2,6.1,6.4,6.8,7.3,7.7
"TT","na","na","na","na","na",1.8,1.8,1.8,1.8,1.6,1.5,1.7,1.9,2.3,2.5,2.8,2.9,3.5,4.0,4.1,4.1,4.3,4.5,5.1,5.1,5.3,5.7,6.0,5.9,6.2,6.1,7.1,7.4,8.6,11.7,14.1,15.2,17.3,24.7,27.3,30.3,36.4,39.0
"VE","na","na","na","na","na",7.7,7.5,7.4,9.1,9.7,9.4,11.7,12.7,12.8,14.4,14.8,14.9,15.9,15.6,17.3,17.3,19.1,18.6,19.0,19.5,22.0,21.9,21.6,23.3,24.7,27.5,29.7,30.8,32.3,27.4,27.9,29.6,28.4,25.2,28.4,28.1,27.9,28.5
"BP_OSCA","na","na","na","na","na",1.1,1.2,1.1,1.0,1.0,1.2,1.7,1.8,2.0,1.5,1.4,1.5,1.6,1.4,1.6,1.5,1.4,1.4,1.7,2.2,2.7,2.3,2.5,2.5,2.7,2.7,2.7,2.6,2.7,3.3,3.5,3.7,3.7,3.4,3.9,4.8,5.3,6.1
"BP_TSCA","na","na","na","na","na",18.0,18.5,19.5,22.2,23.3,23.5,26.2,28.5,30.1,31.3,34.0,34.9,38.3,42.3,45.0,46.0,50.0,49.7,54.5,56.6,58.8,60.9,61.2,64.9,67.8,73.7,81.8,82.8,88.6,91.1,99.2,104.0,105.8,116.9,131.7,138.6,147.2,150.8
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",13.1,12.7,11.7,11.1,10.4,9.2,8.0,7.4,6.3,6.0,6.2,5.9,5.6,5.2,5.6,5.3,5.2,4.8,4.8,4.7,5.3,6.3,10.3
"DK","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,1.9,2.4,2.4,3.1,3.1,4.0,4.1,4.5,4.9,5.3,6.4,7.9,7.6,7.8,8.1,8.4,8.4,8.0,9.4,10.4,10.4,9.2
"DE","na","na","na","na","na",11.0,13.8,16.5,18.5,19.4,17.7,18.6,18.9,20.2,20.3,18.5,19.1,17.2,18.4,19.3,17.4,16.7,18.5,16.7,15.7,15.9,14.7,14.9,14.8,15.6,16.1,17.4,17.1,16.7,17.8,16.9,17.0,17.0,17.7,16.4,15.8,15.6,14.3
"IT","na","na","na","na","na",12.0,12.2,13.0,14.0,14.0,13.3,14.3,12.6,12.6,12.3,11.4,12.8,13.1,11.8,12.5,12.8,14.4,14.7,15.0,15.3,15.6,15.7,16.4,17.4,18.4,18.2,18.2,17.7,17.4,16.0,15.2,14.0,13.4,12.7,11.9,11.1,10.1,8.9
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5.1,5.4,5.9,6.6,6.2,6.6,7.4,7.6,6.2,4.2,5.5,6.1,7.6,7.4,9.3,10.8,10.8,10.6,12.9,20.6,23.3,24.6,27.3
"NL","na","na","na","na","na",26.6,36.8,49.1,59.5,70.3,76.3,81.7,81.4,74.5,78.7,76.6,75.1,64.8,67.9,68.5,71.5,62.5,62.4,55.4,60.1,60.6,69.0,69.1,70.0,66.4,67.0,75.8,67.1,63.6,59.3,57.3,61.9,59.9,58.4,68.8,62.9,65.3,64.5
"NO","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,14.2,20.7,25.1,25.0,24.0,23.6,26.0,26.2,26.1,28.2,28.3,28.7,25.5,25.0,25.8,24.8,26.8,27.8,37.4,43.0,44.2,48.5,49.7,53.9,65.5,73.1,78.5,85.0,87.6,89.7
"PL","na","na","na","na","na",4.9,5.0,5.3,5.4,5.2,5.4,5.9,6.2,6.6,5.9,5.0,4.5,4.1,4.0,4.4,4.6,4.2,4.2,4.2,3.8,2.6,3.0,2.8,3.6,3.4,3.5,3.6,3.6,3.6,3.4,3.7,3.9,4.0,4.0,4.4,4.3,4.3,4.3
"RO","na","na","na","na","na",23.3,24.9,25.5,27.0,27.9,30.3,33.0,35.0,35.2,33.6,34.7,36.6,37.0,36.7,36.4,34.8,35.2,33.5,32.8,29.4,28.3,24.5,21.8,20.6,18.7,18.0,17.2,15.0,14.0,14.0,13.8,13.6,13.2,13.0,12.8,12.4,11.9,11.6
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",431.0,469.2,507.7,550.2,574.4,597.9,599.8,597.4,576.5,566.4,555.4,561.1,532.6,551.3,551.0,545.0,542.4,555.4,578.6,591.0,598.0,612.1,607.4
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",77.6,79.0,82.2,82.4,83.9,81.9,78.6,56.1,60.9,33.3,30.1,32.8,16.1,12.4,21.3,43.8,47.9,49.9,55.1,54.4,58.8,62.2,67.4
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",40.0,37.0,33.2,30.2,28.7,26.2,22.8,19.6,17.9,17.0,17.0,17.2,17.4,16.8,16.9,16.7,17.1,17.4,18.0,19.1,19.4,19.1,19.0
"GB","na","na","na","na","na",10.5,17.4,25.1,27.2,32.8,34.2,36.2,37.8,36.2,36.6,34.8,34.7,35.3,36.4,35.6,39.7,41.7,43.7,42.1,41.2,45.5,50.6,51.5,60.5,64.6,70.8,84.2,85.9,90.2,99.1,108.4,105.8,103.6,102.9,96.4,88.2,80.0,72.4
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",32.3,36.0,37.1,37.2,38.3,38.1,39.1,39.9,42.0,44.0,45.3,45.7,47.8,51.1,51.8,52.6,53.6,53.5,53.6,55.8,55.0,55.4,58.5
"BP_OEE","na","na","na","na","na",199.0,213.2,222.3,237.2,260.1,287.0,316.7,341.5,367.1,398.3,424.6,451.7,485.3,517.2,565.9,19.3,17.8,17.8,17.3,17.8,16.3,16.5,16.2,16.5,15.8,15.9,14.6,13.3,12.3,11.5,11.2,11.0,11.3,10.7,11.2,10.8,11.5,11.0
"BP_TEE","na","na","na","na","na",287.4,323.4,356.7,388.9,429.9,464.2,506.5,536.0,566.6,606.3,630.8,659.5,680.7,715.9,768.8,826.5,859.8,903.2,931.8,957.1,973.5,978.6,950.6,942.7,905.4,902.0,943.5,897.5,913.8,933.3,958.5,966.4,987.9,1023.6,1055.2,1060.6,1076.3,1075.7
"BH","na","na","na","na","na",0.6,0.9,1.1,1.6,2.0,2.1,2.2,2.4,2.6,2.9,2.3,2.2,3.4,3.6,3.7,4.5,5.2,5.0,5.3,5.5,5.8,5.5,6.5,6.9,7.1,7.2,7.4,8.0,8.4,8.7,8.8,9.1,9.5,9.6,9.8,10.7,11.1,11.5
"IR","na","na","na","na","na",12.9,14.3,16.3,17.8,20.7,20.3,20.0,18.9,16.9,17.9,7.1,6.0,7.2,11.0,13.5,14.6,15.2,16.0,20.0,22.2,23.1,25.8,25.0,27.1,31.8,35.3,39.0,47.0,50.0,56.4,60.2,66.0,75.0,81.5,91.8,100.9,108.6,111.9
"KW","na","na","na","na","na",2.0,2.1,2.5,2.8,2.9,3.2,3.9,4.2,4.7,6.3,4.1,4.7,3.7,4.0,4.4,4.2,5.7,4.8,6.8,8.2,4.2,0.5,2.6,5.4,6.0,9.3,9.3,9.3,9.5,8.6,9.6,8.5,8.0,9.1,11.0,12.3,12.9,12.6
"OM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,0.8,0.9,1.1,1.4,1.8,2.1,2.3,2.3,2.4,2.6,2.6,2.9,2.8,2.9,4.1,4.4,5.0,5.2,5.5,8.7,14.0,15.0,16.5,18.5,19.8,23.7,24.1
"QA","na","na","na","na","na",1.0,1.0,1.1,1.6,1.3,2.0,1.1,1.6,1.5,4.4,4.7,4.3,5.1,5.2,5.9,5.5,5.8,5.6,5.9,6.2,6.3,7.6,12.6,13.5,13.5,13.5,13.7,17.4,19.6,22.1,23.7,27.0,29.5,31.4,39.2,45.8,50.7,59.8
"SA","na","na","na","na","na",1.6,1.3,1.5,1.8,2.3,2.7,2.9,4.1,5.7,7.0,9.7,11.3,12.0,11.7,18.2,18.8,25.2,26.8,29.1,29.8,33.5,35.2,38.2,40.0,42.8,42.9,44.4,45.3,46.8,46.2,49.8,53.7,56.7,60.1,65.7,71.2,73.5,75.9
