title         = ASCII CSV version of Natural Gas production data from the 2008 British Petroleum Statistical Review (worksheet 21)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"US","na","na","na","na","na",546.0,561.4,559.6,559.1,534.5,494.9,490.9,493.0,491.0,505.9,501.7,496.4,461.6,418.1,453.8,427.9,416.8,431.8,443.5,449.7,461.8,459.4,463.0,468.3,487.6,480.9,487.5,488.7,494.2,487.4,495.5,508.2,489.9,496.2,481.1,468.1,478.6,499.4
"CA","na","na","na","na","na",51.0,55.8,63.0,67.5,66.1,67.5,68.1,71.5,69.0,72.8,67.3,65.0,68.3,64.2,70.4,75.8,71.2,77.3,89.3,94.9,97.7,102.9,113.4,124.8,135.1,143.8,149.1,151.7,156.1,159.1,164.0,167.8,169.1,166.2,165.3,168.7,169.6,165.3
"MX","na","na","na","na","na",11.3,10.8,11.4,12.3,12.6,13.3,13.1,13.7,15.4,21.4,25.7,27.1,28.5,28.0,26.4,24.3,23.5,23.7,23.5,23.6,24.1,23.9,23.5,22.9,23.3,23.9,25.2,28.5,31.3,33.0,32.5,31.4,31.8,32.6,33.9,35.0,38.5,41.6
"BP_TNA","na","na","na","na","na",608.3,628.0,634.1,638.9,613.2,575.7,572.1,578.2,575.4,600.1,594.7,588.5,558.4,510.3,550.6,528.0,511.5,532.9,556.3,568.2,583.6,586.1,599.9,616.0,645.9,648.6,661.8,669.0,681.7,679.6,692.0,707.4,690.8,695.0,680.4,671.7,686.7,706.3
"AR","na","na","na","na","na",5.4,5.9,5.6,6.1,6.5,6.9,6.6,6.8,7.0,6.5,7.6,7.9,8.8,11.8,12.1,12.5,14.0,13.6,16.2,17.1,16.1,17.9,18.1,19.4,20.0,22.5,26.0,24.6,26.6,31.1,33.7,33.4,32.5,36.9,40.4,41.1,41.5,40.3
"BO","na","na","na","na","na",0.0,0.0,1.0,1.5,1.5,1.5,1.6,1.7,1.6,1.8,2.2,2.3,2.4,2.3,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.7,2.6,2.6,2.8,2.8,2.9,2.4,2.5,2.0,2.9,4.2,4.4,5.7,8.8,10.7,11.4,12.2
"BR","na","na","na","na","na",0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.7,0.9,0.8,1.1,1.6,1.9,2.4,2.7,3.0,3.3,3.5,3.4,3.5,3.6,4.0,4.1,4.3,5.0,5.4,5.6,6.1,6.5,6.8,8.3,9.0,9.9,9.9,10.2,10.2
"CO","na","na","na","na","na",1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.8,2.3,2.6,2.9,3.1,3.2,3.5,3.5,3.6,3.7,3.8,3.9,3.6,3.7,3.7,3.6,3.8,3.7,4.0,4.2,5.3,5.6,4.7,5.3,5.5,5.5,5.5,5.7,6.1,6.6,6.9
"TT","na","na","na","na","na",1.6,1.6,1.7,1.6,1.5,1.3,1.5,1.7,2.1,2.3,2.5,2.6,3.2,3.6,3.7,3.7,3.9,4.1,4.6,4.6,4.7,5.1,5.4,5.3,5.6,5.5,6.4,6.7,7.8,10.6,12.6,13.7,15.6,22.3,24.6,27.3,32.8,35.1
"VE","na","na","na","na","na",6.9,6.7,6.7,8.2,8.7,8.5,10.5,11.5,11.6,12.9,13.3,13.4,14.3,14.1,15.6,15.6,17.2,16.7,17.1,17.6,19.8,19.7,19.5,21.0,22.2,24.8,26.8,27.7,29.1,24.7,25.1,26.6,25.6,22.7,25.6,25.3,25.1,25.6
"BP_OSCA","na","na","na","na","na",1.0,1.1,1.0,0.9,0.9,1.1,1.5,1.6,1.8,1.3,1.3,1.4,1.5,1.3,1.4,1.3,1.3,1.3,1.5,2.0,2.5,2.1,2.3,2.2,2.5,2.4,2.4,2.4,2.4,2.9,3.2,3.4,3.3,3.1,3.5,4.3,4.8,5.5
"BP_TSCA","na","na","na","na","na",16.2,16.6,17.5,19.9,21.0,21.1,23.6,25.6,27.1,28.2,30.6,31.4,34.5,38.1,40.5,41.4,45.0,44.8,49.1,50.9,52.9,54.8,55.1,58.4,61.0,66.3,73.6,74.5,79.7,82.0,89.3,93.6,95.3,105.2,118.5,124.7,132.4,135.7
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",11.8,11.4,10.5,10.0,9.3,8.3,7.2,6.6,5.7,5.4,5.5,5.3,5.0,4.7,5.0,4.7,4.7,4.3,4.3,4.2,4.8,5.7,9.3
"DK","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.7,2.2,2.2,2.8,2.8,3.6,3.7,4.1,4.4,4.8,5.8,7.1,6.8,7.0,7.3,7.5,7.5,7.2,8.5,9.4,9.4,8.3
"DE","na","na","na","na","na",9.9,12.4,14.8,16.7,17.5,15.9,16.8,17.0,18.2,18.2,16.7,17.2,15.5,16.5,17.4,15.7,15.0,16.7,15.0,14.2,14.3,13.2,13.4,13.4,14.0,14.5,15.7,15.4,15.0,16.1,15.2,15.3,15.3,15.9,14.7,14.2,14.1,12.9
"IT","na","na","na","na","na",10.8,11.0,11.7,12.6,12.6,12.0,12.9,11.3,11.3,11.0,10.3,11.5,11.8,10.6,11.2,11.5,12.9,13.3,13.5,13.8,14.0,14.1,14.7,15.7,16.5,16.3,16.4,15.9,15.7,14.4,13.7,12.6,12.1,11.5,10.7,10.0,9.1,8.0
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4.6,4.9,5.3,6.0,5.6,6.0,6.6,6.8,5.6,3.8,5.0,5.5,6.8,6.7,8.3,9.7,9.7,9.5,11.7,18.6,21.0,22.1,24.5
"NL","na","na","na","na","na",23.9,33.1,44.2,53.6,63.3,68.7,73.6,73.3,67.1,70.8,68.9,67.6,58.3,61.1,61.6,64.4,56.2,56.1,49.9,54.1,54.5,62.1,62.2,63.0,59.7,60.3,68.2,60.4,57.2,53.3,51.6,55.7,53.9,52.5,61.9,56.6,58.7,58.0
"NO","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,12.8,18.6,22.6,22.5,21.6,21.3,23.4,23.6,23.5,25.3,25.5,25.9,22.9,22.5,23.3,22.3,24.2,25.0,33.7,38.7,39.8,43.6,44.8,48.5,59.0,65.8,70.6,76.5,78.9,80.7
"PL","na","na","na","na","na",4.4,4.5,4.8,4.9,4.7,4.9,5.3,5.6,6.0,5.3,4.5,4.0,3.7,3.6,4.0,4.1,3.8,3.8,3.7,3.5,2.4,2.7,2.5,3.3,3.1,3.1,3.2,3.2,3.2,3.1,3.3,3.5,3.6,3.6,3.9,3.9,3.9,3.8
"RO","na","na","na","na","na",21.0,22.4,23.0,24.3,25.1,27.2,29.7,31.5,31.7,30.3,31.3,32.9,33.3,33.0,32.8,31.3,31.7,30.1,29.5,26.5,25.5,22.0,19.6,18.5,16.8,16.2,15.5,13.5,12.6,12.6,12.4,12.2,11.9,11.7,11.5,11.2,10.7,10.4
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",387.9,422.3,457.0,495.2,517.0,538.2,539.8,537.6,518.8,509.8,499.9,505.0,479.3,496.2,495.9,490.5,488.2,499.9,520.8,531.9,538.2,550.9,546.7
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",69.8,71.1,74.0,74.1,75.5,73.7,70.8,50.5,54.8,30.0,27.1,29.6,14.5,11.2,19.1,39.5,43.1,44.9,49.6,48.9,52.9,56.0,60.7
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",36.0,33.3,29.9,27.2,25.9,23.6,20.5,17.6,16.1,15.3,15.3,15.4,15.7,15.1,15.2,15.0,15.4,15.7,16.2,17.2,17.4,17.2,17.1
"GB","na","na","na","na","na",9.4,15.6,22.6,24.5,29.6,30.8,32.6,34.1,32.6,32.9,31.3,31.2,31.8,32.7,32.0,35.7,37.5,39.3,37.9,37.1,40.9,45.6,46.3,54.5,58.2,63.7,75.8,77.3,81.1,89.2,97.5,95.2,93.2,92.6,86.7,79.4,72.0,65.2
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",29.0,32.4,33.4,33.5,34.5,34.3,35.2,35.9,37.8,39.6,40.8,41.1,43.0,46.0,46.7,47.4,48.2,48.2,48.3,50.3,49.5,49.9,52.6
"BP_OEE","na","na","na","na","na",179.1,191.8,200.0,213.5,234.1,258.3,285.0,307.3,330.3,358.4,382.2,406.5,436.8,465.5,509.3,17.3,16.0,16.1,15.6,16.0,14.7,14.9,14.6,14.8,14.2,14.3,13.1,12.0,11.1,10.3,10.1,9.9,10.1,9.6,10.1,9.7,10.3,9.9
"BP_TEE","na","na","na","na","na",258.6,291.0,321.1,350.0,386.9,417.8,455.9,482.4,510.0,545.7,567.7,593.6,612.6,644.3,691.9,743.8,773.8,812.9,838.7,861.4,876.1,880.7,855.5,848.5,814.9,811.8,849.2,807.7,822.4,840.0,862.6,869.8,889.1,921.3,949.7,954.5,968.7,968.2
"BH","na","na","na","na","na",0.6,0.8,1.0,1.4,1.8,1.9,2.0,2.1,2.3,2.6,2.1,1.9,3.1,3.2,3.3,4.1,4.6,4.5,4.8,5.0,5.2,5.0,5.8,6.2,6.4,6.5,6.7,7.2,7.5,7.8,7.9,8.2,8.5,8.7,8.8,9.6,10.0,10.4
"IR","na","na","na","na","na",11.6,12.8,14.7,16.0,18.6,18.3,18.0,17.0,15.3,16.1,6.4,5.4,6.5,9.9,12.2,13.1,13.7,14.4,18.0,20.0,20.8,23.2,22.5,24.4,28.6,31.8,35.1,42.3,45.0,50.7,54.2,59.4,67.5,73.3,82.6,90.8,97.7,100.7
"KW","na","na","na","na","na",1.8,1.9,2.2,2.5,2.6,2.9,3.5,3.8,4.2,5.6,3.7,4.2,3.3,3.6,3.9,3.8,5.2,4.3,6.2,7.3,3.8,0.5,2.4,4.9,5.4,8.3,8.4,8.3,8.5,7.8,8.6,7.7,7.2,8.2,9.9,11.1,11.6,11.3
"OM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.6,0.7,0.8,1.0,1.2,1.6,1.8,2.1,2.1,2.2,2.3,2.4,2.6,2.5,2.6,3.6,3.9,4.5,4.7,4.9,7.8,12.6,13.5,14.8,16.6,17.8,21.3,21.7
"QA","na","na","na","na","na",0.9,0.9,1.0,1.4,1.2,1.8,1.0,1.4,1.3,3.9,4.3,3.9,4.5,4.7,5.3,4.9,5.2,5.0,5.3,5.6,5.7,6.9,11.4,12.2,12.2,12.2,12.3,15.7,17.6,19.8,21.3,24.3,26.6,28.3,35.3,41.2,45.6,53.8
