title         = ASCII CSV version of Natural Gas production data from the 2009 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2009_gas_production_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"US","na","na","na","na","na",595.1,611.9,612.3,615.4,586.5,544.7,540.8,542.6,541.5,556.8,549.4,543.2,504.6,455.7,494.6,465.9,454.7,470.6,484.3,490.2,504.3,501.1,505.2,512.4,533.0,526.7,533.9,535.3,538.7,533.3,543.2,555.5,536.0,540.8,526.4,511.1,524.0,540.5,582.2
"CA","na","na","na","na","na",56.7,62.0,70.0,75.0,73.4,75.0,75.7,79.5,76.7,80.9,74.8,72.3,75.8,71.3,78.2,84.2,79.1,85.9,99.2,105.4,108.6,114.3,125.9,138.6,150.1,159.8,165.7,168.6,173.4,176.8,182.2,186.5,187.9,184.7,183.7,187.4,188.4,184.1,175.2
"MX","na","na","na","na","na",11.2,11.1,11.6,12.6,13.2,13.4,13.2,14.0,17.5,21.3,25.7,27.7,29.6,29.8,29.3,28.5,25.3,25.7,26.1,25.0,27.1,27.5,26.6,28.7,29.6,28.8,35.0,35.6,38.4,37.1,37.8,37.4,38.9,41.2,42.7,45.0,51.6,54.0,54.9
"BP_TNA","na","na","na","na","na",663.0,685.1,693.9,703.0,673.2,633.2,629.7,636.1,635.7,659.0,649.9,643.1,610.0,556.9,602.1,578.6,559.1,582.3,609.6,620.6,640.0,643.0,657.7,679.8,712.7,715.2,734.6,739.5,750.5,747.2,763.2,779.4,762.8,766.6,752.8,743.6,764.0,778.7,812.3
"AR","na","na","na","na","na",6.0,6.5,6.2,6.7,7.2,7.7,7.3,7.6,7.8,7.2,8.4,8.7,9.8,13.1,13.5,13.9,15.5,15.2,18.0,19.0,17.8,19.9,20.1,21.5,22.3,25.0,28.9,27.4,29.6,34.6,37.4,37.1,36.1,41.0,44.9,45.6,46.1,44.8,44.1
"BO","na","na","na","na","na",0.0,0.0,1.1,1.6,1.7,1.7,1.7,1.8,1.8,2.0,2.4,2.6,2.7,2.6,2.5,2.5,2.5,2.6,2.8,2.9,3.0,3.0,2.9,2.9,3.2,3.2,3.2,2.7,2.8,2.3,3.2,4.7,4.9,6.4,9.8,11.9,12.9,13.8,13.9
"BR","na","na","na","na","na",0.1,0.1,0.2,0.2,0.4,0.4,0.5,0.6,0.8,0.8,1.0,0.9,1.3,1.7,2.0,2.5,2.9,3.3,3.3,3.4,3.1,3.2,3.6,4.2,4.6,5.1,5.6,6.0,6.3,7.4,7.5,7.7,9.2,10.0,11.0,11.0,11.3,11.3,13.9
"CO","na","na","na","na","na",1.3,1.4,1.7,1.7,1.7,1.6,1.7,2.0,2.5,2.9,3.2,3.4,3.6,3.8,3.9,4.0,4.1,4.2,4.3,4.0,4.1,4.1,4.0,4.2,4.2,4.4,4.7,5.9,6.3,5.2,5.9,6.1,6.2,6.1,6.4,6.7,7.0,7.5,9.1
"TT","na","na","na","na","na",1.8,1.8,1.8,1.8,1.6,1.5,1.7,1.9,2.3,2.5,2.8,2.9,3.5,4.0,4.1,4.1,4.3,4.5,5.1,5.1,5.3,5.7,6.0,5.9,6.2,6.1,7.1,7.4,8.6,11.7,14.1,15.2,17.3,24.7,27.3,30.3,36.4,39.0,39.3
"VE","na","na","na","na","na",7.7,7.5,7.4,9.1,9.7,9.4,11.7,12.7,12.8,14.4,14.8,14.9,15.9,15.6,17.3,17.3,19.1,18.6,19.0,19.5,22.0,21.9,21.6,23.3,24.7,27.5,29.7,30.8,32.3,27.4,27.9,29.6,28.4,25.2,28.4,27.4,31.5,32.1,31.5
