title         = ASCII CSV version of Hydro consumption data from the 2009 British Petroleum Statistical Review (worksheet 36)
file URL      = http://mazamascience.com/OilExport/BP_2009_hydro_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"US",45.0,45.2,51.4,51.6,57.9,57.4,61.6,63.1,63.0,69.5,69.3,65.6,51.1,64.8,64.7,63.8,60.3,71.4,76.6,74.1,65.0,67.2,57.8,51.7,62.2,66.9,66.1,57.8,64.1,59.5,71.0,79.3,81.5,73.9,73.0,63.0,49.6,60.4,63.0,61.3,61.8,66.1,56.6,56.7
"CA",26.5,29.1,30.1,30.8,33.5,35.1,35.5,38.8,40.5,44.8,44.1,45.9,44.9,49.1,48.1,50.3,50.9,58.4,60.2,64.8,68.7,70.3,71.6,69.6,66.0,67.2,69.8,71.6,72.8,74.2,75.9,80.2,79.4,75.1,77.8,81.1,75.5,79.4,76.4,77.2,82.0,79.9,82.9,83.6
"MX",2.0,2.3,2.5,2.9,3.1,3.4,3.3,3.5,3.7,3.8,3.4,3.9,4.3,3.7,4.1,3.8,5.6,5.2,4.7,5.3,5.9,4.5,4.2,4.7,5.5,5.3,5.0,6.0,6.0,4.6,6.2,7.1,6.0,5.6,7.4,7.5,6.4,5.6,4.5,5.6,6.2,6.8,6.1,8.6
"BP_TNA",73.5,76.7,84.0,85.3,94.5,95.9,100.4,105.3,107.1,118.1,116.9,115.4,100.4,117.6,116.9,118.0,116.8,134.9,141.5,144.2,139.7,142.0,133.5,126.0,133.6,139.5,140.8,135.4,142.9,138.3,153.2,166.7,166.9,154.6,158.3,151.6,131.5,145.4,143.9,144.2,150.0,152.8,145.6,148.9
"AR",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,1.1,1.2,1.1,1.3,1.7,2.4,3.4,3.3,4.0,4.1,4.4,4.7,4.8,5.0,3.6,3.0,4.1,3.7,4.4,5.5,6.2,6.1,5.2,6.4,6.0,4.9,6.5,8.4,8.1,7.7,6.9,7.9,9.8,8.5,8.4
"BR",5.4,5.9,6.2,6.5,7.0,9.0,9.8,11.5,13.1,14.9,16.4,18.8,21.2,23.3,26.4,29.2,29.6,31.9,34.3,37.7,40.4,41.3,42.0,45.1,46.3,46.8,49.3,50.5,53.2,54.9,57.5,60.1,63.1,66.0,66.3,68.9,60.6,64.7,69.2,72.6,76.4,78.9,84.6,82.3
"CL",0.9,0.9,1.0,0.8,0.9,1.0,1.0,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.9,2.0,2.1,2.3,2.6,2.7,2.6,2.2,2.0,3.0,3.8,3.9,3.9,4.2,3.8,4.3,3.6,3.1,4.3,4.9,5.2,5.2,4.9,6.0,6.6,5.2,5.4
"CO",0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.3,2.3,2.7,3.0,3.2,3.2,3.4,3.4,3.8,4.1,4.8,4.9,5.5,6.0,6.2,6.3,5.1,6.3,7.3,7.3,8.0,7.1,6.9,7.6,6.9,7.1,7.6,8.1,9.0,9.0,9.7,9.5,9.8
"EC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.5,1.0,0.7,0.9,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.2,1.4,1.5,1.5,1.6,1.7,1.6,1.7,1.6,1.7,1.6,1.6,2.0,2.6
"PE",0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.8,1.9,1.8,1.9,2.1,2.2,2.4,2.4,2.4,2.3,2.5,2.2,2.6,2.9,2.9,3.0,3.0,3.1,3.3,3.7,4.0,4.1,4.2,4.0,4.1,4.4,4.4,4.5
"VE",0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.4,1.4,1.7,2.0,2.4,2.8,2.8,3.2,3.3,3.4,3.6,4.1,4.6,5.1,5.7,7.0,7.7,7.8,8.4,10.1,10.7,10.7,11.6,11.6,12.2,13.0,13.1,13.7,14.2,13.7,13.5,13.7,15.9,17.6,18.5,18.8,19.6
"BP_OSCA",0.7,1.1,1.1,1.2,1.2,1.4,1.7,1.6,1.8,1.8,1.8,1.9,2.2,2.3,2.5,2.7,2.7,2.8,4.0,4.2,4.8,7.3,8.8,9.0,9.8,11.3,11.6,11.3,12.6,13.4,14.3,16.3,17.3,17.3,17.7,18.5,17.0,17.9,18.3,17.9,18.5,18.5,19.5,19.9
"BP_TSCA",9.1,10.1,10.7,11.4,12.3,15.0,16.6,18.8,21.1,24.2,26.3,29.3,32.8,36.0,40.7,45.3,46.0,49.8,54.3,59.7,64.3,69.6,73.8,77.0,78.6,82.3,87.6,89.2,96.2,101.7,105.1,110.2,115.6,117.5,118.2,124.8,117.3,122.9,127.9,132.8,140.9,148.0,152.6,152.5
"AT",3.9,3.9,4.0,4.1,3.8,4.7,3.7,3.9,4.3,5.0,5.3,4.5,5.5,5.5,6.2,6.5,6.8,6.9,6.8,6.5,7.0,7.0,8.1,8.1,8.0,7.1,7.1,7.9,8.3,8.1,8.4,7.7,8.2,8.4,9.2,9.5,9.5,9.0,8.1,7.7,7.7,7.3,7.5,7.9
