title         = ASCII CSV version of Nuclear consumption data from the 2009 British Petroleum Statistical Review (worksheet 34)
file URL      = http://mazamascience.com/OilExport/BP_2009_nuclear_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"US",0.9,1.3,1.8,3.0,3.3,5.2,9.1,12.9,19.9,27.1,41.1,45.5,59.8,65.8,60.8,59.8,64.9,67.4,69.9,78.0,91.4,98.6,108.4,125.5,126.1,137.4,145.9,147.4,145.4,152.5,160.4,160.7,149.7,160.5,173.5,179.6,183.1,185.8,181.9,187.8,186.3,187.5,192.1,192.0
"CA",0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.5,3.2,3.1,2.7,3.6,6.1,7.5,7.5,8.1,8.2,8.7,11.0,11.8,13.7,16.1,17.5,18.8,18.1,16.5,19.2,18.2,21.3,24.4,22.1,21.0,18.7,16.2,16.6,16.5,17.4,17.1,16.9,20.5,20.8,22.0,21.0,21.1
"MX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.0,0.9,1.1,1.0,1.9,1.8,2.4,2.1,2.3,1.9,2.0,2.2,2.4,2.1,2.4,2.5,2.4,2.3
"BP_TNA",0.9,1.3,1.8,3.0,3.3,5.2,10.0,14.4,23.1,30.3,43.8,49.1,65.8,73.3,68.3,67.9,73.1,76.0,81.0,89.9,105.1,114.7,125.9,144.3,144.2,154.6,166.1,166.5,167.7,177.9,184.4,183.5,170.8,178.7,192.4,197.9,202.5,205.1,201.2,210.3,209.5,212.0,215.4,215.4
"AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.4,0.8,1.0,1.3,1.3,1.5,1.3,1.1,1.6,1.8,1.6,1.8,1.9,1.6,1.7,1.8,1.7,1.6,1.4,1.6,1.3,1.7,1.8,1.6,1.7,1.6,1.6
"BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.2,0.1,0.4,0.5,0.3,0.4,0.1,0.0,0.6,0.6,0.7,0.7,0.9,1.4,3.2,3.1,3.0,2.6,2.2,3.1,2.8,3.1
"CL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OSCA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_TSCA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.4,0.8,1.4,2.1,1.3,1.7,1.4,1.6,2.2,2.1,2.0,1.9,1.9,2.2,2.2,2.5,2.4,2.5,2.8,4.8,4.4,4.7,4.4,3.8,4.8,4.4,4.8
