title         = ASCII CSV version of Nuclear consumption data from the 2009 British Petroleum Statistical Review (worksheet 33)
file URL      = http://mazamascience.com/OilExport/BP_2009_nuclear_consumption_twh.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"US",3.8,5.8,8.1,13.2,14.7,23.0,40.1,56.9,87.9,120.0,181.6,201.2,264.1,291.0,268.6,264.3,287.0,297.7,309.1,344.9,403.9,435.8,479.2,554.7,557.2,607.2,644.8,651.3,642.4,674.1,708.8,710.2,661.7,709.2,766.6,793.6,809.3,821.1,803.9,830.0,823.1,828.7,848.9,848.6
"CA",0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.7,14.3,13.9,11.8,15.9,26.8,32.9,33.1,35.7,36.0,38.3,48.6,52.2,60.5,71.3,77.3,82.9,79.9,72.9,84.9,80.6,94.0,107.9,97.9,92.8,82.5,71.5,73.5,72.8,76.7,75.5,74.9,90.4,92.0,97.3,92.8,93.3
"MX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.9,4.2,3.9,4.9,4.2,8.4,7.9,10.5,9.3,10.0,8.2,8.7,9.7,10.6,9.2,10.8,10.9,10.4,10.2
"BP_TNA",3.8,5.8,8.1,13.2,14.7,23.0,44.1,63.6,102.2,133.9,193.4,217.1,290.9,323.9,301.7,300.1,323.1,336.0,357.8,397.1,464.4,507.1,556.5,637.6,637.5,683.1,734.0,735.9,741.3,786.2,815.2,810.9,754.7,790.0,850.1,874.6,894.7,906.4,889.4,929.6,926.0,936.8,952.1,952.1
"AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,1.6,2.9,2.7,2.3,2.8,1.9,3.4,4.6,5.8,5.7,6.5,5.8,5.0,7.3,7.8,7.1,7.8,8.2,7.1,7.5,8.0,7.5,7.1,6.2,7.1,5.8,7.6,7.9,6.9,7.5,7.1,7.2
"BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.4,0.1,1.0,0.6,1.8,2.2,1.4,1.8,0.4,0.1,2.5,2.4,3.2,3.3,4.0,6.0,14.3,13.8,13.4,11.6,9.9,13.8,12.3,13.9
"CL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OSCA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_TSCA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,1.6,2.9,2.7,2.3,2.8,1.9,3.4,6.2,9.1,5.9,7.4,6.4,6.9,9.5,9.2,8.8,8.2,8.3,9.6,9.9,11.1,10.7,11.1,12.2,21.3,19.7,20.9,19.5,16.7,21.3,19.4,21.1
"AT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_BELU",0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,6.8,10.0,11.9,12.5,11.4,12.6,12.9,15.7,24.1,27.7,34.6,39.4,42.0,43.1,41.2,42.7,42.9,43.5,41.9,40.6,41.4,43.3,47.4,46.2,49.0,48.2,46.3,47.4,47.4,47.3,47.6,46.6,48.2,45.8
"BG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,5.0,5.9,5.9,6.2,6.2,9.1,10.7,12.3,12.7,13.1,12.1,12.4,16.0,14.6,14.7,13.2,11.6,14.0,15.3,17.3,18.1,17.8,16.9,15.8,18.2,19.6,20.2,20.0,19.4,18.5,19.5,14.6,15.8
"CZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.1,10.7,11.8,12.4,12.6,12.1,12.3,12.6,13.0,12.2,12.9,12.5,13.2,13.4,13.6,14.8,18.7,25.9,26.3,24.7,26.0,26.1,26.5
"DK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.3,6.7,7.0,14.7,16.8,17.7,18.9,18.9,19.0,19.5,19.4,19.0,19.1,19.4,19.1,19.8,19.3,19.1,19.7,21.1,22.1,23.2,22.7,22.8,23.8,24.2,24.2,24.1,23.9,24.6,24.0
"FR",1.1,1.6,2.9,3.5,5.0,5.7,9.3,14.6,14.7,14.7,18.3,15.8,18.0,30.5,40.0,61.3,105.3,108.9,144.3,191.3,224.2,254.2,265.6,275.6,304.0,314.1,331.4,338.5,368.3,360.0,377.3,397.4,395.5,388.1,394.3,415.2,421.1,436.8,441.2,449.4,452.6,451.3,440.6,440.3
"DE",0.1,0.3,1.5,2.0,5.3,6.5,6.2,9.5,12.1,14.5,24.1,29.6,41.3,43.9,52.1,55.6,65.5,74.4,78.1,104.3,138.7,130.5,141.7,156.8,161.7,152.5,147.6,158.8,153.5,151.2,154.1,161.6,170.4,161.7,170.0,169.6,171.3,164.8,165.1,167.1,163.0,167.4,140.5,148.8
"GR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.8,6.5,7.4,11.0,13.4,13.9,13.7,13.7,14.0,13.8,14.1,14.0,14.2,14.0,14.0,14.1,14.2,14.1,14.0,11.0,11.9,13.8,13.5,14.7,14.8
"IS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IT",3.6,3.9,3.2,2.6,1.7,3.2,3.4,3.8,3.0,3.3,3.3,3.8,3.4,4.4,4.7,4.9,5.2,9.2,8.2,6.7,7.0,8.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.4,0.4,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9.5,9.9,9.2,12.8,16.7,17.0,17.0,14.6,12.3,7.7,11.8,13.9,12.0,13.6,9.9,8.4,11.4,14.1,15.5,15.1,10.3,8.7,9.8,9.9
"NL",0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.3,1.1,3.0,3.1,3.6,3.7,3.5,3.2,3.9,3.4,3.6,3.3,3.5,3.9,4.2,3.6,3.7,4.0,3.5,3.3,3.8,4.0,4.0,4.0,4.2,2.4,3.8,3.8,3.9,4.0,3.9,4.0,3.8,4.0,3.5,4.2,4.2
"NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,5.4,5.3,5.2,5.5,5.4,5.5,4.9,5.5,5.6,5.6,7.7,11.2
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",99.3,105.2,124.7,134.8,136.3,118.3,120.0,119.6,119.2,97.8,99.4,109.0,108.3,104.1,120.0,130.5,136.9,141.7,148.6,144.7,147.6,156.5,161.4,163.0
"SK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.4,0.1,0.0,2.1,4.5,5.1,5.8,6.2,7.2,9.4,11.7,11.5,11.5,12.2,12.0,11.7,11.1,11.9,12.1,11.4,11.3,10.8,11.4,13.1,16.5,17.1,18.0,17.9,17.0,17.7,18.0,15.3,16.7
"ES",0.0,0.0,0.0,0.1,0.8,0.9,2.6,4.7,6.6,7.2,7.5,7.6,6.5,7.6,6.7,5.2,9.6,8.8,10.7,23.1,28.0,37.5,41.3,50.5,56.1,54.3,55.6,55.8,56.1,55.3,55.5,56.3,55.3,59.0,58.9,62.2,63.7,63.0,61.9,63.6,57.5,60.2,55.0,59.0
"SE",0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.5,2.1,2.1,12.0,16.0,19.9,23.8,21.0,26.5,37.7,39.1,41.0,50.9,58.6,70.0,67.6,69.4,65.6,68.2,76.8,63.6,61.4,73.2,70.0,73.3,69.9,70.5,73.2,57.5,72.1,68.1,67.4,76.7,72.4,67.0,67.0,64.3
"CH",0.0,0.0,0.0,0.0,0.5,2.5,2.8,3.6,6.3,6.2,7.4,7.9,8.1,8.0,9.4,13.6,14.5,14.3,14.8,17.4,22.6,22.6,23.0,22.8,22.8,23.6,23.0,23.5,23.4,24.4,24.9,25.1,25.4,25.8,24.9,26.3,26.7,27.1,27.3,26.8,23.2,27.6,27.8,27.5
