title         = ASCII CSV version of CO2 emissions data from the 2010 British Petroleum Statistical Review (worksheet 41)
file URL      = http://mazamascience.com/OilExport/BP_2010_co2_emissions_mtco2.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US",3773.8,3984.6,4079.6,4317.9,4509.1,4645.8,4694.9,4929.8,5137.6,4951.7,4795.0,5083.7,5226.5,5285.5,5388.2,5174.1,5045.9,4781.0,4768.9,5012.2,5002.5,5004.4,5188.5,5418.1,5504.3,5473.2,5430.7,5535.2,5658.7,5758.3,5825.8,6029.8,6117.5,6163.5,6242.0,6418.5,6285.1,6334.5,6378.8,6509.9,6529.3,6452.3,6565.3,6369.1,5941.9
"CA",274.6,286.8,301.3,324.8,338.1,363.7,371.4,389.9,410.6,416.9,412.6,438.0,465.9,455.5,464.0,474.8,455.3,439.5,423.7,449.1,447.2,439.7,457.2,488.4,508.5,494.5,478.1,493.2,491.2,506.4,519.0,539.0,556.4,564.4,573.2,592.2,598.8,598.7,633.1,628.3,640.8,633.5,648.1,641.7,602.7
"MX",64.1,66.9,68.1,74.0,81.0,86.1,91.4,101.2,108.7,122.3,134.7,143.0,150.7,172.2,188.9,207.4,222.3,232.3,230.4,242.2,250.5,243.5,253.5,253.9,266.8,279.7,291.1,293.6,301.4,326.9,308.0,329.7,342.1,361.0,355.4,372.2,373.7,376.8,397.9,402.0,417.6,432.5,443.1,440.8,436.8
"BP_TNA",4112.6,4338.2,4449.0,4716.7,4928.1,5095.6,5157.7,5420.9,5656.9,5490.9,5342.3,5664.7,5843.1,5913.2,6041.1,5856.3,5723.5,5452.7,5422.9,5703.4,5700.1,5687.6,5899.3,6160.4,6279.5,6247.5,6199.9,6322.0,6451.2,6591.7,6652.8,6898.6,7016.0,7088.9,7170.6,7383.0,7257.6,7310.0,7409.8,7540.2,7587.7,7518.3,7656.6,7451.5,6981.4
"AR",79.8,82.8,85.0,87.8,90.7,83.9,89.5,90.0,92.3,93.7,90.7,95.9,99.9,97.9,104.2,98.5,95.4,97.2,98.9,100.5,95.7,103.3,107.5,113.9,109.9,102.9,106.3,110.7,112.9,115.0,120.5,131.5,128.5,135.5,136.3,135.5,126.9,118.6,129.6,139.6,149.5,152.2,165.0,171.3,164.2
"BR",52.6,57.3,59.3,69.5,76.5,86.8,95.7,108.7,132.1,142.7,149.2,161.7,169.0,186.3,198.9,197.0,189.7,194.2,193.4,204.2,216.2,235.9,241.1,245.9,248.9,241.4,247.0,255.6,261.6,272.7,287.1,306.2,324.9,334.7,347.1,350.6,358.7,356.4,349.4,361.3,365.6,375.9,403.4,428.5,409.4
"CL",16.2,17.5,17.9,18.4,19.6,20.6,22.2,21.8,20.9,20.3,17.7,18.4,19.2,20.0,21.2,21.4,21.3,19.6,19.8,20.9,20.5,20.8,21.6,25.7,31.2,33.5,31.9,33.0,35.1,39.1,42.5,48.8,56.2,57.4,61.0,58.7,57.0,57.0,58.0,62.7,63.9,66.7,74.2,72.9,70.3
"CO",20.3,22.1,23.4,24.1,24.3,26.4,26.4,29.3,29.6,32.6,30.5,33.2,33.9,35.3,37.5,37.1,38.4,40.5,44.1,44.3,44.5,44.8,48.2,49.3,48.9,50.9,52.5,55.4,57.3,57.4,58.9,58.8,62.2,61.1,52.8,55.4,52.9,50.5,51.3,50.9,56.3,57.3,56.9,54.9,57.9
"EC",2.0,2.1,2.3,2.7,2.9,3.5,3.8,4.0,4.3,5.0,5.0,5.5,6.7,6.8,7.2,9.2,10.4,11.4,10.5,10.6,13.0,13.2,13.3,13.2,13.7,13.4,15.2,14.7,15.4,16.7,16.2,18.1,20.6,21.0,19.1,18.5,18.9,18.6,19.4,20.1,23.9,26.8,28.4,29.8,31.3
"PE",12.1,15.1,15.2,15.4,15.6,16.3,16.0,14.0,15.9,18.3,19.7,19.6,19.8,19.7,20.5,22.1,22.7,22.3,19.1,20.0,19.2,20.6,22.5,21.8,19.5,19.4,18.5,19.2,20.6,22.1,24.5,24.9,24.4,25.3,25.9,25.4,23.8,23.8,22.7,25.8,26.8,26.1,29.5,33.2,35.5
