title         = ASCII CSV version of Electricity Generation data from the 2010 British Petroleum Statistical Review (worksheet 40)
file URL      = http://mazamascience.com/OilExport/BP_2010_electricity_generation.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3185.4,3223.3,3235.4,3353.5,3407.4,3516.8,3610.7,3660.8,3797.1,3875.7,3990.5,3924.1,4050.3,4075.8,4168.1,4257.4,4266.3,4365.0,4325.4,4149.6
"CA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",478.2,502.7,514.7,524.7,547.8,551.3,566.1,569.0,558.7,573.1,599.2,581.8,594.8,580.2,587.8,614.9,602.5,621.7,664.5,634.1
"MX","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",122.4,126.8,130.1,135.0,146.0,152.5,162.5,175.1,181.8,192.3,204.4,209.6,214.1,217.0,222.0,233.1,244.9,253.7,256.8,258.0
"BP_TNA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3786.1,3852.8,3880.2,4013.2,4101.2,4220.7,4339.3,4405.0,4537.6,4641.0,4794.1,4715.6,4859.2,4873.1,4977.9,5105.4,5113.8,5240.4,5246.6,5041.7
"AR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",50.9,54.1,56.3,62.5,65.6,67.2,69.8,72.5,74.2,80.7,89.0,90.1,84.6,92.0,100.3,105.5,117.1,120.8,125.1,123.9
"BR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",222.8,234.4,241.7,252.0,260.0,275.6,291.2,308.0,321.7,334.7,348.9,328.5,345.7,364.3,387.5,402.9,419.3,444.6,463.1,467.4
"CL","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",18.4,19.8,22.2,23.3,25.3,26.7,30.3,32.5,35.5,38.4,40.1,42.5,43.7,48.8,52.9,54.5,57.6,60.1,60.9,61.2
"CO","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",35.4,36.7,36.0,40.3,43.4,45.3,44.9,45.9,46.1,44.4,42.3,43.3,45.8,47.1,48.6,49.3,52.3,53.6,54.4,56.0
"EC","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",6.3,6.7,7.2,7.4,8.1,8.4,9.7,10.4,10.9,10.3,10.6,11.1,11.9,12.7,14.2,15.1,16.1,18.2,18.6,18.4
"PE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",13.8,14.5,13.1,14.8,15.9,16.1,17.3,18.0,18.6,19.0,19.9,20.8,22.0,22.9,24.3,25.5,27.4,29.9,32.4,32.7
"VE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",59.3,63.3,67.4,69.4,71.2,73.4,75.6,78.1,80.9,80.6,85.2,90.1,89.4,90.1,96.9,104.4,111.5,114.5,119.4,124.8
"BP_OSCA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",100.4,102.2,106.1,111.4,120.6,129.2,136.6,148.8,154.0,156.4,163.5,160.5,168.6,176.8,176.8,180.6,186.8,195.0,197.7,197.9
"BP_TSCA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",507.4,531.7,550.1,581.1,610.1,642.0,675.2,714.1,741.8,764.7,799.5,787.0,811.6,854.7,901.3,937.8,988.1,1036.8,1071.5,1082.3
"AT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",50.4,51.5,51.2,52.7,53.3,56.6,54.8,56.9,57.4,60.4,61.8,61.8,62.7,60.2,64.3,60.6,63.4,63.7,66.8,68.9
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",23.2,23.4,19.7,19.1,17.6,17.0,17.1,16.8,17.9,18.1,18.7,19.0,18.7,21.3,21.7,22.9,24.5,21.8,21.6,18.9
"BY","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",39.5,38.7,37.6,33.4,31.4,24.9,23.7,26.1,23.5,26.5,26.1,25.0,26.5,26.6,31.2,31.0,31.8,31.8,34.9,30.1
"BP_BELU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",72.2,73.4,73.5,71.9,73.4,75.7,77.5,80.2,80.8,82.1,85.2,81.1,85.7,88.2,89.8,91.2,90.0,92.8,88.0,84.5
