title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_ft3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US",41.9,45.1,47.6,50.9,54.9,57.9,59.7,60.4,60.4,58.1,53.5,54.5,53.5,53.8,55.5,54.3,53.2,49.3,46.1,49.0,47.3,44.4,47.2,49.3,52.4,52.5,53.6,55.3,57.0,58.2,60.8,61.8,62.3,60.9,61.4,63.8,60.9,63.0,61.0,61.2,60.3,59.4,63.3,63.5,62.6
"CA",2.2,2.4,2.6,2.8,3.2,3.5,3.8,4.2,4.5,4.5,4.7,4.7,5.0,5.0,5.1,5.0,4.9,5.2,5.0,5.5,5.6,5.6,5.7,6.2,6.7,6.5,6.5,6.9,7.3,7.6,8.0,8.4,8.4,8.1,8.5,8.9,8.5,8.7,9.4,9.2,9.5,9.4,9.4,9.5,9.2
"MX",0.8,0.9,0.7,0.8,1.0,1.0,1.0,1.1,1.2,1.3,1.3,1.3,1.3,1.7,2.1,2.2,2.4,2.6,2.7,2.7,2.8,2.5,2.5,2.5,2.5,2.7,2.8,2.8,2.9,3.0,2.9,3.4,3.5,3.8,3.6,3.9,3.9,4.4,4.9,5.1,5.2,5.9,6.1,6.4,6.7
"BP_TNA",44.9,48.3,50.9,54.5,59.1,62.4,64.5,65.7,66.1,64.0,59.5,60.5,59.8,60.5,62.6,61.6,60.5,57.1,53.8,57.3,55.7,52.5,55.3,58.0,61.6,61.7,63.0,65.0,67.2,68.8,71.7,73.5,74.2,72.8,73.5,76.6,73.4,76.2,75.4,75.5,75.0,74.7,78.7,79.3,78.5
"AR",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.7,2.0,2.1,2.0,2.0,2.2,2.3,2.3,2.6,3.0,2.8,3.0,3.1,3.2,3.0,2.9,3.3,3.7,3.9,4.0,4.2,4.3,4.2
"BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.8,1.9,2.0,2.1,2.4,2.0
"CL",0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.4,0.3,0.3
"CO",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8
"EC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
"PE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3
