title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US",397.4,428.3,452.2,484.1,521.1,549.2,566.2,572.0,567.3,547.6,502.7,512.7,502.3,504.0,520.8,509.9,497.6,462.6,434.0,463.5,446.1,418.1,444.5,464.9,494.0,494.0,504.8,522.0,535.0,547.5,571.3,581.7,585.2,575.3,577.3,600.4,573.9,593.7,575.3,577.3,568.5,560.0,597.3,599.5,588.7
"CA",20.5,22.4,23.8,26.5,29.6,32.7,34.9,39.3,41.8,42.2,43.6,44.0,46.2,46.6,47.3,47.0,45.6,48.3,46.1,51.1,52.2,52.0,52.8,57.7,62.4,60.5,60.9,64.5,68.3,70.6,74.2,77.9,78.5,75.1,78.6,83.5,79.4,81.2,87.9,85.6,88.3,87.3,87.0,88.4,85.2
"MX",7.5,7.9,6.8,7.3,9.0,9.2,9.5,10.2,11.3,11.9,12.1,11.9,12.5,15.8,19.1,20.7,22.4,24.5,25.1,25.4,25.9,23.0,23.4,23.6,22.9,24.8,26.3,26.3,26.7,27.5,27.0,31.9,32.7,35.5,33.6,36.2,36.7,41.2,45.5,48.0,48.0,54.8,56.8,59.4,62.7
"BP_TNA",425.4,458.6,482.8,517.9,559.7,591.2,610.7,621.5,620.4,601.8,558.4,568.6,560.9,566.3,587.2,577.6,565.7,535.3,505.1,540.1,524.2,493.2,520.6,546.2,579.3,579.3,592.0,612.7,630.0,645.7,672.5,691.5,696.3,685.9,689.6,720.0,689.9,716.0,708.8,710.9,704.8,702.1,741.1,747.4,736.6
"AR",3.8,4.1,4.3,4.8,4.8,5.4,5.8,6.6,7.5,7.9,8.1,9.1,9.5,9.3,9.5,10.4,10.8,12.3,13.2,14.1,14.4,15.6,15.6,18.2,19.1,18.3,18.6,20.1,21.2,21.8,24.3,27.9,25.7,27.5,29.1,29.9,28.0,27.2,31.1,34.1,36.4,37.6,39.5,40.0,38.8
"BR",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.8,0.9,0.8,1.1,1.5,1.8,2.3,2.6,2.9,2.9,3.0,2.8,2.9,3.2,3.8,4.1,4.6,5.0,5.5,5.7,6.8,8.5,10.7,12.7,14.2,16.8,17.4,18.5,19.8,22.7,18.3
"CL",0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.9,1.4,1.5,1.3,1.5,1.5,1.5,1.5,1.5,2.3,3.3,4.5,5.8,6.6,6.6,7.2,7.8,7.5,7.0,4.1,2.4,3.0
"CO",0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.8,2.3,2.6,2.9,3.1,3.2,3.5,3.5,3.6,3.7,3.8,3.9,3.6,3.7,3.7,3.6,3.8,3.7,4.0,4.2,5.3,5.6,4.7,5.3,5.5,5.5,5.4,5.7,6.0,6.3,6.7,6.8,7.8
"EC",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.7,0.5,0.4,0.4
"PE",0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.5,0.8,1.4,1.6,2.4,3.1,3.1
"VE",6.1,6.4,7.0,7.2,7.4,6.9,6.7,6.7,8.2,8.7,8.5,10.5,11.5,11.6,12.9,13.3,13.4,14.3,14.1,15.6,15.6,17.2,16.7,17.1,17.6,19.8,19.7,19.5,21.0,22.2,24.8,26.8,27.7,29.1,24.7,25.1,26.6,25.6,22.7,25.6,24.7,28.3,28.9,27.6,26.8
"BP_OSCA",1.1,1.3,1.4,1.5,1.5,1.7,1.7,1.8,1.7,1.6,1.5,1.7,2.0,2.3,2.5,2.8,2.9,3.5,3.9,4.0,4.1,4.3,4.5,5.0,5.2,5.4,5.8,5.7,6.3,7.3,7.9,8.8,9.4,9.6,10.2,11.1,12.6,13.6,15.8,14.7,16.6,21.7,22.3,24.0,22.9
