title         = ASCII CSV version of Solar data from the 2010 British Petroleum Statistical Review (worksheet 45)
file URL      = http://mazamascience.com/OilExport/BP_2010_solar.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",76.5,88.2,100.1,117.3,138.8,167.8,212.2,275.2,376.0,479.0,624.0,830.5,1168.5,1645.5
"CA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.6,3.4,4.5,5.8,7.2,8.8,10.0,11.8,13.9,16.7,20.5,25.8,32.7,102.7
"MX","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",10.0,11.0,12.0,12.9,13.9,15.0,16.2,17.1,18.2,18.7,19.7,20.8,21.8,23.0
"BP_TNA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",89.1,102.6,116.6,136.0,159.9,191.6,238.4,304.1,408.1,514.4,664.2,877.1,1223.0,1771.2
"AT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.7,2.2,2.9,3.7,4.9,6.1,10.3,16.8,21.1,24.0,25.6,27.7,32.4,37.5
"BE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0,71.0,363.0
"BG","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
"CZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,54.0,465.0
"DK","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.2,0.4,0.5,1.1,1.5,1.5,1.6,1.9,2.3,2.7,2.9,3.1,3.3,4.6
"FI","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.5,2.0,2.2,2.4,2.6,2.7,3.1,3.4,3.7,4.0,4.1,4.4,4.9,6.9
