title         = ASCII CSV version of Coal consumption data from the 2011 British Petroleum Statistical Review (worksheet 32)
file URL      = http://mazamascience.com/OilExport/BP_2011_coal_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.88,4.69,16.01,"na",0.0,6.0,19.26,508.02,328.16,548.45,2.67,12.6,879.09,337.2,0.0,0.08,27.8,234.59,850.96,0.21,308.01,5.98,1427.54,1.74,"na",15.48,1.17,1.17,112.34,2.01,35.33,163.52,2.09,0.07,0.0,0.4,8.18,2.0,45.06,117.4,2.11,0.12,10.91,0.13,2.23,0.0,35.55,0.21,8.63,43.6,4.95,0.0,"na","na",0.7,0.0,9.51,0.91,1.65,0.09,0.0,1.38,59.48,0.6,0.0,4.05,"na",0.0,1.17,0.0,5.81,0.0,"na",3.67,0.0,2.99,"na",291.83,"na",0.0,3.21,24.66
1966,0.0,0.89,4.39,16.6,"na",0.0,6.18,17.55,485.9,341.49,570.43,2.77,13.37,873.74,350.32,0.0,0.08,27.45,246.23,842.14,0.23,321.92,6.2,1444.17,1.88,"na",15.17,0.94,1.2,120.17,2.01,35.22,152.66,2.37,0.07,0.0,0.27,7.59,1.86,41.34,111.73,2.1,0.11,10.46,0.16,2.52,0.0,35.46,0.23,8.97,45.54,5.61,0.0,"na","na",0.75,0.0,8.57,0.89,1.6,0.11,0.0,1.16,60.28,0.61,0.0,4.37,"na",0.0,1.24,0.0,5.88,0.07,"na",4.08,0.0,2.97,"na",306.0,"na",0.0,3.38,24.35
1967,0.0,0.91,4.03,17.09,"na",0.0,6.71,17.22,472.22,345.54,564.29,2.79,14.58,858.05,353.25,0.0,0.08,28.31,240.41,830.69,0.26,316.18,6.49,1422.34,1.94,"na",15.03,0.73,1.2,106.82,2.21,34.06,147.06,2.2,0.05,0.0,0.42,7.53,1.79,41.8,104.37,2.01,0.09,9.08,0.11,2.63,0.0,36.05,0.26,9.83,50.89,5.35,0.0,"na","na",0.92,0.0,8.27,0.88,1.46,0.13,0.0,1.12,61.37,0.6,0.0,4.84,"na",0.0,1.15,0.0,5.67,0.12,"na",3.62,0.0,3.01,"na",300.22,"na",0.0,3.7,25.05
1968,0.0,0.93,4.01,17.53,"na",0.0,7.29,17.78,479.57,340.52,563.94,3.03,15.66,879.61,348.57,0.0,0.08,29.74,245.56,833.65,0.28,328.02,6.28,1443.54,1.91,"na",16.33,0.64,1.2,106.02,2.01,35.26,149.17,2.52,0.06,0.0,0.44,8.12,2.16,40.05,104.45,2.27,0.06,8.96,0.08,3.1,0.0,37.3,0.28,9.52,53.94,5.05,0.0,"na","na",0.97,0.0,7.65,0.94,1.38,0.12,0.0,1.23,64.32,0.54,0.0,5.3,"na",0.0,1.14,0.0,5.96,0.13,"na",3.94,0.0,3.04,"na",310.73,"na",0.0,4.1,26.22
1969,0.0,0.95,3.81,17.99,"na",0.0,7.33,17.33,485.4,335.51,585.71,3.01,16.69,890.57,343.44,0.0,0.08,30.03,275.75,834.69,0.31,328.76,6.75,1476.28,2.13,"na",15.77,0.61,1.2,128.03,2.15,36.65,153.59,2.19,0.07,0.0,0.47,8.07,2.59,39.79,101.81,2.2,0.0,9.09,0.1,2.93,0.0,39.63,0.31,9.77,58.15,5.27,0.0,"na","na",0.98,0.0,6.66,1.07,1.41,0.21,0.0,1.11,67.58,0.51,0.0,6.13,"na",0.0,1.1,0.0,6.27,0.14,"na",4.18,0.0,2.79,"na",312.01,"na",0.0,4.37,26.48
1970,0.0,0.97,3.97,18.04,"na",0.0,8.02,16.38,476.39,331.51,618.57,3.0,17.89,880.98,339.84,0.0,0.07,30.88,312.24,821.86,0.34,327.09,7.16,1499.56,2.36,"na",16.93,0.39,1.28,162.9,2.24,37.1,151.67,2.04,0.08,0.0,0.44,8.45,2.45,37.83,96.02,2.53,0.0,9.24,0.09,0.89,0.0,37.56,0.34,9.87,60.2,5.63,0.0,"na","na",1.1,0.0,4.79,1.03,1.41,0.21,0.0,0.92,70.18,0.47,0.0,6.66,"na",0.0,1.5,0.0,6.32,0.14,"na",4.2,0.0,2.72,"na",309.06,"na",0.0,4.67,27.35
1971,0.0,0.94,3.47,17.95,"na",0.0,7.92,13.68,453.29,339.14,656.21,3.48,19.41,833.58,348.35,0.0,0.06,33.1,332.7,807.14,0.38,309.74,6.72,1489.79,2.42,"na",16.09,0.24,1.24,187.82,1.89,38.65,144.52,1.37,0.0,0.0,0.35,8.56,2.21,33.84,85.1,3.73,0.0,8.95,0.1,0.73,0.0,38.08,0.38,9.54,53.86,5.69,0.0,"na","na",1.38,0.0,3.61,0.95,1.25,0.14,0.0,0.73,71.84,0.43,0.0,7.03,"na",0.0,1.5,0.0,6.63,0.17,"na",4.33,0.0,2.42,"na",292.28,"na",0.0,5.13,29.25
1972,0.0,0.89,3.56,18.69,"na",0.11,8.16,13.1,435.34,355.1,687.21,3.73,19.87,823.47,364.12,0.0,0.06,33.52,344.03,805.0,0.64,321.04,6.45,1510.68,2.44,"na",15.18,0.22,1.02,198.92,1.83,38.1,140.08,1.32,0.0,0.0,0.32,8.66,1.79,29.55,74.54,3.98,0.0,8.69,0.1,0.65,0.0,40.21,0.64,8.87,50.46,5.83,0.0,"na","na",1.52,0.1,3.08,0.81,1.29,0.18,0.0,0.59,75.15,0.38,0.0,7.59,"na",0.0,1.5,0.0,6.6,0.14,"na",4.52,0.0,2.3,"na",304.33,"na",0.0,5.37,29.45
1973,0.0,0.9,3.55,19.6,"na",0.14,8.22,10.99,442.62,355.3,694.38,3.67,20.34,858.53,364.78,0.0,0.06,35.36,353.31,812.67,0.71,344.15,6.72,1552.91,2.42,"na",15.64,0.2,1.11,201.81,2.05,37.28,141.21,1.82,0.0,0.0,0.3,8.47,2.03,29.45,80.74,4.68,0.0,8.74,0.07,0.84,0.0,39.68,0.71,9.0,53.67,7.37,0.0,"na","na",1.63,0.1,3.08,0.51,1.46,0.15,0.0,0.58,75.46,0.56,0.0,8.49,"na",0.0,1.6,0.0,6.39,0.14,"na",4.56,0.0,2.06,"na",326.88,"na",0.0,6.26,31.37
1974,0.0,1.06,3.43,20.7,"na",0.15,8.08,11.92,436.95,355.45,701.84,3.47,21.06,850.19,365.2,0.0,0.06,36.84,362.75,807.72,0.8,336.79,7.14,1552.03,2.52,"na",15.89,0.14,1.05,199.92,2.3,37.15,139.63,2.13,0.0,0.0,0.48,8.79,2.06,30.33,71.08,4.93,0.0,8.33,0.07,0.82,0.0,44.79,0.8,9.8,57.34,7.61,0.0,"na","na",1.81,0.1,2.89,0.62,1.51,0.1,0.0,0.53,77.58,0.44,0.0,9.25,"na",0.0,1.9,0.0,6.41,0.14,"na",4.81,0.0,2.1,"na",319.1,"na",0.0,6.7,32.87
