title         = ASCII CSV version of Natural Gas consumption data from the 2011 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_consumption_ft3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.41,0.18,0.0,"na",0.0,0.0,0.0,3.8,11.25,15.55,0.0,0.0,47.43,11.28,0.08,0.0,0.1,0.56,15.09,0.99,44.87,1.38,62.98,0.0,"na",2.2,0.0,0.06,0.11,0.09,0.0,0.28,0.0,0.07,0.0,0.0,0.0,0.0,0.54,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.71,0.78,0.17,0.0,0.13,"na","na",0.81,0.0,0.14,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,1.48,"na",0.06,0.0,0.0,0.0,0.0,"na",0.0,0.11,0.0,"na",41.86,"na",0.66,0.0,0.0
1966,0.0,0.44,0.19,0.0,"na",0.0,0.0,0.0,4.32,12.55,17.21,0.0,0.0,51.31,12.59,0.09,0.0,0.11,0.63,16.91,1.06,48.34,1.47,68.51,0.0,"na",2.41,0.0,0.06,0.13,0.09,0.0,0.34,0.0,0.08,0.0,0.0,0.0,0.0,0.57,0.08,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.74,0.88,0.17,0.0,0.14,"na","na",0.85,0.0,0.27,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.0,1.59,"na",0.07,0.0,0.0,0.0,0.0,"na",0.0,0.13,0.0,"na",45.08,"na",0.69,0.0,0.0
1967,0.0,0.46,0.18,0.0,"na",0.0,0.0,0.05,5.11,13.81,18.96,0.0,0.0,54.51,13.86,0.09,0.0,0.11,0.71,18.98,1.16,50.93,1.58,73.47,0.0,"na",2.56,0.0,0.06,0.14,0.12,0.0,0.44,0.0,0.08,0.0,0.0,0.0,0.0,0.64,0.13,0.0,0.0,0.18,0.06,0.0,0.0,0.0,0.78,0.93,0.18,0.0,0.15,"na","na",0.73,0.0,0.47,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,1.75,"na",0.09,0.0,0.0,0.0,0.0,"na",0.0,0.15,0.0,"na",47.64,"na",0.75,0.0,0.0
1968,0.06,0.52,0.19,0.0,"na",0.0,0.0,0.14,6.46,14.87,20.4,0.0,0.0,59.36,14.94,0.09,0.0,0.11,0.77,21.4,1.29,54.53,1.66,79.76,0.0,"na",2.84,0.0,0.0,0.14,0.12,0.05,0.72,0.0,0.08,0.0,0.0,0.0,0.0,0.76,0.29,0.0,0.0,0.23,0.06,0.0,0.0,0.0,0.81,1.04,0.19,0.0,0.16,"na","na",0.78,0.0,0.78,0.0,0.0,0.0,0.0,0.25,0.32,0.0,0.0,1.85,"na",0.11,0.0,0.0,0.05,0.0,"na",0.0,0.15,0.0,"na",50.91,"na",0.78,0.0,0.0
1969,0.06,0.52,0.23,0.0,"na",0.0,0.0,0.28,8.44,15.94,22.18,0.0,0.0,65.68,16.02,0.13,0.0,0.13,1.02,24.45,1.43,59.1,1.72,87.85,0.0,"na",3.18,0.0,0.06,0.19,0.13,0.06,1.02,0.0,0.1,0.0,0.0,0.0,0.0,0.92,0.57,0.0,0.0,0.28,0.12,0.0,0.0,0.0,0.85,1.2,0.22,0.0,0.17,"na","na",0.97,0.0,1.16,0.0,0.0,0.0,0.0,0.31,0.44,0.0,0.08,2.16,"na",0.13,0.0,0.0,0.06,0.0,"na",0.0,0.15,0.06,"na",54.95,"na",0.8,0.0,0.0
1970,0.08,0.58,0.28,0.17,"na",0.0,0.0,0.45,10.53,17.52,24.22,0.05,0.05,71.26,17.62,0.14,0.0,0.16,1.42,28.15,1.58,62.42,1.75,95.48,0.0,"na",3.52,0.0,0.06,0.28,0.13,0.08,1.45,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.09,0.0,0.0,0.29,0.12,0.0,0.0,0.06,0.89,1.32,0.33,0.0,0.2,"na","na",0.99,0.0,1.63,0.0,0.0,0.0,0.0,0.34,0.56,0.0,0.1,2.24,"na",0.16,0.0,0.0,0.08,0.0,"na",0.0,0.18,0.05,"na",57.92,"na",0.75,0.0,0.0
1971,0.13,0.63,0.33,0.25,"na",0.0,0.0,0.63,12.88,19.15,26.31,0.06,0.05,75.66,19.26,0.17,0.0,0.18,1.67,32.16,1.68,64.49,1.79,101.97,0.0,"na",3.75,0.0,0.06,0.36,0.13,0.09,1.92,0.0,0.11,0.0,0.0,0.0,0.0,1.2,1.76,0.0,0.0,0.31,0.12,0.0,0.0,0.07,0.94,1.35,0.35,0.0,0.2,"na","na",1.03,0.0,2.13,0.0,0.0,0.0,0.0,0.34,0.61,0.0,0.1,2.4,"na",0.13,0.0,0.0,0.09,0.0,"na",0.0,0.17,0.11,"na",59.71,"na",0.72,0.0,0.0
1972,0.13,0.7,0.35,0.36,"na",0.0,0.0,0.71,15.27,20.08,27.66,0.1,0.0,79.34,20.23,0.18,0.0,0.24,1.93,35.51,1.73,65.69,1.9,107.0,0.0,"na",4.21,0.0,0.06,0.47,0.16,0.1,2.48,0.0,0.13,0.0,0.0,0.11,0.0,1.42,2.49,0.0,0.0,0.33,0.12,0.0,0.0,0.07,0.91,1.32,0.35,0.0,0.24,"na","na",1.09,0.0,2.77,0.0,0.0,0.0,0.0,0.31,0.64,0.0,0.11,2.43,"na",0.15,0.0,0.0,0.1,0.0,"na",0.0,0.18,0.13,"na",60.39,"na",0.72,0.0,0.0
1973,0.17,0.8,0.39,0.46,"na",0.06,0.0,0.88,17.48,21.9,30.5,0.17,0.11,82.06,22.06,0.24,0.0,0.35,2.38,39.55,2.01,66.12,2.15,112.56,0.0,"na",4.49,0.0,0.0,0.58,0.16,0.11,3.2,0.0,0.18,0.0,0.0,0.11,0.0,1.69,2.71,0.0,0.0,0.39,0.08,0.0,0.0,0.07,1.0,1.55,0.49,0.0,0.27,"na","na",1.22,0.0,3.08,0.0,0.0,0.0,0.0,0.35,0.67,0.0,0.15,2.57,"na",0.17,0.0,0.0,0.11,0.0,"na",0.0,0.17,0.15,"na",60.41,"na",0.89,0.0,0.0
1974,0.17,0.85,0.42,0.52,"na",0.06,0.0,1.06,19.79,23.22,32.74,0.18,0.18,82.38,23.39,0.27,0.0,0.39,2.96,43.22,2.33,63.96,2.26,115.12,0.0,"na",4.54,0.0,0.0,0.73,0.16,0.14,4.01,0.0,0.21,0.0,0.0,0.14,0.0,1.85,3.24,0.0,0.0,0.41,0.11,0.0,0.0,0.08,1.26,1.7,0.67,0.0,0.28,"na","na",1.28,0.0,3.28,0.0,0.0,0.0,0.0,0.39,0.69,0.0,0.13,2.65,"na",0.22,0.0,0.0,0.13,0.0,"na",0.0,0.16,0.15,"na",58.15,"na",0.94,0.0,0.0
