title         = ASCII CSV version of Natural Gas consumption data from the 2011 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_consumption_m3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,4.24,1.82,0.0,"na",0.0,0.06,0.06,39.32,116.25,160.69,0.18,0.24,490.24,116.61,0.8,0.0,1.0,5.81,155.92,10.2,463.78,14.22,650.93,0.0,"na",22.75,0.0,0.63,1.1,0.93,0.32,2.91,0.0,0.77,0.0,0.0,0.0,0.0,5.54,0.82,0.0,0.0,1.06,0.5,0.0,0.08,0.23,7.3,8.08,1.74,0.0,1.31,"na","na",8.36,0.0,1.43,0.0,0.0,0.38,0.0,1.77,1.64,0.0,0.08,15.26,"na",0.63,0.0,0.0,0.32,0.0,"na",0.0,1.17,0.23,"na",432.67,"na",6.77,0.0,0.0
1966,0.0,4.59,1.95,0.0,"na",0.0,0.09,0.12,44.68,129.68,177.85,0.26,0.31,530.28,130.12,0.96,0.0,1.12,6.47,174.8,10.96,499.59,15.2,708.13,0.06,"na",24.91,0.0,0.66,1.34,0.97,0.36,3.5,0.0,0.8,0.0,0.06,0.0,0.0,5.85,0.8,0.0,0.0,1.43,0.51,0.0,0.1,0.25,7.65,9.08,1.79,0.0,1.41,"na","na",8.8,0.0,2.74,0.0,0.0,0.4,0.0,2.0,1.95,0.0,0.08,16.45,"na",0.76,0.0,0.0,0.36,0.0,"na",0.0,1.37,0.26,"na",465.88,"na",7.1,0.0,0.0
1967,0.45,4.8,1.87,0.0,"na",0.0,0.28,0.56,52.85,142.77,195.97,0.27,0.39,563.39,143.28,0.9,0.0,1.1,7.33,196.13,12.03,526.4,16.37,759.36,0.07,"na",26.45,0.0,0.59,1.46,1.2,0.43,4.51,0.0,0.78,0.0,0.06,0.0,0.0,6.61,1.35,0.0,0.0,1.85,0.62,0.0,0.11,0.34,8.02,9.64,1.85,0.0,1.52,"na","na",7.57,0.0,4.82,0.0,0.0,0.37,0.0,2.33,2.38,0.0,0.11,18.13,"na",0.92,0.0,0.0,0.43,0.0,"na",0.0,1.51,0.33,"na",492.38,"na",7.78,0.0,0.0
1968,0.6,5.35,1.99,0.0,"na",0.0,0.42,1.42,66.96,154.16,211.42,0.25,0.44,615.2,154.8,0.97,0.0,1.12,7.99,221.76,13.37,565.16,17.22,826.62,0.07,"na",29.45,0.0,0.5,1.4,1.22,0.53,7.41,0.0,0.82,0.0,0.06,0.0,0.0,7.88,3.04,0.0,0.0,2.38,0.63,0.0,0.14,0.38,8.41,10.78,2.02,0.0,1.64,"na","na",8.11,0.0,8.13,0.0,0.0,0.41,0.0,2.62,3.27,0.0,0.51,19.19,"na",1.1,0.0,0.0,0.52,0.0,"na",0.0,1.59,0.47,"na",527.6,"na",8.03,0.0,0.0
1969,0.59,5.33,2.42,0.42,"na",0.0,0.44,2.93,87.2,164.75,229.21,0.19,0.45,678.81,165.54,1.33,0.0,1.34,10.52,252.74,14.82,610.87,17.73,908.02,0.07,"na",32.91,0.0,0.66,1.96,1.34,0.66,10.56,0.0,1.08,0.0,0.07,0.09,0.0,9.48,5.93,0.0,0.0,2.84,1.19,0.0,0.15,0.45,8.81,12.39,2.23,0.0,1.76,"na","na",10.03,0.0,11.98,0.0,0.0,0.42,0.0,3.22,4.53,0.0,0.85,22.28,"na",1.33,0.0,0.0,0.66,0.0,"na",0.0,1.6,0.59,"na",567.93,"na",8.27,0.0,0.0
1970,0.84,6.02,2.93,1.74,"na",0.0,0.4,4.63,108.81,181.03,250.31,0.57,0.54,736.54,182.07,1.46,0.05,1.66,14.63,290.91,16.33,645.19,18.12,986.85,0.08,"na",36.36,0.0,0.66,2.87,1.3,0.85,15.01,0.0,1.01,0.07,0.09,0.07,0.0,10.29,11.3,0.0,0.0,3.04,1.24,0.0,0.13,0.66,9.24,13.65,3.41,0.0,2.04,"na","na",10.23,0.0,16.86,0.0,0.11,0.41,0.0,3.49,5.78,0.0,1.01,23.16,"na",1.62,0.0,0.0,0.84,0.0,"na",0.0,1.83,0.56,"na",598.6,"na",7.71,0.0,0.0
1971,1.33,6.5,3.37,2.6,"na",0.0,0.27,6.47,133.16,197.88,271.95,0.6,0.53,781.95,199.11,1.72,0.06,1.83,17.3,332.37,17.32,666.53,18.55,1053.9,0.12,"na",38.81,0.1,0.67,3.74,1.38,0.96,19.83,0.0,1.15,0.07,0.09,0.39,0.0,12.37,18.22,0.0,0.0,3.24,1.25,0.0,0.13,0.7,9.69,13.94,3.66,0.0,2.1,"na","na",10.6,0.08,22.03,0.0,0.14,0.49,0.0,3.48,6.35,0.0,1.01,24.76,"na",1.35,0.0,0.0,0.95,0.0,"na",0.0,1.78,1.12,"na",617.12,"na",7.47,0.0,0.0
1972,1.38,7.29,3.64,3.73,"na",0.42,0.19,7.4,158.3,208.13,286.65,1.05,0.47,822.32,209.64,1.9,0.11,2.46,20.01,368.06,17.91,680.84,19.69,1108.97,0.17,"na",43.65,0.13,0.61,4.84,1.67,1.06,25.68,0.0,1.33,0.1,0.07,1.16,0.0,14.7,25.86,0.0,0.0,3.41,1.23,0.0,0.12,0.76,9.39,13.67,3.66,0.0,2.49,"na","na",11.34,0.11,28.66,0.0,0.26,0.47,0.0,3.22,6.68,0.0,1.1,25.14,"na",1.53,0.0,0.0,1.06,0.0,"na",0.0,1.84,1.31,"na",625.84,"na",7.43,0.0,0.0
1973,1.73,8.3,4.0,4.73,"na",0.58,0.19,9.1,180.66,226.34,315.25,1.72,1.09,848.1,227.99,2.46,0.12,3.63,24.63,408.82,20.73,683.35,22.19,1163.35,0.2,"na",46.42,0.17,0.48,5.98,1.66,1.15,33.11,0.0,1.86,0.06,0.06,1.12,0.0,17.44,27.97,0.0,0.0,4.05,0.8,0.0,0.05,0.76,10.31,16.0,5.1,0.0,2.79,"na","na",12.56,0.11,31.86,0.0,0.3,0.46,0.0,3.67,6.95,0.0,1.58,26.56,"na",1.8,0.0,0.0,1.14,0.0,"na",0.0,1.77,1.51,"na",624.37,"na",9.15,0.0,0.0
1974,1.8,8.78,4.34,5.4,"na",0.64,0.41,10.91,204.53,240.01,338.42,1.84,1.81,851.46,241.8,2.75,0.13,4.05,30.56,446.69,24.12,661.11,23.35,1189.87,0.38,"na",46.93,0.36,0.5,7.53,1.69,1.4,41.42,0.0,2.15,0.11,0.06,1.4,0.44,19.11,33.46,0.0,0.0,4.25,1.13,0.0,0.07,0.86,12.99,17.52,6.96,0.0,2.93,"na","na",13.22,0.24,33.92,0.0,0.35,0.48,0.0,4.06,7.15,0.0,1.3,27.41,"na",2.28,0.0,0.0,1.39,0.0,"na",0.0,1.61,1.59,"na",600.97,"na",9.67,0.0,0.0
