title         = ASCII CSV version of Natural Gas consumption data from the 2011 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,3.82,1.64,0.0,"na",0.0,0.06,0.05,35.38,104.62,144.63,0.16,0.22,449.18,104.95,0.72,0.0,0.9,5.23,140.33,9.18,425.37,12.79,593.81,0.0,"na",20.47,0.0,0.57,0.99,0.84,0.29,2.62,0.0,0.7,0.0,0.0,0.0,0.0,4.99,0.74,0.0,0.0,0.95,0.45,0.0,0.07,0.2,6.57,7.27,1.57,0.0,1.18,"na","na",7.53,0.0,1.29,0.0,0.0,0.34,0.0,1.59,1.47,0.0,0.07,13.73,"na",0.57,0.0,0.0,0.29,0.0,"na",0.0,1.05,0.21,"na",397.37,"na",6.1,0.0,0.0
1966,0.0,4.13,1.76,0.0,"na",0.0,0.08,0.11,40.21,116.71,160.06,0.24,0.28,486.23,117.11,0.86,0.0,1.01,5.82,157.32,9.86,458.6,13.68,646.29,0.05,"na",22.42,0.0,0.59,1.21,0.87,0.32,3.15,0.0,0.72,0.0,0.05,0.0,0.0,5.26,0.72,0.0,0.0,1.29,0.46,0.0,0.09,0.23,6.88,8.18,1.61,0.0,1.27,"na","na",7.92,0.0,2.47,0.0,0.0,0.36,0.0,1.8,1.75,0.0,0.07,14.8,"na",0.68,0.0,0.0,0.32,0.0,"na",0.0,1.23,0.23,"na",428.27,"na",6.39,0.0,0.0
1967,0.41,4.32,1.68,0.0,"na",0.0,0.25,0.5,47.56,128.5,176.38,0.24,0.35,516.11,128.95,0.81,0.0,0.99,6.6,176.52,10.83,482.82,14.73,692.49,0.06,"na",23.8,0.0,0.53,1.31,1.08,0.39,4.06,0.0,0.7,0.0,0.05,0.0,0.0,5.95,1.21,0.0,0.0,1.67,0.56,0.0,0.1,0.31,7.22,8.67,1.67,0.0,1.37,"na","na",6.81,0.0,4.34,0.0,0.0,0.33,0.0,2.1,2.14,0.0,0.1,16.32,"na",0.82,0.0,0.0,0.39,0.0,"na",0.0,1.36,0.3,"na",452.21,"na",7.0,0.0,0.0
1968,0.54,4.81,1.8,0.0,"na",0.0,0.38,1.28,60.26,138.74,190.28,0.22,0.4,562.92,139.32,0.87,0.0,1.01,7.19,199.58,12.03,517.89,15.5,753.2,0.06,"na",26.51,0.0,0.45,1.26,1.1,0.47,6.67,0.0,0.74,0.0,0.05,0.0,0.0,7.09,2.74,0.0,0.0,2.15,0.57,0.0,0.13,0.34,7.57,9.7,1.81,0.0,1.47,"na","na",7.3,0.0,7.32,0.0,0.0,0.37,0.0,2.36,2.94,0.0,0.46,17.27,"na",0.99,0.0,0.0,0.47,0.0,"na",0.0,1.43,0.42,"na",484.08,"na",7.23,0.0,0.0
1969,0.53,4.79,2.18,0.38,"na",0.0,0.4,2.64,78.48,148.27,206.29,0.17,0.41,620.87,148.98,1.2,0.0,1.2,9.47,227.47,13.34,559.72,15.96,827.16,0.07,"na",29.62,0.0,0.59,1.76,1.2,0.6,9.5,0.0,0.97,0.0,0.06,0.08,0.0,8.53,5.34,0.0,0.0,2.56,1.07,0.0,0.13,0.41,7.93,11.15,2.01,0.0,1.59,"na","na",9.02,0.0,10.78,0.0,0.0,0.38,0.0,2.9,4.08,0.0,0.77,20.05,"na",1.19,0.0,0.0,0.59,0.0,"na",0.0,1.44,0.53,"na",521.08,"na",7.44,0.0,0.0
1970,0.76,5.42,2.64,1.57,"na",0.0,0.36,4.17,97.93,162.93,225.28,0.51,0.49,673.37,163.86,1.31,0.0,1.5,13.16,261.82,14.7,591.16,16.31,898.65,0.07,"na",32.73,0.0,0.59,2.58,1.17,0.76,13.51,0.0,0.91,0.06,0.08,0.07,0.0,9.26,10.17,0.0,0.0,2.74,1.12,0.0,0.12,0.59,8.32,12.28,3.07,0.0,1.83,"na","na",9.21,0.0,15.17,0.0,0.1,0.37,0.0,3.14,5.2,0.0,0.91,20.84,"na",1.46,0.0,0.0,0.76,0.0,"na",0.0,1.64,0.5,"na",549.22,"na",6.94,0.0,0.0
1971,1.2,5.85,3.03,2.34,"na",0.0,0.25,5.82,119.85,178.09,244.75,0.54,0.48,714.56,179.2,1.54,0.05,1.65,15.57,299.14,15.59,610.68,16.69,959.31,0.11,"na",34.93,0.09,0.6,3.37,1.24,0.86,17.85,0.0,1.03,0.06,0.08,0.36,0.0,11.13,16.4,0.0,0.0,2.92,1.13,0.0,0.11,0.63,8.72,12.54,3.29,0.0,1.89,"na","na",9.54,0.07,19.83,0.0,0.13,0.44,0.0,3.13,5.72,0.0,0.91,22.29,"na",1.21,0.0,0.0,0.86,0.0,"na",0.0,1.6,1.01,"na",566.21,"na",6.73,0.0,0.0
1972,1.24,6.56,3.28,3.36,"na",0.38,0.17,6.66,142.47,187.32,257.98,0.95,0.42,748.81,188.67,1.71,0.1,2.21,18.01,331.26,16.12,621.47,17.72,1006.79,0.15,"na",39.29,0.11,0.55,4.36,1.51,0.96,23.11,0.0,1.2,0.09,0.06,1.04,0.0,13.23,23.27,0.0,0.0,3.07,1.11,0.0,0.11,0.69,8.45,12.3,3.3,0.0,2.24,"na","na",10.21,0.1,25.79,0.0,0.23,0.43,0.0,2.9,6.02,0.0,0.99,22.62,"na",1.38,0.0,0.0,0.95,0.0,"na",0.0,1.66,1.17,"na",571.98,"na",6.68,0.0,0.0
1973,1.56,7.47,3.6,4.26,"na",0.52,0.17,8.19,162.6,203.71,283.72,1.55,0.98,768.65,205.19,2.22,0.11,3.27,22.16,367.94,18.65,620.38,19.97,1052.37,0.18,"na",41.78,0.15,0.43,5.38,1.5,1.04,29.8,0.0,1.67,0.0,0.05,1.01,0.0,15.7,25.18,0.0,0.0,3.65,0.72,0.0,0.0,0.69,9.28,14.4,4.59,0.0,2.51,"na","na",11.3,0.1,28.67,0.0,0.27,0.42,0.0,3.3,6.26,0.0,1.42,23.9,"na",1.62,0.0,0.0,1.03,0.0,"na",0.0,1.59,1.36,"na",567.29,"na",8.23,0.0,0.0
1974,1.62,7.91,3.91,4.86,"na",0.57,0.37,9.82,184.08,216.01,304.57,1.65,1.63,773.07,217.62,2.48,0.12,3.64,27.51,402.02,21.7,601.76,21.01,1077.65,0.34,"na",42.23,0.32,0.45,6.78,1.52,1.26,37.28,0.0,1.93,0.1,0.05,1.26,0.39,17.2,30.11,0.0,0.0,3.82,1.01,0.0,0.06,0.78,11.69,15.77,6.27,0.0,2.64,"na","na",11.89,0.21,30.53,0.0,0.31,0.43,0.0,3.65,6.43,0.0,1.17,24.67,"na",2.05,0.0,0.0,1.25,0.0,"na",0.0,1.45,1.43,"na",547.64,"na",8.7,0.0,0.0
