title         = ASCII CSV version of Natural Gas production data from the 2011 British Petroleum Statistical Review (worksheet 20)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_production_ft3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.08,0.58,0.17,"na",0.0,0.06,0.0,0.0,9.84,17.33,24.72,0.0,0.53,72.17,18.72,0.0,0.07,0.28,1.52,27.28,1.93,64.15,1.75,96.9,0.0,5.49,0.28,0.13,1.07,0.0,0.25,0.0,1.01,0.12,0.06,0.08,1.25,1.16,0.2,"na",0.0,0.0,1.09,0.0,0.0,2.58,0.0,0.0,0.0,0.34,0.47,0.1,2.26,"na",0.16,0.0,0.0,"na",0.18,"na",57.57,"na",0.75,0.0,0.0
1971,0.14,0.63,0.25,"na",0.0,0.09,0.0,0.0,12.0,18.6,26.76,0.0,0.6,76.42,20.05,0.0,0.07,0.44,1.8,30.72,2.14,66.28,1.79,103.18,0.0,6.0,0.36,0.13,1.33,0.0,0.26,0.0,1.68,0.12,0.07,0.09,1.38,1.19,0.2,"na",0.14,0.0,1.08,0.0,0.0,3.57,0.0,0.0,0.0,0.34,0.49,0.1,2.41,"na",0.13,0.0,0.0,"na",0.17,"na",59.21,"na",0.72,0.0,0.0
1972,0.14,0.6,0.36,"na",0.0,0.11,0.0,0.1,14.35,19.33,28.33,0.0,0.65,79.52,20.85,0.0,0.07,0.68,2.07,33.83,2.43,66.95,1.89,107.85,0.0,6.75,0.47,0.16,1.59,0.0,0.33,0.0,2.42,0.12,0.07,0.09,1.58,1.25,0.24,"na",0.31,0.0,1.12,0.0,0.0,4.74,0.0,0.0,0.0,0.31,0.51,0.11,2.46,"na",0.15,0.0,0.0,"na",0.18,"na",59.08,"na",0.72,0.0,0.0
1973,0.17,0.65,0.46,"na",0.06,0.16,0.19,0.16,16.16,20.69,30.92,0.0,0.68,82.34,22.31,0.0,0.05,0.88,2.47,37.02,2.73,68.01,2.15,113.26,0.0,7.26,0.58,0.16,1.79,0.0,0.43,0.0,2.64,0.08,0.07,0.09,1.72,1.36,0.27,"na",0.37,0.0,1.22,0.0,0.0,5.78,0.0,0.0,0.0,0.35,0.52,0.15,2.61,"na",0.17,0.0,0.0,"na",0.17,"na",59.54,"na",0.89,0.0,0.0
1974,0.17,0.7,0.52,"na",0.06,0.19,0.41,0.17,17.94,22.82,34.15,0.0,0.71,81.23,24.47,0.0,0.06,0.93,3.03,40.94,3.08,65.13,2.27,115.37,0.0,7.11,0.73,0.16,1.88,0.0,0.5,0.0,3.18,0.11,0.08,0.08,2.0,1.35,0.28,"na",0.34,0.0,1.28,0.0,0.0,6.85,0.0,0.0,0.0,0.39,0.51,0.13,2.7,"na",0.22,0.0,0.0,"na",0.16,"na",56.75,"na",0.94,0.0,0.0
