title         = ASCII CSV version of Natural Gas production data from the 2011 British Petroleum Statistical Review (worksheet 19)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_production_m3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.83,6.02,1.74,"na",0.0,0.62,0.22,0.0,101.74,179.14,255.53,0.11,5.5,745.96,193.48,0.13,0.71,2.84,15.71,281.91,19.91,663.01,18.09,1001.49,0.08,56.71,2.87,1.3,11.05,0.0,2.53,0.09,10.46,1.24,0.66,0.78,12.88,12.02,2.04,"na",0.0,0.0,11.25,0.0,0.11,26.68,0.0,0.0,0.41,3.49,4.89,1.01,23.33,"na",1.62,0.0,0.0,"na",1.83,"na",595.06,"na",7.71,0.0,0.0
1971,1.47,6.51,2.6,"na",0.42,0.91,0.22,0.0,124.07,192.22,276.6,0.12,6.21,789.84,207.24,0.13,0.75,4.53,18.62,317.52,22.16,685.06,18.54,1066.44,0.13,62.0,3.74,1.38,13.8,0.0,2.67,0.09,17.38,1.25,0.7,0.93,14.28,12.25,2.1,"na",1.45,0.0,11.13,0.0,0.21,36.87,0.0,0.0,0.49,3.48,5.04,1.01,24.94,"na",1.35,0.0,0.0,"na",1.78,"na",611.92,"na",7.47,0.0,0.0
1972,1.49,6.18,3.73,"na",0.42,1.13,0.45,1.07,148.76,200.36,293.66,0.17,6.78,824.13,216.09,0.12,0.72,7.09,21.45,350.63,25.14,693.91,19.55,1117.78,0.17,70.0,4.84,1.67,16.48,0.0,3.38,0.07,25.08,1.23,0.76,0.94,16.34,12.98,2.49,"na",3.2,0.0,11.6,0.0,0.28,49.15,0.0,0.0,0.47,3.22,5.34,1.1,25.51,"na",1.53,0.0,0.0,"na",1.84,"na",612.32,"na",7.43,0.0,0.0
1973,1.74,6.73,4.73,"na",0.58,1.6,1.95,1.64,167.02,213.85,319.58,0.31,7.03,850.99,230.63,0.05,0.55,9.08,25.52,382.58,28.26,702.96,22.17,1170.57,0.2,75.0,5.98,1.66,18.52,0.0,4.49,0.06,27.24,0.8,0.76,0.91,17.79,14.02,2.79,"na",3.8,0.0,12.61,0.0,0.42,59.76,0.0,0.0,0.46,3.67,5.41,1.58,27.0,"na",1.8,0.0,0.0,"na",1.77,"na",615.35,"na",9.15,0.0,0.0
1974,1.74,7.25,5.4,"na",0.64,1.98,4.22,1.72,185.42,235.84,352.93,0.44,7.34,839.53,252.88,0.07,0.63,9.59,31.34,423.12,31.78,673.2,23.42,1192.46,0.38,73.44,7.53,1.69,19.44,0.0,5.19,0.06,32.85,1.13,0.86,0.84,20.66,13.99,2.93,"na",3.5,0.17,13.23,0.0,0.39,70.85,0.0,0.0,0.48,4.06,5.24,1.3,27.87,"na",2.28,0.0,0.0,"na",1.61,"na",586.53,"na",9.67,0.0,0.0
