title         = ASCII CSV version of Natural Gas production data from the 2011 British Petroleum Statistical Review (worksheet 21)
file URL      = http://mazamascience.com/OilExport/BP_2011_gas_production_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.75,5.42,1.57,"na",0.0,0.56,0.2,0.0,91.57,161.22,229.98,0.1,4.95,681.78,174.13,0.12,0.64,2.56,14.14,253.72,17.92,607.14,16.28,911.77,0.07,51.04,2.58,1.17,9.94,0.0,2.28,0.08,9.41,1.12,0.59,0.71,11.59,10.82,1.83,"na",0.0,0.0,10.12,0.0,0.1,24.01,0.0,0.0,0.37,3.14,4.4,0.91,21.0,"na",1.46,0.0,0.0,"na",1.64,"na",545.97,"na",6.94,0.0,0.0
1971,1.32,5.86,2.34,"na",0.38,0.82,0.2,0.0,111.66,173.0,248.94,0.11,5.59,721.57,186.51,0.11,0.67,4.07,16.76,285.77,19.95,627.27,16.69,970.51,0.11,55.8,3.37,1.24,12.42,0.0,2.4,0.08,15.65,1.13,0.63,0.83,12.85,11.02,1.89,"na",1.3,0.0,10.02,0.0,0.19,33.18,0.0,0.0,0.44,3.13,4.54,0.91,22.44,"na",1.21,0.0,0.0,"na",1.6,"na",561.45,"na",6.73,0.0,0.0
1972,1.34,5.57,3.36,"na",0.38,1.02,0.4,0.96,133.89,180.33,264.29,0.15,6.11,750.26,194.48,0.11,0.65,6.38,19.3,315.57,22.63,633.07,17.6,1014.55,0.15,63.0,4.36,1.51,14.83,0.0,3.05,0.06,22.58,1.11,0.69,0.84,14.71,11.68,2.24,"na",2.88,0.0,10.44,0.0,0.25,44.24,0.0,0.0,0.43,2.9,4.8,0.99,22.96,"na",1.38,0.0,0.0,"na",1.66,"na",559.63,"na",6.68,0.0,0.0
1973,1.56,6.06,4.26,"na",0.52,1.44,1.75,1.48,150.32,192.46,287.62,0.28,6.33,771.18,207.57,0.0,0.5,8.17,22.97,344.33,25.43,637.95,19.95,1058.8,0.18,67.5,5.38,1.5,16.67,0.0,4.04,0.05,24.51,0.72,0.69,0.82,16.01,12.62,2.51,"na",3.42,0.0,11.35,0.0,0.38,53.78,0.0,0.0,0.42,3.3,4.87,1.42,24.3,"na",1.62,0.0,0.0,"na",1.59,"na",559.1,"na",8.23,0.0,0.0
1974,1.56,6.52,4.86,"na",0.57,1.78,3.8,1.55,166.88,212.25,317.63,0.4,6.6,762.19,227.59,0.06,0.57,8.63,28.21,380.81,28.6,612.49,21.08,1079.82,0.34,66.1,6.78,1.52,17.49,0.0,4.67,0.05,29.56,1.01,0.78,0.75,18.6,12.6,2.64,"na",3.15,0.15,11.9,0.0,0.36,63.76,0.0,0.0,0.43,3.65,4.72,1.17,25.08,"na",2.05,0.0,0.0,"na",1.45,"na",534.48,"na",8.7,0.0,0.0
