title         = ASCII CSV version of Hydro consumption data from the 2011 British Petroleum Statistical Review (worksheet 37)
file URL      = http://mazamascience.com/OilExport/BP_2011_hydro_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.27,3.92,1.74,"na",0.0,0.45,0.09,50.17,19.31,48.04,2.4,2.5,161.44,21.79,0.04,0.79,2.88,34.42,89.08,0.43,73.53,9.15,209.49,5.43,"na",26.5,5.45,0.9,5.0,0.78,0.51,3.67,0.01,0.09,0.08,0.39,4.53,2.15,10.61,1.04,0.19,0.0,0.02,0.41,0.21,0.0,4.34,0.39,10.41,15.85,0.16,0.0,"na","na",2.01,0.14,0.0,11.17,2.27,0.6,0.17,0.5,0.21,0.92,0.0,0.23,"na",0.0,10.51,0.0,0.5,0.25,"na",0.5,0.0,0.83,"na",45.02,"na",0.32,0.26,0.0
1966,0.0,0.28,3.92,1.66,"na",0.0,0.46,0.09,54.2,21.77,52.44,2.52,2.52,171.73,24.49,0.06,1.12,3.02,37.32,96.48,0.48,76.69,10.19,224.17,5.93,"na",29.15,6.23,0.94,5.09,0.87,0.48,3.97,0.01,0.08,0.09,0.41,6.28,2.39,11.81,1.03,0.43,0.0,0.02,0.54,0.19,0.0,4.53,0.42,10.68,18.06,0.22,0.0,"na","na",2.3,0.16,0.0,11.02,2.44,0.64,0.18,0.5,0.21,1.22,0.0,0.23,"na",0.0,10.3,0.0,0.48,0.29,"na",0.54,0.0,0.86,"na",45.24,"na",0.32,0.26,0.0
1967,0.0,0.28,4.0,1.72,"na",0.0,0.46,0.08,52.37,21.0,53.06,2.85,2.53,176.48,23.93,0.07,1.17,3.39,35.15,95.67,0.52,84.04,10.78,229.54,6.21,"na",30.12,6.75,0.96,4.39,0.97,0.43,3.77,0.01,0.09,0.1,0.45,5.22,2.68,10.27,1.11,0.41,0.0,0.02,0.6,0.18,0.0,5.07,0.45,10.35,15.61,0.22,0.0,"na","na",2.51,0.17,0.0,12.07,2.54,0.72,0.24,0.59,0.22,1.27,0.0,0.33,"na",0.0,11.16,0.0,0.41,0.39,"na",0.55,0.0,0.81,"na",51.41,"na",0.38,0.26,0.0
1968,0.0,0.34,4.11,1.8,"na",0.0,0.3,0.08,53.1,24.67,60.6,3.34,2.58,180.45,27.9,0.08,1.21,4.14,37.54,102.04,0.56,85.33,11.43,241.05,6.5,"na",30.85,6.68,0.81,5.18,1.08,0.33,3.82,0.01,0.13,0.1,0.68,5.62,2.39,11.41,0.84,0.34,0.0,0.02,0.75,0.17,0.0,5.85,0.48,10.45,15.66,0.21,0.0,"na","na",2.86,0.19,0.0,13.63,2.66,0.77,0.16,0.71,0.24,1.2,0.0,0.35,"na",0.0,11.04,0.0,0.38,0.36,"na",0.73,0.0,1.18,"na",51.63,"na",0.63,0.26,0.0
1969,0.0,0.3,3.76,1.97,"na",0.0,0.42,0.08,52.1,26.82,65.85,3.88,2.61,189.61,30.8,0.09,1.3,4.87,40.0,103.08,0.61,94.54,12.36,255.46,6.95,"na",33.54,6.39,0.91,5.26,1.2,0.27,3.1,0.01,0.08,0.12,0.9,7.05,1.99,11.98,0.74,0.51,0.0,0.02,0.78,0.13,0.0,6.49,0.52,10.12,17.33,0.32,0.0,"na","na",3.07,0.23,0.0,12.99,2.63,0.84,0.18,0.75,0.21,1.46,0.0,0.5,"na",0.0,9.47,0.0,0.3,0.27,"na",0.8,0.0,0.9,"na",57.93,"na",0.74,0.26,0.0
1970,0.0,0.34,4.74,2.3,"na",0.0,0.49,0.08,55.09,28.99,72.47,4.24,2.67,194.15,33.28,0.1,1.45,5.44,40.82,108.77,0.66,95.9,15.04,266.62,9.01,"na",35.15,6.6,0.97,5.44,1.34,0.39,3.97,0.01,0.13,0.13,1.06,6.4,2.15,12.83,1.03,0.66,0.0,0.02,0.95,0.18,0.0,6.89,0.56,9.93,16.61,0.28,0.0,"na","na",3.4,0.3,0.0,13.09,2.87,0.87,0.35,0.66,0.43,1.33,0.0,0.63,"na",0.0,9.4,0.0,0.45,0.45,"na",0.7,0.0,0.81,"na",57.36,"na",0.93,0.26,0.0
1971,0.0,0.35,3.72,2.6,"na",0.04,0.49,0.05,54.53,29.35,76.94,4.56,2.72,201.07,33.95,0.12,1.77,5.79,44.36,110.1,0.72,100.41,16.63,278.01,9.78,"na",35.53,6.57,1.0,6.58,1.42,0.27,3.04,0.01,0.07,0.14,1.14,7.33,2.42,11.06,0.76,0.67,0.0,0.02,0.31,0.11,0.0,7.55,0.6,9.61,17.97,0.3,0.0,"na","na",3.27,0.3,0.0,14.47,3.26,0.97,0.39,0.86,0.43,1.42,0.0,1.02,"na",0.0,11.77,0.0,0.34,0.52,"na",0.58,0.0,0.7,"na",61.6,"na",1.22,0.26,0.02
1972,0.0,0.34,3.86,2.61,"na",0.04,0.47,0.05,57.11,28.63,81.31,5.26,2.8,209.59,33.97,0.12,1.66,6.72,46.37,112.75,0.91,105.32,18.83,290.9,11.47,"na",38.77,5.48,1.18,7.46,1.57,0.28,2.99,0.01,0.11,0.24,1.17,7.87,2.24,11.05,0.76,0.67,0.0,0.02,0.28,0.16,0.0,7.33,0.79,10.33,19.0,0.31,0.0,"na","na",3.49,0.28,0.0,15.42,3.45,1.0,0.32,0.91,0.44,1.72,0.0,1.66,"na",0.0,12.17,0.0,0.35,0.49,"na",0.77,0.0,0.82,"na",63.07,"na",1.36,0.26,0.19
1973,0.0,0.67,4.26,2.78,"na",0.07,0.58,0.05,56.01,28.54,84.92,5.42,2.82,208.84,33.73,0.1,1.83,6.8,44.94,113.02,0.77,107.1,21.14,293.76,13.1,"na",40.47,6.02,1.2,8.33,1.71,0.25,3.45,0.01,0.17,0.13,1.17,6.45,2.28,10.79,0.87,0.56,0.0,0.02,0.35,0.14,0.0,7.81,0.67,8.5,15.83,0.29,0.0,"na","na",3.68,0.3,0.0,16.67,3.42,1.08,0.42,0.96,0.42,1.83,0.0,1.71,"na",0.0,13.56,0.0,0.3,0.53,"na",0.59,0.0,0.77,"na",62.95,"na",1.41,0.26,0.04
1974,0.0,1.13,4.95,3.14,"na",0.05,0.47,0.07,59.89,30.8,93.88,6.08,2.93,227.35,36.84,0.24,1.84,7.83,48.96,121.14,0.98,118.12,24.2,321.23,14.86,"na",44.79,6.3,1.37,9.43,1.95,0.39,3.99,0.01,0.11,0.13,1.38,7.0,2.74,12.72,0.92,0.51,0.0,0.02,0.39,0.18,0.0,7.51,0.74,8.19,17.88,0.43,0.0,"na","na",3.8,0.29,0.0,17.35,3.44,1.18,0.5,0.96,0.56,1.76,0.0,1.92,"na",0.0,12.97,0.0,0.52,0.67,"na",0.76,0.0,1.07,"na",69.53,"na",1.75,0.26,0.25
