title         = ASCII CSV version of Hydro consumption data from the 2011 British Petroleum Statistical Review (worksheet 36)
file URL      = http://mazamascience.com/OilExport/BP_2011_hydro_consumption_twh.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,1.21,17.31,7.69,"na",0.0,2.0,0.39,221.71,85.32,212.33,10.6,11.07,713.48,96.28,0.17,3.48,12.72,152.11,393.67,1.89,324.96,40.46,925.81,23.98,"na",117.12,24.1,3.96,22.1,3.46,2.23,16.21,0.02,0.39,0.34,1.73,20.03,9.52,46.88,4.61,0.83,0.0,0.07,1.83,0.94,0.0,19.17,1.72,46.01,70.04,0.71,0.0,"na","na",8.86,0.6,0.0,49.36,10.02,2.63,0.76,2.2,0.92,4.06,0.0,1.0,"na",0.0,46.45,0.0,2.22,1.1,"na",2.21,0.0,3.67,"na",198.97,"na",1.4,1.17,0.0
1966,0.0,1.23,17.34,7.35,"na",0.0,2.01,0.41,239.53,96.21,231.74,11.15,11.14,758.96,108.25,0.26,4.93,13.34,164.93,426.37,2.11,338.92,45.04,990.7,26.22,"na",128.82,27.52,4.16,22.49,3.85,2.1,17.53,0.02,0.36,0.39,1.83,27.74,10.57,52.21,4.54,1.89,0.0,0.11,2.37,0.85,0.0,20.02,1.85,47.18,79.81,0.99,0.0,"na","na",10.16,0.71,0.0,48.69,10.81,2.82,0.8,2.2,0.93,5.4,0.0,1.03,"na",0.0,45.53,0.0,2.13,1.27,"na",2.38,0.0,3.81,"na",199.94,"na",1.43,1.17,0.0
1967,0.0,1.26,17.7,7.61,"na",0.0,2.02,0.36,231.46,92.8,234.5,12.6,11.18,779.94,105.74,0.29,5.15,14.97,155.33,422.79,2.28,371.42,47.65,1014.44,27.43,"na",133.13,29.85,4.26,19.38,4.29,1.9,16.65,0.02,0.41,0.44,1.97,23.06,11.84,45.38,4.88,1.82,0.0,0.08,2.66,0.8,0.0,22.4,1.99,45.75,69.0,0.95,0.0,"na","na",11.07,0.74,0.0,53.32,11.22,3.16,1.07,2.6,0.99,5.59,0.0,1.48,"na",0.0,49.31,0.0,1.83,1.74,"na",2.41,0.0,3.59,"na",227.22,"na",1.66,1.17,0.0
1968,0.0,1.48,18.16,7.95,"na",0.0,1.3,0.36,234.67,109.01,267.82,14.76,11.41,797.47,123.31,0.34,5.33,18.32,165.91,450.95,2.48,377.12,50.51,1065.29,28.71,"na",136.32,29.52,3.57,22.87,4.78,1.47,16.9,0.02,0.56,0.46,3.0,24.82,10.57,50.42,3.72,1.5,0.0,0.09,3.29,0.77,0.0,25.85,2.14,46.18,69.2,0.93,0.0,"na","na",12.64,0.82,0.0,60.23,11.77,3.39,0.7,3.13,1.06,5.31,0.0,1.56,"na",0.0,48.79,0.0,1.67,1.58,"na",3.24,0.0,5.23,"na",228.15,"na",2.79,1.17,0.0
1969,0.0,1.33,16.6,8.68,"na",0.0,1.84,0.34,230.25,118.55,291.0,17.16,11.55,837.96,136.14,0.38,5.76,21.51,176.75,455.57,2.68,417.8,54.64,1128.96,30.72,"na",148.23,28.25,4.03,23.26,5.32,1.2,13.71,0.02,0.36,0.51,3.99,31.14,8.81,52.94,3.26,2.26,0.0,0.09,3.44,0.58,0.0,28.7,2.3,44.72,76.58,1.43,0.0,"na","na",13.55,1.03,0.0,57.39,11.64,3.7,0.8,3.3,0.91,6.44,0.0,2.22,"na",0.0,41.86,0.0,1.3,1.18,"na",3.54,0.0,3.99,"na",256.03,"na",3.28,1.17,0.0
1970,0.0,1.52,20.96,10.17,"na",0.0,2.15,0.36,243.48,128.12,320.29,18.76,11.79,858.02,147.08,0.45,6.41,24.03,180.41,480.68,2.93,423.82,66.45,1178.31,39.81,"na",155.32,29.17,4.3,24.04,5.92,1.71,17.53,0.02,0.58,0.56,4.69,28.27,9.52,56.68,4.54,2.92,0.0,0.09,4.19,0.8,0.0,30.44,2.48,43.87,73.41,1.22,0.0,"na","na",15.0,1.3,0.0,57.85,12.67,3.83,1.54,2.92,1.88,5.89,0.0,2.77,"na",0.0,41.54,0.0,1.97,2.0,"na",3.09,0.0,3.56,"na",253.49,"na",4.11,1.17,0.0
1971,0.0,1.52,16.44,11.51,"na",0.17,2.17,0.21,240.99,129.72,340.04,20.13,12.02,888.61,150.06,0.52,7.81,25.6,196.06,486.57,3.18,443.74,73.5,1228.65,43.2,"na",157.03,29.04,4.4,29.08,6.28,1.18,13.46,0.02,0.33,0.61,5.05,32.39,10.68,48.86,3.37,2.94,0.0,0.09,1.38,0.47,0.0,33.38,2.66,42.49,79.41,1.33,0.0,"na","na",14.46,1.31,0.0,63.94,14.39,4.28,1.71,3.81,1.92,6.25,0.0,4.5,"na",0.0,52.03,0.0,1.51,2.29,"na",2.55,0.0,3.09,"na",272.25,"na",5.4,1.17,0.09
1972,0.0,1.48,17.06,11.55,"na",0.17,2.09,0.24,252.37,126.53,359.35,23.22,12.38,926.27,150.13,0.52,7.32,29.71,204.93,498.27,4.02,465.47,83.22,1285.61,50.69,"na",171.33,24.23,5.22,32.95,6.96,1.26,13.21,0.02,0.5,1.07,5.16,34.79,9.9,48.83,3.37,2.97,0.0,0.11,1.23,0.69,0.0,32.4,3.5,45.66,83.95,1.37,0.0,"na","na",15.42,1.24,0.0,68.14,15.26,4.44,1.43,4.01,1.93,7.59,0.0,7.34,"na",0.0,53.78,0.0,1.56,2.15,"na",3.39,0.0,3.64,"na",278.72,"na",6.02,1.17,0.83
1973,0.0,2.96,18.83,12.29,"na",0.33,2.57,0.22,247.54,126.13,375.29,23.93,12.45,922.95,149.06,0.46,8.09,30.03,198.59,499.46,3.42,473.32,93.42,1298.24,57.91,"na",178.83,26.59,5.32,36.83,7.57,1.08,15.23,0.02,0.76,0.58,5.15,28.52,10.09,47.7,3.84,2.46,0.0,0.09,1.56,0.64,0.0,34.51,2.97,37.55,69.97,1.28,0.0,"na","na",16.27,1.31,0.0,73.65,15.1,4.77,1.85,4.23,1.85,8.07,0.0,7.55,"na",0.0,59.9,0.0,1.33,2.33,"na",2.62,0.0,3.39,"na",278.21,"na",6.22,1.17,0.19
1974,0.0,4.97,21.88,13.87,"na",0.24,2.08,0.32,264.66,136.11,414.91,26.88,12.93,1004.75,162.83,1.08,8.13,34.62,216.39,535.36,4.35,522.0,106.94,1419.66,65.69,"na",197.94,27.85,6.05,41.67,8.6,1.73,17.64,0.02,0.5,0.58,6.12,30.92,12.12,56.23,4.07,2.23,0.0,0.08,1.72,0.79,0.0,33.2,3.27,36.21,79.01,1.91,0.0,"na","na",16.78,1.29,0.0,76.65,15.19,5.22,2.22,4.26,2.45,7.78,0.0,8.48,"na",0.0,57.3,0.0,2.32,2.98,"na",3.36,0.0,4.71,"na",307.28,"na",7.71,1.17,1.12
