title         = ASCII CSV version of Nuclear consumption data from the 2011 British Petroleum Statistical Review (worksheet 35)
file URL      = http://mazamascience.com/OilExport/BP_2011_nuclear_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,4.51,0.42,0.42,0.0,0.0,5.39,0.42,0.0,0.0,0.0,0.01,4.93,0.0,0.87,0.0,5.81,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.24,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.01,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.87,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,5.92,0.47,0.47,0.0,0.0,7.32,0.47,0.0,0.0,0.0,0.08,6.38,0.0,1.31,0.0,7.78,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.36,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.08,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.01,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",1.31,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.02,7.03,0.51,0.51,0.0,0.0,9.04,0.51,0.0,0.0,0.0,0.19,7.54,0.0,1.82,0.0,9.55,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.19,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.01,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",1.82,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.02,7.82,0.71,0.71,0.0,0.0,10.96,0.71,0.0,0.0,0.0,0.16,8.53,0.0,2.98,0.0,11.67,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.02,0.0,0.8,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.16,0.0,0.0,"na","na",0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.01,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",2.98,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.01,9.59,0.82,0.99,0.0,0.0,13.24,0.82,0.0,0.0,0.0,0.38,10.53,0.0,3.32,0.0,14.22,0.0,"na",0.0,0.12,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.19,0.0,1.12,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.39,0.21,0.0,0.0,"na","na",0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.01,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",3.32,"na",0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.01,9.7,0.99,1.29,0.0,0.0,16.21,0.99,0.0,0.0,0.0,1.04,11.26,0.0,5.19,0.0,17.5,0.0,"na",0.0,0.56,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.21,0.0,1.29,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.73,0.75,0.0,0.0,"na","na",0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.01,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",5.19,"na",0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,11.22,1.22,1.45,0.0,0.0,23.43,1.22,0.0,0.0,0.0,1.84,13.07,0.0,9.98,0.0,24.88,0.0,"na",0.91,0.62,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.58,0.0,2.11,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.78,1.61,0.0,0.0,"na","na",0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,"na",0.0,0.02,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",9.08,"na",0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,14.45,2.23,2.48,0.0,0.0,31.65,2.23,0.0,0.0,0.0,2.24,17.49,0.0,14.4,0.0,34.13,0.0,"na",1.52,0.81,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,1.06,0.0,3.3,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.87,1.99,0.0,0.0,"na","na",0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,"na",0.0,0.33,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",12.88,"na",0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.02,15.39,3.24,3.77,0.0,0.0,42.08,3.24,0.0,0.0,0.0,2.68,20.05,0.0,23.12,0.0,45.84,0.0,"na",3.24,1.42,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,1.49,0.0,3.34,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.69,2.15,0.0,0.0,"na","na",0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,"na",0.0,0.48,0.0,0.05,0.0,"na",0.0,0.0,0.0,"na",19.88,"na",0.0,0.0,0.0
1974,0.0,0.23,0.0,0.0,"na",0.0,0.21,0.03,18.08,4.86,5.83,0.0,0.0,53.76,4.86,0.0,0.0,0.0,4.73,24.33,0.0,30.29,0.23,59.59,0.0,"na",3.15,1.39,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,1.63,0.0,3.33,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.74,4.21,0.0,0.0,"na","na",0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,"na",0.0,0.47,0.0,0.11,0.0,"na",0.0,0.0,0.0,"na",27.15,"na",0.0,0.0,0.0
1975,0.0,0.52,0.0,0.0,"na",0.0,0.58,1.54,24.49,6.48,8.19,0.0,0.0,74.25,6.48,0.0,0.0,0.0,5.54,32.63,0.0,43.76,0.52,82.44,0.0,"na",2.67,1.67,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,1.71,0.0,4.13,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.75,4.91,0.0,0.0,"na","na",0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,"na",0.0,2.71,0.0,0.04,0.0,"na",0.0,0.0,0.0,"na",41.09,"na",0.0,0.0,0.0
1976,0.0,0.53,0.0,0.0,"na",0.0,1.13,2.27,28.96,8.63,11.01,0.0,0.0,87.05,8.63,0.0,0.0,0.0,9.03,39.38,0.0,49.12,0.53,98.06,0.0,"na",3.6,1.79,0.0,0.0,0.0,0.0,6.71,0.0,0.0,0.0,0.0,1.71,0.0,3.57,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.86,8.32,0.0,0.0,"na","na",0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,"na",0.0,3.62,0.0,0.1,0.0,"na",0.0,0.0,0.0,"na",45.52,"na",0.0,0.0,0.0
1977,0.0,0.37,0.0,0.0,"na",0.0,1.33,2.7,34.71,11.55,13.76,0.0,0.0,107.41,11.55,0.0,0.0,0.0,6.91,48.08,0.0,65.81,0.37,121.17,0.0,"na",6.06,1.83,0.0,0.0,0.0,0.0,9.34,0.0,0.0,0.0,0.0,1.48,0.6,4.07,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.76,6.37,0.02,0.0,"na","na",0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,"na",0.0,4.51,0.0,0.03,0.0,"na",0.0,0.0,0.02,"na",59.76,"na",0.0,0.0,0.0
1978,0.0,0.65,0.0,0.0,"na",0.0,1.34,2.83,39.08,11.87,15.01,0.0,0.0,125.14,11.87,0.0,0.0,0.0,13.46,52.76,0.0,73.29,0.65,140.15,0.0,"na",7.45,1.81,0.0,0.0,0.0,0.0,9.93,0.0,0.0,0.0,0.0,1.73,0.74,6.9,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,1.0,11.78,0.53,0.0,"na","na",0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"na",0.0,5.38,0.0,0.0,0.0,"na",0.0,0.0,0.6,"na",65.83,"na",0.0,0.0,0.0
