title         = ASCII CSV version of Nuclear consumption data from the 2011 British Petroleum Statistical Review (worksheet 34)
file URL      = http://mazamascience.com/OilExport/BP_2011_nuclear_consumption_twh.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,19.92,1.86,1.86,0.0,0.0,23.8,1.86,0.0,0.0,0.0,0.03,21.78,0.0,3.85,0.0,25.66,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.06,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.03,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.02,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",3.85,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.01,26.15,2.06,2.06,0.0,0.0,32.33,2.06,0.0,0.0,0.0,0.37,28.21,0.0,5.81,0.0,34.4,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,1.6,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.37,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.05,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",5.81,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.1,31.06,2.25,2.25,0.0,0.0,39.97,2.25,0.0,0.0,0.0,0.85,33.31,0.0,8.06,0.0,42.22,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,2.92,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.85,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.05,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",8.06,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.07,34.55,3.13,3.13,0.0,0.0,48.46,3.13,0.0,0.0,0.0,0.72,37.68,0.0,13.19,0.0,51.59,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.08,0.0,3.54,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.72,0.0,0.0,"na","na",0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.02,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",13.19,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.02,42.37,3.63,4.36,0.0,0.0,58.5,3.63,0.0,0.0,0.0,1.66,46.54,0.0,14.66,0.0,62.86,0.0,"na",0.0,0.53,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.84,0.0,4.96,29.13,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.71,0.94,0.0,0.0,"na","na",0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.06,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",14.66,"na",0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.06,42.88,4.39,5.7,0.0,0.0,71.63,4.39,0.0,0.0,0.0,4.61,49.76,0.0,22.95,0.0,77.32,0.0,"na",0.0,2.49,0.0,0.0,0.0,0.0,6.49,0.0,0.0,0.0,0.0,0.94,0.0,5.71,26.02,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,3.24,3.31,0.0,0.0,"na","na",0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.05,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",22.95,"na",0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,49.6,5.39,6.41,0.0,0.0,103.56,5.39,0.0,0.0,0.0,8.12,57.74,0.0,44.11,0.0,109.97,0.0,"na",4.0,2.75,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0,2.57,0.0,9.34,27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,3.43,7.1,0.0,0.0,"na","na",0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,"na",0.0,0.09,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",40.11,"na",0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.01,63.86,9.83,10.96,0.0,0.0,139.87,9.83,0.0,0.0,0.0,9.91,77.28,0.0,63.64,0.0,150.83,0.0,"na",6.7,3.59,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,4.7,0.0,14.6,29.38,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,3.84,8.78,0.0,0.0,"na","na",0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,"na",0.0,1.47,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",56.94,"na",0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.08,68.02,14.31,16.64,0.0,0.0,185.96,14.31,0.0,0.0,0.0,11.83,88.6,0.0,102.17,0.0,202.6,0.0,"na",14.3,6.27,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,6.59,0.0,14.74,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,3.04,9.5,0.0,0.0,"na","na",0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,"na",0.0,2.11,0.0,0.23,0.0,"na",0.0,0.0,0.0,"na",87.87,"na",0.0,0.0,0.0
1974,0.0,1.03,0.0,0.0,"na",0.0,0.93,0.15,79.91,21.46,25.74,0.0,0.0,237.6,21.46,0.0,0.0,0.0,20.91,107.53,0.0,133.88,1.03,263.34,0.0,"na",13.9,6.16,0.0,0.0,0.0,0.0,14.46,0.0,0.0,0.0,0.0,7.21,0.0,14.69,33.62,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.26,18.58,0.0,0.0,"na","na",0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,"na",0.0,2.06,0.0,0.49,0.0,"na",0.0,0.0,0.0,"na",119.97,"na",0.0,0.0,0.0
1975,0.0,2.29,0.0,0.0,"na",0.0,2.55,6.78,108.21,28.62,36.21,0.0,0.0,328.13,28.62,0.0,0.0,0.0,24.47,144.2,0.0,193.38,2.29,364.34,0.0,"na",11.8,7.37,0.0,0.0,0.0,0.0,24.14,0.0,0.0,0.0,0.0,7.54,0.0,18.25,30.34,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,3.33,21.71,0.0,0.0,"na","na",0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,"na",0.0,11.97,0.0,0.19,0.0,"na",0.0,0.0,0.0,"na",181.58,"na",0.0,0.0,0.0
