title         = ASCII CSV version of Oil consumption data from the 2011 British Petroleum Statistical Review (worksheet 6)
file URL      = http://mazamascience.com/OilExport/BP_2011_oil_consumption_bbl.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,430.6,107.1,347.9,"na",0.0,71.2,326.3,7791.9,3314.0,7634.6,252.0,62.5,23148.1,3402.0,176.4,424.6,527.4,3224.2,11544.8,953.6,12926.7,1606.1,30782.8,306.8,"na",1108.1,164.8,68.1,216.1,72.6,78.1,1714.2,199.8,26.8,13.5,130.9,269.1,110.8,1069.8,1448.7,85.0,40.6,73.1,122.4,46.7,80.8,252.6,200.5,982.2,1703.9,25.0,103.9,"na","na",296.4,41.0,478.9,101.2,57.2,71.7,84.9,75.8,108.7,54.0,1.0,142.5,"na",390.7,369.1,71.5,44.9,47.6,"na",96.4,36.8,43.9,"na",11522.2,"na",181.5,31.3,117.7
1966,0.0,445.9,118.7,372.1,"na",0.0,81.1,337.1,8563.3,3548.8,8286.9,281.1,72.6,24864.2,3655.3,185.3,458.0,584.4,3690.2,12585.1,987.2,13577.0,1727.3,33151.1,336.3,"na",1167.5,175.4,75.5,277.4,83.3,85.9,1922.3,225.5,35.5,14.1,140.0,319.7,134.8,1150.1,1555.5,93.1,44.7,80.9,117.9,52.4,84.4,281.9,221.4,1083.6,1943.9,37.4,100.8,"na","na",309.1,48.7,523.2,114.4,63.2,92.2,92.6,77.9,113.9,57.4,1.0,148.9,"na",394.0,416.7,83.4,49.4,56.0,"na",89.8,37.0,51.8,"na",12100.3,"na",185.0,68.5,127.9
1967,0.0,458.6,126.2,405.7,"na",0.0,101.8,375.3,9298.0,3866.1,8872.2,304.4,83.8,26676.0,3995.0,194.9,481.3,592.2,4306.4,13697.1,1024.5,14143.7,1784.4,35548.2,346.6,"na",1245.6,188.8,80.0,274.0,83.9,95.5,2005.1,239.2,33.4,15.2,115.9,388.8,141.6,1320.6,1676.4,109.5,53.6,86.1,114.8,58.7,88.0,289.8,244.6,1202.8,2386.9,64.8,97.7,"na","na",331.3,48.2,535.0,119.6,66.3,93.0,104.3,86.9,124.2,63.2,1.6,170.0,"na",397.4,408.9,103.6,54.9,62.0,"na",110.0,38.8,61.4,"na",12566.9,"na",187.0,100.3,138.5
1968,0.9,467.9,144.9,446.2,"na",0.0,120.5,420.7,10177.2,4107.3,9493.9,320.3,90.6,28972.7,4257.0,204.4,481.1,626.6,4917.4,14881.8,1062.5,15088.2,1890.1,38466.6,415.3,"na",1322.2,208.4,84.8,298.8,94.2,105.6,2241.0,264.5,35.5,18.1,120.7,412.3,159.9,1423.9,1781.9,112.6,58.3,90.2,121.1,65.1,91.6,324.8,269.5,1323.2,2763.6,95.5,94.4,"na","na",361.5,48.5,574.2,131.0,68.0,92.9,118.7,98.8,154.4,67.9,2.0,180.3,"na",399.7,457.9,128.4,60.7,81.1,"na",124.0,39.5,72.9,"na",13404.5,"na",196.4,102.1,150.1
1969,1.3,491.3,159.3,479.0,"na",0.0,148.5,483.7,11412.8,4376.2,10244.2,354.0,99.9,31631.7,4540.9,215.6,518.8,648.8,5753.6,16445.4,1109.5,15915.7,2002.9,41875.9,461.1,"na",1380.2,227.3,91.4,401.7,90.5,113.5,2529.7,318.1,37.8,19.1,91.7,470.4,185.0,1648.0,1921.5,120.3,69.6,101.0,131.1,71.2,95.9,392.9,298.4,1467.6,3282.2,129.9,91.8,"na","na",382.5,50.4,626.8,145.5,70.9,91.1,127.6,92.9,170.3,76.8,2.3,200.3,"na",404.2,516.9,126.4,65.2,88.0,"na",137.6,41.6,87.3,"na",14153.0,"na",197.9,123.7,165.3
1970,2.7,444.7,176.5,500.7,"na",0.0,172.6,540.4,12636.4,4826.4,11191.1,380.2,104.0,34214.8,5017.1,226.8,547.5,719.7,6652.0,18201.1,1157.8,16593.0,2082.2,45405.9,522.2,"na",1471.6,254.7,96.5,555.7,105.9,136.7,2774.2,353.3,43.1,21.6,117.3,535.6,207.9,1866.6,2030.3,130.2,74.9,117.5,138.2,79.6,100.0,391.0,329.6,1664.5,3874.2,162.3,89.0,"na","na",411.5,56.9,702.0,163.2,82.9,95.5,144.9,92.0,181.1,90.3,2.0,217.6,"na",407.7,561.1,138.4,78.6,102.8,"na",149.5,42.8,104.7,"na",14709.9,"na",205.5,128.3,179.1
1971,3.0,477.6,197.1,528.5,"na",0.0,189.5,549.8,13238.0,5126.5,12057.1,406.3,99.3,35882.8,5347.5,251.0,562.5,773.0,7386.6,19168.9,1223.0,17168.7,2219.8,47939.9,581.4,"na",1512.1,270.5,108.0,755.2,114.8,151.2,2899.5,354.0,49.0,24.0,122.3,595.1,215.7,2029.6,2038.4,143.7,79.6,132.7,143.0,88.1,104.4,417.0,364.1,1796.1,4283.4,183.3,87.5,"na","na",433.8,62.3,698.3,163.1,85.5,95.8,168.4,87.3,191.0,106.7,1.9,221.9,"na",411.2,530.5,122.8,86.9,114.4,"na",172.0,44.3,148.0,"na",15222.8,"na",211.3,108.5,195.4
1972,3.9,470.9,212.8,529.4,"na",15.5,196.5,600.7,14153.8,5547.1,13092.1,436.0,112.0,38397.1,5778.2,269.9,598.8,841.6,7939.3,20545.3,1319.0,18450.4,2393.7,51489.3,667.3,"na",1588.9,276.7,112.2,866.9,129.3,164.7,3048.4,371.6,53.7,24.8,140.0,624.7,228.5,2245.8,2156.5,165.3,90.0,144.1,154.9,96.6,108.4,448.0,401.6,1893.4,4568.4,190.8,94.7,"na","na",480.7,70.3,780.1,169.1,91.7,82.1,164.8,71.3,213.6,114.5,2.3,236.0,"na",438.2,541.5,151.9,94.6,142.7,"na",191.7,69.9,159.0,"na",16380.8,"na",238.3,111.7,212.0
1973,6.1,474.0,231.4,580.0,"na",17.7,208.0,613.0,15167.8,5981.4,14334.2,484.6,112.5,41303.5,6235.8,279.1,640.7,909.6,9073.8,22087.3,1429.8,19515.0,2622.1,55637.7,822.0,"na",1682.4,298.4,106.6,1061.2,126.8,184.9,3261.8,347.9,59.0,27.6,131.8,747.5,255.6,2507.9,2226.2,192.9,93.9,163.1,185.1,104.8,115.8,474.3,470.6,1989.6,5262.0,235.4,89.6,"na","na",514.7,80.9,812.0,171.8,96.9,96.0,193.3,73.3,238.1,121.9,2.9,265.2,"na",465.7,564.0,143.3,106.3,151.4,"na",239.1,71.0,202.4,"na",17317.9,"na",257.5,109.9,234.2
1974,8.4,470.0,208.1,599.2,"na",19.4,216.2,546.8,14255.0,6587.9,15226.5,498.8,116.7,39599.4,6870.6,281.9,628.7,938.9,9000.1,21764.0,1482.5,18931.9,2708.6,54825.9,887.2,"na",1712.7,266.1,103.7,1220.1,141.5,189.0,2969.5,310.5,65.8,31.5,145.9,777.8,223.8,2383.7,2070.6,180.2,96.4,178.4,194.0,103.8,117.7,464.9,500.8,1933.6,5066.4,243.8,82.0,"na","na",588.6,81.8,701.6,154.2,92.0,112.6,180.5,79.1,250.0,127.2,4.0,244.4,"na",487.7,507.7,140.9,108.6,153.7,"na",241.5,70.1,183.7,"na",16630.6,"na",263.2,67.5,228.4
