title         = ASCII CSV version of Oil consumption data from the 2011 British Petroleum Statistical Review (worksheet 7)
file URL      = http://mazamascience.com/OilExport/BP_2011_oil_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,21.95,5.56,16.9,"na",0.0,3.7,16.96,400.1,169.69,386.32,12.48,3.05,1143.8,174.14,8.75,21.53,26.31,163.41,591.89,47.68,620.17,80.65,1530.12,14.88,"na",53.84,8.04,3.34,10.96,3.38,4.0,86.27,10.22,1.29,0.66,6.94,14.21,5.72,53.89,74.22,4.43,2.12,3.78,6.12,2.42,4.12,12.64,10.03,52.29,87.88,1.29,5.15,"na","na",14.23,2.0,25.29,5.19,2.72,3.58,4.18,3.78,5.41,2.74,0.0,7.15,"na",19.58,18.95,3.83,2.3,2.3,"na",5.02,1.99,2.16,"na",552.11,"na",9.34,1.49,5.61
1966,0.0,22.68,6.12,18.12,"na",0.0,4.23,17.52,438.56,181.72,419.01,13.96,3.54,1227.91,187.11,9.2,23.28,29.2,186.81,643.97,49.37,651.14,86.44,1646.92,16.22,"na",56.71,8.55,3.7,14.07,3.92,4.42,96.47,11.56,1.69,0.69,7.45,16.8,6.92,57.66,79.47,4.84,2.32,4.14,5.89,2.7,4.3,14.13,11.07,57.65,99.99,1.93,4.99,"na","na",14.76,2.37,27.38,5.88,3.01,4.5,4.56,3.88,5.62,2.9,0.0,7.45,"na",19.75,21.48,4.47,2.54,2.72,"na",4.55,2.01,2.56,"na",579.67,"na",9.45,3.25,6.09
1967,0.0,23.22,6.51,19.81,"na",0.0,5.32,19.46,474.69,197.97,448.49,15.12,4.08,1317.5,204.51,9.67,24.46,29.38,218.57,699.44,51.23,678.23,89.15,1765.99,16.76,"na",60.57,9.26,3.87,13.9,3.94,4.92,100.07,12.24,1.58,0.75,6.06,20.34,7.25,66.22,85.25,5.69,2.78,4.38,5.67,3.02,4.48,14.57,12.23,63.72,122.9,3.34,4.84,"na","na",15.78,2.42,28.0,6.11,3.17,4.54,5.15,4.34,6.09,3.2,0.07,8.43,"na",19.91,21.02,5.61,2.83,3.02,"na",5.6,2.1,3.05,"na",601.88,"na",9.5,4.76,6.62
1968,0.0,23.73,7.54,21.89,"na",0.0,6.3,21.89,520.88,210.94,481.22,15.95,4.43,1435.76,218.57,10.17,24.56,31.17,250.5,761.99,53.27,725.45,94.6,1916.98,20.14,"na",64.48,10.28,4.1,15.2,4.43,5.42,112.37,13.64,1.68,0.89,6.34,21.61,8.22,71.78,90.39,5.82,3.04,4.58,5.99,3.36,4.68,16.32,13.51,70.26,142.67,4.94,4.69,"na","na",17.29,2.45,30.11,6.69,3.25,4.57,5.88,4.94,7.62,3.44,0.09,8.87,"na",20.08,23.76,7.01,3.12,3.99,"na",6.37,2.14,3.64,"na",643.68,"na",10.03,4.85,7.2
1969,0.06,24.67,8.28,23.43,"na",0.0,7.74,25.13,582.63,224.19,516.91,17.53,4.87,1566.73,232.55,10.7,26.29,31.9,292.25,839.87,55.48,764.76,99.39,2083.64,22.11,"na",67.14,11.17,4.37,20.38,4.22,5.82,126.33,16.49,1.78,0.95,4.68,24.6,9.56,82.95,97.32,6.19,3.61,5.12,6.39,3.65,4.88,19.6,14.92,77.33,168.99,6.71,4.55,"na","na",18.21,2.53,32.9,7.41,3.38,4.51,6.3,4.63,8.39,3.85,0.11,9.9,"na",20.26,26.8,6.88,3.35,4.33,"na",7.06,2.26,4.37,"na",679.41,"na",10.02,5.86,7.92
1970,0.12,21.94,9.1,24.45,"na",0.0,8.99,27.94,645.79,247.11,564.5,18.78,5.07,1697.68,256.8,11.26,27.84,35.47,337.93,930.13,57.89,797.86,102.9,2262.18,25.18,"na",71.61,12.52,4.6,28.19,4.81,6.98,138.75,18.38,2.03,1.08,6.08,28.07,10.76,94.27,103.57,6.71,3.89,5.93,6.79,4.1,5.1,19.51,16.48,87.33,199.15,8.38,4.41,"na","na",19.6,2.85,36.51,8.3,3.98,4.74,7.18,4.58,8.86,4.61,0.09,10.71,"na",20.43,29.2,7.52,4.01,5.05,"na",7.72,2.32,5.25,"na",706.65,"na",10.4,6.08,8.58
1971,0.14,23.49,10.16,25.8,"na",0.0,9.89,28.38,674.73,262.34,607.61,20.19,4.82,1778.23,273.53,12.62,28.63,38.13,374.53,977.59,61.28,824.87,109.44,2385.85,27.96,"na",73.52,13.28,5.18,38.43,5.29,7.69,144.04,18.39,2.29,1.19,6.26,30.9,11.14,102.77,104.27,7.41,4.1,6.68,7.03,4.53,5.32,20.48,18.2,93.82,219.67,9.46,4.32,"na","na",20.71,3.13,35.99,8.24,4.1,4.7,8.32,4.29,9.42,5.44,0.09,10.88,"na",20.6,27.4,6.62,4.42,5.63,"na",8.95,2.4,7.52,"na",730.64,"na",10.61,5.14,9.39
1972,0.18,23.16,10.96,25.78,"na",0.76,10.28,31.05,722.59,284.6,661.76,21.61,5.49,1908.02,296.31,13.62,30.62,41.52,403.29,1049.82,66.28,890.51,118.38,2569.78,32.08,"na",77.4,13.61,5.38,44.18,6.03,8.42,152.24,19.38,2.51,1.23,7.15,32.54,11.87,114.12,110.54,8.59,4.68,7.26,7.58,4.98,5.54,22.09,20.14,98.19,234.36,9.88,4.69,"na","na",23.19,3.54,40.06,8.53,4.42,4.0,8.16,3.55,10.58,5.85,0.11,11.62,"na",22.02,28.0,8.25,4.84,7.08,"na",10.02,3.88,8.15,"na",789.92,"na",12.0,5.33,10.24
1973,0.28,23.19,11.87,28.21,"na",0.88,10.85,31.52,771.9,306.03,722.28,24.09,5.51,2048.58,318.83,14.01,32.71,44.86,459.63,1125.06,71.61,940.54,129.16,2770.86,39.6,"na",81.65,14.65,5.06,53.83,5.8,9.47,162.23,17.93,2.74,1.36,6.72,39.14,13.27,127.27,113.23,10.0,4.86,8.15,9.06,5.4,5.9,23.31,23.53,103.56,269.07,12.16,4.42,"na","na",24.66,4.06,41.29,8.57,4.68,4.66,9.6,3.64,11.74,6.26,0.14,13.07,"na",23.34,28.9,7.71,5.44,7.5,"na",12.43,3.91,10.33,"na",834.23,"na",12.87,5.24,11.3
1974,0.39,23.13,10.61,29.04,"na",0.97,11.28,28.09,725.45,336.85,767.26,24.73,5.69,1962.83,351.05,14.13,32.11,46.2,455.63,1108.5,74.22,912.21,133.33,2730.09,42.76,"na",83.01,13.03,4.93,61.89,6.5,9.72,146.98,16.02,3.04,1.56,7.42,41.08,11.56,121.01,105.26,9.39,4.97,8.93,9.47,5.35,5.99,22.83,25.04,100.76,258.95,12.55,4.05,"na","na",28.41,4.1,35.39,7.69,4.46,5.49,8.98,3.92,12.39,6.58,0.19,12.05,"na",24.44,26.2,7.6,5.59,7.66,"na",12.5,3.86,9.37,"na",800.79,"na",13.01,3.19,11.01
