title         = ASCII CSV version of Oil Production data from the 2011 British Petroleum Statistical Review (worksheet 4)
file URL      = http://mazamascience.com/OilExport/BP_2011_oil_production.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,282.0,13.3,275.7,7.0,"na",80.0,707.1,4857.8,20983.1,13027.0,2.1,35.1,10823.3,5336.5,61.0,13921.7,47.1,2239.5,898.3,5651.8,8387.0,10296.0,4333.8,31806.4,96.0,920.0,1.4,226.8,203.0,0.0,577.4,8.0,126.0,25.3,1.7,0.0,486.0,62.3,1313.0,1908.0,47.8,2371.0,"na",1220.0,362.0,1.0,274.0,0.0,0.0,66.0,233.0,265.8,"na",2219.0,0.0,0.0,0.0,0.0,"na",0.0,135.0,9014.0,"na",3503.0,0.0,0.0
1966,360.0,12.8,292.9,9.0,"na",96.0,705.6,5302.0,23084.6,13887.7,2.1,34.1,11486.5,5797.0,65.8,15381.4,54.4,2847.7,1001.8,6108.7,9360.8,10961.0,4291.3,34571.1,117.0,1012.0,1.2,291.8,199.0,0.0,738.6,7.0,121.7,29.0,1.6,0.0,474.0,95.9,1392.0,2132.0,39.1,2505.0,"na",1508.0,370.0,1.0,418.0,0.0,0.0,66.0,291.0,271.0,"na",2615.0,0.0,0.0,0.0,0.0,"na",16.2,153.0,9579.0,"na",3402.0,0.0,0.0
1967,382.0,10.9,318.6,21.0,"na",104.0,713.0,5762.0,24839.5,14977.6,2.1,31.1,12281.0,6277.4,73.0,16380.9,78.2,3142.7,1062.4,6594.7,10014.0,11736.0,4570.8,37120.6,147.0,1106.0,1.0,278.4,192.0,0.0,852.0,6.0,108.6,69.0,1.8,0.0,510.0,116.9,1228.0,2603.0,36.6,2522.0,"na",1733.0,411.0,1.0,319.0,0.0,57.0,74.0,324.0,278.8,"na",2825.0,0.0,0.0,0.0,0.0,"na",47.2,179.0,10219.0,"na",3576.0,0.0,0.0
1968,498.0,15.2,348.2,39.0,"na",122.0,710.7,6167.1,27634.1,16020.9,1.8,35.1,12804.0,6693.2,78.0,18250.1,84.6,4016.9,1239.3,7009.2,11258.0,12233.0,4681.7,40438.1,161.0,1194.0,0.8,319.8,176.0,0.0,932.9,5.0,166.4,92.7,1.7,0.0,599.0,120.4,1503.0,2840.0,34.6,2656.0,"na",2599.0,439.0,4.0,141.0,0.0,241.0,77.0,340.0,279.7,"na",3081.0,0.0,21.0,0.0,0.0,"na",67.0,191.0,10600.0,"na",3639.0,0.0,0.0
1969,599.0,49.9,361.5,45.0,"na",124.0,706.8,6566.0,30456.5,16826.4,1.2,36.4,13178.6,7104.6,78.0,20242.8,83.8,5094.4,1431.1,7421.3,12391.0,12595.0,4702.3,43635.2,176.0,1306.0,0.0,436.0,214.0,0.0,976.9,4.0,239.2,100.7,1.8,0.0,642.0,138.7,1521.0,3376.0,33.9,2819.0,"na",3108.0,461.0,9.0,540.0,0.0,327.0,75.0,356.0,281.1,"na",3262.0,0.0,53.0,0.0,0.0,"na",78.1,157.0,10828.0,"na",3631.0,0.0,0.0
1970,762.0,102.8,399.5,176.0,"na",136.0,701.6,7126.7,34103.3,18174.7,0.9,39.6,13960.3,7663.1,78.5,22762.1,63.9,6111.9,1978.7,7982.3,13904.2,13257.0,4829.4,48063.5,167.0,1473.0,0.0,614.7,226.0,0.0,1051.6,4.0,319.1,108.6,3.5,0.0,854.0,140.5,1549.0,3847.7,31.9,3036.0,"na",3357.0,487.0,18.0,1084.0,0.0,332.0,75.0,363.0,283.8,"na",3851.0,0.0,85.0,0.0,0.0,"na",87.5,140.0,11297.0,"na",3754.0,0.0,0.0
1971,1106.0,116.1,431.5,315.0,"na",129.0,684.5,7610.5,36792.6,18533.4,0.0,42.6,14053.0,8127.6,76.2,24701.7,80.4,5700.5,2386.1,8459.4,16352.6,13224.0,4722.9,50845.6,175.0,1582.0,0.0,790.4,224.0,0.0,809.1,4.0,290.8,116.1,4.9,0.0,892.0,148.2,1694.0,4572.4,28.5,3253.0,"na",2750.0,486.0,69.0,1531.0,6.0,294.0,64.0,430.0,292.3,"na",4821.0,0.0,106.0,0.0,0.0,"na",86.6,129.0,11156.0,"na",3615.0,0.0,0.0
1972,1300.0,142.9,444.1,337.0,"na",182.0,675.9,8064.1,39283.2,19210.9,0.6,44.5,14384.8,8576.0,70.9,26392.9,89.2,5722.5,2802.6,8942.7,18185.9,13520.0,4494.4,53668.0,171.0,1829.0,6.5,913.4,203.0,2.0,1089.1,78.0,208.0,125.9,7.8,0.0,1081.0,151.7,1466.0,5059.0,25.5,3339.0,"na",2248.0,506.0,93.0,1818.0,33.0,282.0,67.0,482.0,298.4,"na",6070.0,0.0,117.0,0.0,0.0,"na",83.6,141.0,11185.0,"na",3301.0,0.0,0.0
1973,1456.0,166.0,433.6,424.0,"na",231.0,680.9,8664.4,43927.8,19868.5,0.9,47.3,14537.5,9180.5,68.7,29932.4,89.7,5984.3,3354.9,9551.6,21197.1,13585.0,4792.4,58465.3,174.0,2114.0,40.6,1075.1,192.0,3.0,1111.1,209.0,164.9,152.1,8.8,0.0,1338.0,148.5,2018.0,5907.4,23.4,3080.0,"na",2211.0,525.0,91.0,2056.0,32.0,293.0,73.0,570.0,303.9,"na",7693.0,0.0,111.0,0.0,0.0,"na",81.7,166.0,10946.0,"na",3455.0,0.0,0.0
1974,1631.0,173.4,423.4,420.0,"na",198.0,693.0,9270.4,44556.5,19680.6,0.5,47.5,14061.8,9786.9,67.8,29667.3,85.6,5507.6,3576.6,10165.0,21894.1,13107.0,4368.0,58618.3,181.0,1993.0,47.6,1300.6,175.0,2.0,1035.6,177.0,145.0,204.3,9.7,0.0,1375.0,154.5,1977.0,6060.3,23.4,2603.0,"na",1558.0,653.0,81.0,2256.0,35.0,290.0,79.0,518.0,308.0,"na",8618.0,0.0,129.0,0.0,0.0,"na",87.2,187.0,10461.0,"na",3060.0,0.0,0.0
1975,1696.0,158.2,406.1,451.0,"na",187.0,719.8,9916.0,42121.5,19729.4,0.0,47.8,13704.9,10429.7,61.7,26181.0,77.9,5046.9,3806.1,10993.6,19732.9,12549.0,3698.0,55826.4,178.0,1735.0,34.7,1545.4,164.0,3.0,1002.7,161.0,228.3,226.6,33.7,0.0,1306.0,170.9,2270.6,5386.6,26.9,2132.0,"na",1514.0,806.0,98.0,1785.0,189.0,341.0,73.0,437.0,311.3,"na",7216.0,0.0,192.0,0.0,0.0,"na",97.1,216.0,10008.0,"na",2422.0,0.0,0.0
1976,1937.0,153.1,408.0,461.0,"na",217.0,933.1,10465.6,46721.4,20357.0,25.2,62.5,13690.9,10965.7,58.7,29589.7,77.6,5997.4,4332.9,11842.2,22352.2,12228.0,3659.7,60412.3,173.0,1598.0,40.6,1743.2,153.0,4.0,1109.1,188.0,322.2,226.2,252.5,0.0,1504.0,178.1,2422.3,5918.2,28.2,2199.0,"na",1972.0,894.0,167.0,2071.0,279.0,367.0,77.0,487.0,312.7,"na",8762.0,0.0,201.0,0.0,0.0,"na",78.0,212.0,9736.0,"na",2371.0,0.0,0.0
1977,1998.0,143.4,441.7,490.0,"na",227.0,1462.3,11009.9,48126.3,21720.9,24.2,73.1,14587.7,11497.4,58.5,29983.2,68.0,6316.0,4746.2,12926.5,22529.6,12556.0,3639.7,62714.0,167.0,1608.0,31.8,1877.9,144.0,10.0,1187.8,184.0,406.5,225.6,792.5,0.0,1685.0,210.1,2358.1,5714.0,27.1,2024.0,"na",2108.0,1085.0,183.0,2098.0,287.0,340.0,92.0,435.0,312.5,"na",9419.0,0.0,183.0,0.0,0.0,"na",90.7,229.0,9863.0,"na",2314.0,0.0,0.0
