title         = ASCII CSV version of Oil Production data from the 2011 British Petroleum Statistical Review (worksheet 5)
file URL      = http://mazamascience.com/OilExport/BP_2011_oil_production_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2011/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2011.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,13.66,0.66,13.76,0.33,"na",3.96,34.57,242.89,1051.69,625.62,0.1,1.7,515.58,266.71,3.05,698.76,2.21,106.53,44.91,281.89,418.67,489.62,225.65,1567.26,4.76,43.87,0.07,11.31,10.15,0.0,26.48,0.41,6.48,1.26,0.08,0.0,24.54,3.02,64.68,95.66,2.28,119.01,"na",57.98,18.05,0.0,13.5,0.0,0.0,3.21,11.61,12.82,"na",111.01,0.0,0.0,0.0,0.0,"na",0.0,7.03,427.69,"na",184.11,0.0,0.0
1966,17.43,0.63,14.64,0.42,"na",4.76,34.46,265.1,1154.59,666.9,0.1,1.66,547.09,289.72,3.28,769.68,2.53,135.4,50.01,304.73,467.06,521.23,223.26,1701.68,5.82,48.21,0.06,14.55,9.95,0.0,33.87,0.36,6.26,1.45,0.08,0.0,23.93,4.65,68.57,106.89,1.85,125.56,"na",71.67,18.49,0.0,20.59,0.0,0.0,3.21,14.49,13.08,"na",130.83,0.0,0.0,0.0,0.0,"na",0.77,7.97,454.53,"na",178.79,0.0,0.0
1967,18.5,0.54,15.96,0.98,"na",5.16,34.79,288.1,1241.72,718.56,0.1,1.51,584.17,313.75,3.64,819.23,3.59,149.1,52.99,329.02,499.78,557.37,237.64,1825.89,7.32,52.7,0.0,13.88,9.59,0.0,39.08,0.31,5.58,3.45,0.09,0.0,25.75,5.67,60.49,130.51,1.72,126.39,"na",82.36,20.46,0.0,15.71,0.0,2.82,3.61,16.14,13.46,"na",141.29,0.0,0.0,0.0,0.0,"na",2.24,9.33,484.21,"na",187.93,0.0,0.0
1968,24.18,0.75,17.49,1.82,"na",6.07,34.76,309.2,1382.09,770.86,0.09,1.71,610.01,335.47,3.9,912.03,3.9,191.02,61.96,350.72,562.46,581.91,244.03,1992.09,8.04,57.12,0.0,15.99,8.82,0.0,42.9,0.26,8.58,4.64,0.08,0.0,30.32,5.85,74.24,142.78,1.63,133.13,"na",123.86,21.9,0.19,6.96,0.0,11.97,3.76,16.98,13.54,"na",154.23,0.0,1.05,0.0,0.0,"na",3.19,10.0,502.89,"na",191.76,0.0,0.0
1969,29.01,2.46,18.11,2.09,"na",6.15,34.42,328.3,1517.31,807.03,0.06,1.77,625.16,355.12,3.89,1007.14,3.86,242.66,71.31,370.34,617.3,596.55,244.3,2142.47,8.77,62.22,0.0,21.74,10.7,0.0,44.78,0.21,12.3,5.03,0.09,0.0,32.41,6.72,74.92,169.26,1.59,140.91,"na",147.71,22.97,0.43,26.6,0.0,16.19,3.66,17.73,13.55,"na",162.74,0.0,2.64,0.0,0.0,"na",3.71,8.2,511.37,"na",190.81,0.0,0.0
1970,36.9,5.07,20.0,8.17,"na",6.75,34.08,353.04,1694.82,872.08,0.0,1.9,661.79,379.69,3.92,1131.49,2.96,292.25,98.26,395.03,692.43,627.74,250.89,2356.61,8.32,70.07,0.0,30.65,11.21,0.0,48.21,0.21,16.4,5.42,0.16,0.0,43.11,6.81,76.3,192.59,1.5,151.8,"na",159.54,24.18,0.86,53.4,0.0,16.44,3.66,18.08,13.68,"na",192.17,0.0,4.23,0.0,0.0,"na",4.15,7.31,533.5,"na",197.24,0.0,0.0
1971,53.56,5.72,21.57,14.36,"na",6.4,33.19,377.0,1829.78,887.96,0.0,2.04,664.64,402.67,3.8,1229.45,3.65,273.81,117.73,418.62,814.1,625.17,244.99,2494.42,8.7,75.16,0.0,39.41,11.12,0.0,37.1,0.21,14.95,5.8,0.21,0.0,45.03,7.19,83.44,228.68,1.35,162.55,"na",130.68,24.11,3.3,75.41,0.29,14.56,3.13,21.42,14.09,"na",240.8,0.0,5.28,0.0,0.0,"na",4.11,6.74,525.9,"na",189.88,0.0,0.0
1972,63.13,7.06,22.22,15.33,"na",9.06,32.77,400.4,1958.0,921.84,0.0,2.14,680.73,425.86,3.55,1316.48,3.99,275.13,138.75,443.55,908.28,639.7,233.3,2638.72,8.53,86.71,0.34,45.67,10.08,0.1,50.1,4.01,10.72,6.3,0.33,0.0,54.72,7.37,72.41,253.71,1.21,167.35,"na",106.82,25.1,4.46,89.8,1.61,14.0,3.28,24.07,14.43,"na",304.22,0.0,5.84,0.0,0.0,"na",3.98,7.38,527.89,"na",173.81,0.0,0.0
1973,70.51,8.18,21.6,19.21,"na",11.43,32.86,429.0,2183.3,951.36,0.0,2.26,685.66,454.57,3.43,1488.6,3.99,287.06,165.61,472.4,1054.95,640.83,248.12,2868.96,8.65,100.31,2.09,53.61,9.48,0.15,50.89,10.71,8.48,7.6,0.37,0.0,67.55,7.2,99.4,295.38,1.11,153.8,"na",104.63,25.86,4.35,101.27,1.56,14.51,3.57,28.39,14.64,"na",384.0,0.0,5.53,0.0,0.0,"na",3.88,8.67,514.65,"na",181.43,0.0,0.0
1974,78.99,8.54,21.14,19.01,"na",9.74,33.37,458.9,2214.13,943.15,0.0,2.27,663.05,484.38,3.38,1475.12,3.81,264.88,176.65,502.53,1088.96,618.2,225.96,2877.18,9.01,94.39,2.46,64.85,8.65,0.1,47.36,9.07,7.45,10.2,0.41,0.0,69.42,7.49,97.28,303.2,1.1,129.87,"na",73.59,32.42,3.87,111.13,1.71,14.36,3.87,25.8,14.84,"na",429.66,0.0,6.42,0.0,0.0,"na",4.14,9.76,491.4,"na",160.65,0.0,0.0
