title         = ASCII CSV version of worksheet 33, "Coal: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_coal_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.875,4.691,16.006,"na",0.0,5.996,19.169,509.432,328.156,546.648,2.73,10.8,880.346,337.295,0.0,0.079,27.86,232.793,852.231,0.211,307.991,5.908,1426.994,1.735,"na",15.476,1.167,1.165,112.338,2.014,35.326,163.519,2.087,0.07,0.0,0.403,9.597,2.001,45.055,117.397,2.107,0.123,10.91,0.129,2.231,0.0,35.547,0.211,8.626,43.598,4.952,0.0,"na","na",0.688,0.0,9.511,0.763,1.645,0.0,0.0,1.379,59.481,0.601,0.0,4.053,"na",0.0,1.173,0.0,5.805,0.0,"na",3.67,0.0,2.985,"na",291.826,"na",0.0,3.213,24.657
1966,0.0,0.893,4.394,16.598,"na",0.0,6.183,17.487,487.434,341.492,568.607,2.878,11.52,875.072,350.387,0.0,0.081,27.565,244.378,843.48,0.232,321.91,6.115,1443.679,1.88,"na",15.172,0.94,1.2,120.172,2.014,35.222,152.661,2.366,0.068,0.0,0.274,9.12,1.86,41.341,111.73,2.103,0.106,10.463,0.158,2.518,0.0,35.461,0.232,8.972,45.541,5.607,0.0,"na","na",0.738,0.0,8.572,0.702,1.6,0.0,0.0,1.164,60.278,0.612,0.0,4.365,"na",0.0,1.242,0.0,5.878,0.065,"na",4.084,0.0,2.969,"na",306.0,"na",0.0,3.375,24.345
1967,0.0,0.911,4.027,17.086,"na",0.0,6.714,17.162,473.639,345.542,562.428,2.915,12.69,859.315,353.312,0.0,0.081,28.437,238.521,831.974,0.256,316.158,6.396,1421.743,1.943,"na",15.032,0.725,1.2,106.82,2.21,34.062,147.06,2.202,0.052,0.0,0.422,8.944,1.791,41.804,104.371,2.01,0.085,9.077,0.111,2.626,0.0,36.052,0.256,9.832,50.886,5.349,0.0,"na","na",0.905,0.0,8.274,0.738,1.461,0.0,0.0,1.118,61.369,0.604,0.0,4.837,"na",0.0,1.145,0.0,5.668,0.116,"na",3.62,0.0,3.013,"na",300.221,"na",0.0,3.699,25.048
1968,0.0,0.93,4.013,17.53,"na",0.0,7.294,17.718,480.847,340.524,562.159,3.196,13.813,880.677,348.632,0.0,0.078,29.909,243.713,834.741,0.282,328.007,6.185,1442.837,1.912,"na",16.331,0.636,1.2,106.025,2.013,35.259,149.171,2.517,0.055,0.0,0.439,9.392,2.161,40.045,104.45,2.27,0.061,8.959,0.083,3.104,0.0,37.302,0.282,9.522,53.942,5.05,0.0,"na","na",0.948,0.0,7.645,0.751,1.375,0.0,0.0,1.231,64.322,0.544,0.0,5.303,"na",0.0,1.137,0.0,5.961,0.128,"na",3.935,0.0,3.037,"na",310.728,"na",0.0,4.104,26.219
1969,0.0,0.949,3.807,17.99,"na",0.0,7.333,17.256,486.616,335.508,583.885,3.168,14.866,891.546,343.52,0.0,0.08,30.189,273.922,835.687,0.311,328.737,6.584,1475.431,2.134,"na",15.767,0.61,1.2,128.032,2.149,36.647,153.59,2.186,0.07,0.0,0.474,9.286,2.594,39.787,101.81,2.197,0.0,9.093,0.1,2.934,0.0,39.625,0.311,9.774,58.151,5.274,0.0,"na","na",0.961,0.0,6.66,0.837,1.41,0.0,0.0,1.108,67.577,0.511,0.0,6.128,"na",0.0,1.1,0.0,6.27,0.136,"na",4.18,0.0,2.788,"na",312.01,"na",0.0,4.374,26.477
1970,0.0,0.968,3.974,18.039,"na",0.0,8.021,16.263,477.668,331.513,616.815,3.225,16.075,882.489,339.96,0.0,0.068,31.097,310.422,823.382,0.343,327.067,6.993,1499.304,2.358,"na",16.928,0.393,1.283,162.9,2.243,37.1,151.669,2.04,0.083,0.0,0.437,9.731,2.453,37.826,96.024,2.528,0.0,9.241,0.087,0.894,0.0,37.559,0.343,9.87,60.199,5.629,0.0,"na","na",1.079,0.0,4.793,0.862,1.411,0.0,0.0,0.923,70.18,0.467,0.0,6.658,"na",0.0,1.5,0.0,6.321,0.145,"na",4.615,0.0,2.724,"na",309.061,"na",0.0,4.671,27.352
1971,0.0,0.938,3.472,17.947,"na",0.0,7.917,13.467,454.685,339.136,654.609,3.752,17.634,835.238,348.556,0.0,0.061,33.371,330.928,808.828,0.378,309.715,6.627,1489.847,2.424,"na",16.09,0.236,1.239,187.823,1.893,38.653,144.52,1.365,0.0,0.0,0.351,9.954,2.206,33.838,85.1,3.726,0.0,8.945,0.1,0.732,0.0,38.08,0.378,9.535,53.861,5.689,0.0,"na","na",1.35,0.0,3.613,0.811,1.255,0.0,0.0,0.731,71.837,0.432,0.0,7.032,"na",0.0,1.5,0.0,6.631,0.165,"na",4.75,0.0,2.419,"na",292.275,"na",0.0,5.13,29.246
1972,0.0,0.89,3.555,18.693,"na",0.11,8.16,12.862,436.703,355.098,685.487,3.918,18.086,825.402,364.359,0.0,0.062,33.709,342.245,806.958,0.642,321.013,6.321,1510.889,2.439,"na",15.183,0.217,1.024,198.924,1.827,38.102,140.08,1.322,0.0,0.0,0.318,10.015,1.785,29.548,74.542,3.98,0.0,8.693,0.1,0.65,0.0,40.214,0.642,8.873,50.459,5.831,0.0,"na","na",1.497,0.104,3.083,0.886,1.286,0.054,0.0,0.586,75.147,0.382,0.0,7.586,"na",0.0,1.5,0.0,6.595,0.138,"na",5.036,0.0,2.304,"na",304.333,"na",0.0,5.373,29.453
1973,0.0,0.904,3.55,19.596,"na",0.14,8.223,10.793,444.019,355.303,692.657,3.914,18.46,860.839,364.969,0.0,0.055,35.611,351.426,815.001,0.705,344.123,6.63,1553.495,2.415,"na",15.637,0.202,1.112,201.811,2.052,37.283,141.211,1.82,0.0,0.0,0.3,9.875,2.028,29.45,80.738,4.681,0.0,8.738,0.067,0.843,0.0,39.678,0.705,9.003,53.668,7.374,0.0,"na","na",1.61,0.099,3.081,0.91,1.457,0.06,0.0,0.582,75.456,0.565,0.0,8.494,"na",0.0,1.6,0.0,6.392,0.136,"na",5.096,0.0,2.062,"na",326.876,"na",0.0,6.264,31.374
1974,0.0,1.062,3.425,20.699,"na",0.15,8.083,11.545,437.332,355.452,700.214,3.72,19.228,851.634,365.571,0.0,0.061,37.089,360.906,809.218,0.803,336.746,7.086,1551.848,2.517,"na",15.888,0.143,1.054,199.92,2.302,37.145,139.63,2.134,0.0,0.0,0.483,9.169,2.062,30.329,71.08,4.93,0.0,8.334,0.073,0.816,0.0,44.786,0.803,9.804,57.338,7.605,0.0,"na","na",1.759,0.099,2.893,1.022,1.5,0.054,0.0,0.533,77.583,0.439,0.0,9.246,"na",0.0,1.9,0.0,6.41,0.137,"na",5.525,0.0,2.099,"na",319.099,"na",0.0,6.696,32.867
