title         = ASCII CSV version of worksheet 22, "Natural Gas: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_consumption_m3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic metres

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,4.24,1.818,0.0,"na",0.0,0.061,0.07,39.33,116.247,160.695,0.18,0.242,490.253,116.606,0.796,0.0,1.001,5.814,155.936,10.196,463.784,14.216,650.948,0.0,"na",22.749,0.0,0.632,1.1,0.93,0.323,2.911,0.0,0.772,0.0,0.0,0.0,0.0,5.543,0.821,0.0,0.0,1.056,0.5,0.0,0.077,0.227,7.296,8.082,1.745,0.0,1.314,"na","na",8.362,0.0,1.43,0.0,0.0,0.38,0.0,1.769,1.637,0.0,0.081,15.257,"na",0.632,0.0,0.0,0.321,0.0,"na",0.0,1.169,0.229,"na",432.673,"na",6.773,0.0,0.0
1966,0.0,4.592,1.952,0.0,"na",0.0,0.091,0.127,44.686,129.681,177.849,0.263,0.31,530.288,130.12,0.957,0.0,1.122,6.465,174.806,10.961,499.588,15.196,708.137,0.058,"na",24.906,0.0,0.66,1.34,0.97,0.359,3.499,0.0,0.802,0.0,0.056,0.0,0.0,5.849,0.801,0.0,0.0,1.433,0.51,0.0,0.1,0.254,7.649,9.083,1.79,0.0,1.413,"na","na",8.802,0.0,2.74,0.0,0.0,0.397,0.0,1.999,1.946,0.0,0.082,16.449,"na",0.76,0.0,0.0,0.357,0.0,"na",0.0,1.371,0.257,"na",465.88,"na",7.102,0.0,0.0
1967,0.454,4.802,1.87,0.0,"na",0.0,0.277,0.483,52.773,142.775,195.973,0.271,0.386,563.314,143.283,0.896,0.0,1.105,7.331,196.056,12.029,526.399,16.368,759.287,0.066,"na",26.448,0.0,0.585,1.46,1.2,0.43,4.51,0.0,0.778,0.0,0.056,0.0,0.0,6.61,1.348,0.0,0.0,1.85,0.623,0.0,0.112,0.34,8.019,9.636,1.852,0.0,1.521,"na","na",7.567,0.0,4.82,0.0,0.0,0.371,0.0,2.332,2.378,0.0,0.112,18.134,"na",0.916,0.0,0.0,0.428,0.0,"na",0.0,1.513,0.332,"na",492.384,"na",7.782,0.0,0.0
1968,0.6,5.347,1.994,0.0,"na",0.0,0.424,1.175,66.717,154.161,211.419,0.246,0.444,614.954,154.797,0.97,0.0,1.119,7.986,221.514,13.372,565.16,17.223,826.373,0.07,"na",29.451,0.0,0.5,1.4,1.223,0.526,7.412,0.0,0.818,0.0,0.056,0.0,0.0,7.877,3.043,0.0,0.0,2.383,0.633,0.0,0.143,0.378,8.408,10.777,2.015,0.0,1.637,"na","na",8.107,0.0,8.13,0.0,0.0,0.413,0.0,2.617,3.267,0.0,0.513,19.188,"na",1.101,0.0,0.0,0.521,0.0,"na",0.0,1.588,0.468,"na",527.601,"na",8.033,0.0,0.0
1969,0.59,5.327,2.42,0.42,"na",0.0,0.441,2.42,86.694,164.75,229.209,0.189,0.452,678.298,165.54,1.332,0.0,1.335,10.521,252.232,14.821,610.871,17.728,907.508,0.073,"na",32.913,0.0,0.658,1.96,1.336,0.664,10.556,0.0,1.076,0.0,0.071,0.093,0.0,9.481,5.93,0.0,0.0,2.844,1.193,0.0,0.147,0.453,8.814,12.391,2.23,0.0,1.761,"na","na",10.028,0.0,11.98,0.0,0.0,0.421,0.0,3.224,4.529,0.0,0.85,22.281,"na",1.326,0.0,0.0,0.66,0.0,"na",0.0,1.597,0.588,"na",567.93,"na",8.267,0.0,0.0
1970,0.84,6.02,2.934,1.74,"na",0.0,0.398,3.798,107.986,181.031,250.308,0.566,0.543,735.722,182.078,1.456,0.054,1.662,14.626,290.094,16.33,645.194,18.125,986.03,0.079,"na",36.361,0.0,0.657,2.87,1.298,0.846,15.012,0.0,1.011,0.067,0.085,0.074,0.0,10.292,11.3,0.0,0.0,3.039,1.239,0.0,0.135,0.658,9.241,13.646,3.414,0.0,2.037,"na","na",10.232,0.0,16.86,0.0,0.111,0.413,0.0,3.486,5.776,0.0,1.006,23.159,"na",1.617,0.0,0.0,0.84,0.0,"na",0.0,1.827,0.558,"na",598.601,"na",7.71,0.0,0.0
1971,1.33,6.499,3.371,2.597,"na",0.0,0.274,5.237,131.95,197.881,271.946,0.6,0.529,780.739,199.128,1.716,0.059,1.833,17.296,331.159,17.318,666.532,18.547,1052.685,0.124,"na",38.81,0.099,0.67,3.74,1.382,0.959,19.832,0.0,1.148,0.067,0.085,0.394,0.0,12.371,18.22,0.0,0.0,3.24,1.253,0.0,0.126,0.697,9.688,13.937,3.661,0.0,2.104,"na","na",10.6,0.081,22.03,0.0,0.141,0.493,0.0,3.476,6.353,0.0,1.006,24.762,"na",1.349,0.0,0.0,0.952,0.0,"na",0.0,1.78,1.121,"na",617.122,"na",7.472,0.0,0.0
1972,1.38,7.293,3.643,3.728,"na",0.42,0.186,6.603,157.626,208.129,286.645,1.052,0.472,821.647,209.763,1.896,0.108,2.456,20.011,367.389,17.907,680.838,19.692,1108.292,0.17,"na",43.653,0.126,0.61,4.84,1.672,1.063,25.678,0.0,1.333,0.097,0.071,1.16,0.0,14.699,25.856,0.0,0.0,3.408,1.229,0.0,0.125,0.764,9.388,13.668,3.662,0.0,2.487,"na","na",11.341,0.113,28.66,0.0,0.256,0.474,0.0,3.221,6.684,0.0,1.103,25.137,"na",1.529,0.0,0.0,1.057,0.0,"na",0.0,1.84,1.305,"na",625.844,"na",7.427,0.0,0.0
1973,1.73,8.299,4.004,4.733,"na",0.581,0.187,7.937,179.739,226.345,315.25,1.719,1.088,847.172,228.229,2.464,0.122,3.632,24.626,407.895,20.725,683.35,22.194,1162.421,0.195,"na",46.423,0.17,0.479,5.98,1.662,1.151,33.112,0.0,1.856,0.056,0.057,1.12,0.0,17.444,27.974,0.0,0.0,4.052,0.8,0.0,0.054,0.762,10.311,16.0,5.096,0.0,2.786,"na","na",12.558,0.114,31.86,0.0,0.297,0.464,0.0,3.669,6.952,0.0,1.58,26.559,"na",1.8,0.0,0.0,1.143,0.0,"na",0.0,1.767,1.506,"na",624.369,"na",9.149,0.0,0.0
1974,1.8,8.784,4.341,5.4,"na",0.639,0.407,9.301,203.253,240.007,338.416,1.838,1.813,850.141,242.127,2.751,0.128,4.046,30.524,445.411,24.116,661.114,23.346,1188.557,0.375,"na",46.927,0.357,0.499,7.53,1.687,1.402,41.423,0.0,2.148,0.111,0.06,1.4,0.438,19.111,33.46,0.0,0.0,4.249,1.127,0.0,0.066,0.863,12.992,17.522,6.964,0.0,2.931,"na","na",13.215,0.236,33.92,0.0,0.309,0.478,0.0,4.059,7.146,0.0,1.298,27.413,"na",2.278,0.0,0.0,1.393,0.0,"na",0.0,1.615,1.586,"na",600.972,"na",9.669,0.0,0.0
