title         = ASCII CSV version of worksheet 24, "Natural Gas: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,3.816,1.636,0.0,"na",0.0,0.055,0.063,35.397,104.622,144.625,0.162,0.218,449.194,104.945,0.716,0.0,0.901,5.233,140.342,9.176,425.372,12.795,593.819,0.0,"na",20.474,0.0,0.569,0.99,0.837,0.291,2.62,0.0,0.695,0.0,0.0,0.0,0.0,4.989,0.739,0.0,0.0,0.95,0.45,0.0,0.069,0.204,6.566,7.274,1.57,0.0,1.183,"na","na",7.526,0.0,1.287,0.0,0.0,0.342,0.0,1.592,1.473,0.0,0.073,13.731,"na",0.569,0.0,0.0,0.289,0.0,"na",0.0,1.052,0.206,"na",397.372,"na",6.096,0.0,0.0
1966,0.0,4.133,1.757,0.0,"na",0.0,0.082,0.114,40.217,116.713,160.064,0.237,0.279,486.234,117.108,0.861,0.0,1.009,5.819,157.325,9.865,458.604,13.677,646.298,0.053,"na",22.415,0.0,0.594,1.206,0.873,0.323,3.149,0.0,0.722,0.0,0.05,0.0,0.0,5.264,0.721,0.0,0.0,1.29,0.459,0.0,0.09,0.229,6.884,8.175,1.611,0.0,1.272,"na","na",7.922,0.0,2.466,0.0,0.0,0.357,0.0,1.799,1.751,0.0,0.074,14.804,"na",0.684,0.0,0.0,0.321,0.0,"na",0.0,1.234,0.231,"na",428.267,"na",6.392,0.0,0.0
1967,0.409,4.322,1.683,0.0,"na",0.0,0.249,0.435,47.496,128.497,176.376,0.244,0.348,516.044,128.954,0.806,0.0,0.994,6.598,176.45,10.826,482.82,14.731,692.42,0.059,"na",23.803,0.0,0.527,1.314,1.08,0.387,4.059,0.0,0.7,0.0,0.05,0.0,0.0,5.949,1.213,0.0,0.0,1.665,0.561,0.0,0.1,0.306,7.217,8.672,1.667,0.0,1.369,"na","na",6.811,0.0,4.338,0.0,0.0,0.334,0.0,2.099,2.14,0.0,0.101,16.321,"na",0.824,0.0,0.0,0.385,0.0,"na",0.0,1.362,0.299,"na",452.206,"na",7.004,0.0,0.0
1968,0.54,4.812,1.795,0.0,"na",0.0,0.382,1.058,60.045,138.745,190.277,0.221,0.399,562.701,139.317,0.873,0.0,1.007,7.187,199.362,12.035,517.886,15.501,752.979,0.063,"na",26.506,0.0,0.45,1.26,1.101,0.473,6.671,0.0,0.736,0.0,0.05,0.0,0.0,7.089,2.739,0.0,0.0,2.145,0.57,0.0,0.129,0.34,7.567,9.699,1.814,0.0,1.473,"na","na",7.296,0.0,7.317,0.0,0.0,0.372,0.0,2.355,2.94,0.0,0.462,17.269,"na",0.991,0.0,0.0,0.469,0.0,"na",0.0,1.429,0.421,"na",484.084,"na",7.23,0.0,0.0
1969,0.531,4.794,2.178,0.378,"na",0.0,0.397,2.178,78.025,148.275,206.289,0.17,0.407,620.409,148.986,1.199,0.0,1.202,9.469,227.009,13.339,559.724,15.955,826.697,0.066,"na",29.622,0.0,0.592,1.764,1.202,0.598,9.5,0.0,0.968,0.0,0.064,0.084,0.0,8.533,5.337,0.0,0.0,2.56,1.074,0.0,0.133,0.408,7.933,11.152,2.007,0.0,1.585,"na","na",9.025,0.0,10.782,0.0,0.0,0.379,0.0,2.902,4.076,0.0,0.765,20.053,"na",1.193,0.0,0.0,0.594,0.0,"na",0.0,1.437,0.529,"na",521.077,"na",7.44,0.0,0.0
1970,0.756,5.418,2.641,1.566,"na",0.0,0.358,3.418,97.188,162.928,225.278,0.509,0.489,672.634,163.871,1.31,0.0,1.496,13.163,261.084,14.697,591.159,16.312,897.911,0.071,"na",32.725,0.0,0.591,2.583,1.168,0.761,13.511,0.0,0.91,0.06,0.077,0.067,0.0,9.263,10.17,0.0,0.0,2.735,1.115,0.0,0.121,0.592,8.317,12.281,3.073,0.0,1.833,"na","na",9.209,0.0,15.174,0.0,0.1,0.372,0.0,3.137,5.199,0.0,0.905,20.843,"na",1.455,0.0,0.0,0.756,0.0,"na",0.0,1.644,0.502,"na",549.225,"na",6.939,0.0,0.0
1971,1.197,5.849,3.034,2.337,"na",0.0,0.247,4.713,118.755,178.093,244.752,0.54,0.476,713.464,179.215,1.544,0.053,1.65,15.566,298.043,15.586,610.678,16.692,958.216,0.112,"na",34.929,0.089,0.603,3.366,1.244,0.863,17.849,0.0,1.033,0.06,0.077,0.355,0.0,11.134,16.398,0.0,0.0,2.916,1.128,0.0,0.113,0.627,8.719,12.543,3.295,0.0,1.894,"na","na",9.54,0.073,19.827,0.0,0.127,0.444,0.0,3.128,5.717,0.0,0.905,22.286,"na",1.214,0.0,0.0,0.857,0.0,"na",0.0,1.602,1.009,"na",566.209,"na",6.725,0.0,0.0
1972,1.242,6.564,3.279,3.355,"na",0.378,0.167,5.943,141.863,187.316,257.981,0.947,0.425,748.203,188.787,1.706,0.097,2.211,18.01,330.65,16.116,621.475,17.722,1006.184,0.153,"na",39.288,0.113,0.549,4.356,1.505,0.957,23.11,0.0,1.2,0.087,0.064,1.044,0.0,13.229,23.27,0.0,0.0,3.067,1.106,0.0,0.112,0.688,8.449,12.301,3.296,0.0,2.238,"na","na",10.207,0.102,25.794,0.0,0.23,0.427,0.0,2.899,6.016,0.0,0.993,22.623,"na",1.376,0.0,0.0,0.951,0.0,"na",0.0,1.656,1.175,"na",571.98,"na",6.684,0.0,0.0
1973,1.557,7.469,3.604,4.26,"na",0.523,0.168,7.143,161.765,203.71,283.725,1.547,0.979,767.816,205.406,2.218,0.11,3.269,22.164,367.105,18.653,620.376,19.974,1051.54,0.176,"na",41.781,0.153,0.431,5.382,1.496,1.036,29.801,0.0,1.67,0.0,0.051,1.008,0.0,15.7,25.177,0.0,0.0,3.647,0.72,0.0,0.0,0.686,9.28,14.4,4.586,0.0,2.507,"na","na",11.302,0.103,28.674,0.0,0.267,0.418,0.0,3.302,6.257,0.0,1.422,23.903,"na",1.62,0.0,0.0,1.029,0.0,"na",0.0,1.591,1.356,"na",567.293,"na",8.234,0.0,0.0
1974,1.62,7.906,3.907,4.86,"na",0.575,0.366,8.371,182.927,216.007,304.574,1.654,1.632,771.889,217.915,2.476,0.115,3.641,27.472,400.87,21.704,601.765,21.011,1076.463,0.338,"na",42.234,0.321,0.449,6.777,1.518,1.262,37.281,0.0,1.933,0.1,0.054,1.26,0.394,17.2,30.114,0.0,0.0,3.824,1.014,0.0,0.059,0.776,11.693,15.77,6.267,0.0,2.638,"na","na",11.894,0.212,30.528,0.0,0.278,0.43,0.0,3.653,6.431,0.0,1.168,24.672,"na",2.05,0.0,0.0,1.254,0.0,"na",0.0,1.453,1.427,"na",547.637,"na",8.702,0.0,0.0
