title         = ASCII CSV version of worksheet 20, "Natural Gas: Production" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_production_ft3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.081,0.582,0.168,"na",0.0,0.06,0.0,0.0,9.843,17.332,24.724,0.0,0.532,72.172,18.719,0.0,0.068,0.275,1.52,27.275,1.927,64.148,1.751,96.896,0.0,5.487,0.278,0.126,1.069,0.0,0.245,0.0,1.012,0.12,0.064,0.076,1.246,1.163,0.197,"na",0.0,0.0,1.088,0.0,0.0,2.581,0.0,0.0,0.0,0.337,0.473,0.097,2.258,"na",0.156,0.0,0.0,"na",0.177,"na",57.573,"na",0.746,0.0,0.0
1971,0.142,0.629,0.251,"na",0.0,0.088,0.0,0.0,12.003,18.597,26.762,0.0,0.601,76.418,20.05,0.0,0.072,0.438,1.802,30.72,2.145,66.281,1.794,103.179,0.0,5.999,0.362,0.134,1.335,0.0,0.258,0.0,1.682,0.121,0.067,0.09,1.381,1.185,0.204,"na",0.14,0.0,1.077,0.0,0.0,3.567,0.0,0.0,0.0,0.336,0.488,0.097,2.413,"na",0.131,0.0,0.0,"na",0.172,"na",59.205,"na",0.723,0.0,0.0
1972,0.144,0.597,0.36,"na",0.0,0.109,0.0,0.103,14.353,19.333,28.334,0.0,0.655,79.518,20.85,0.0,0.069,0.684,2.069,33.831,2.426,66.954,1.887,107.852,0.0,6.754,0.467,0.161,1.59,0.0,0.326,0.0,2.42,0.119,0.074,0.09,1.577,1.253,0.24,"na",0.309,0.0,1.119,0.0,0.0,4.742,0.0,0.0,0.0,0.311,0.515,0.106,2.461,"na",0.148,0.0,0.0,"na",0.178,"na",59.081,"na",0.717,0.0,0.0
1973,0.168,0.652,0.458,"na",0.056,0.155,0.188,0.159,16.159,20.69,30.92,0.0,0.68,82.335,22.314,0.0,0.054,0.878,2.469,37.015,2.734,68.014,2.145,113.255,0.0,7.256,0.579,0.161,1.792,0.0,0.434,0.0,2.635,0.077,0.074,0.088,1.721,1.357,0.27,"na",0.367,0.0,1.22,0.0,0.0,5.782,0.0,0.0,0.0,0.355,0.524,0.153,2.613,"na",0.174,0.0,0.0,"na",0.171,"na",59.537,"na",0.885,0.0,0.0
1974,0.168,0.701,0.522,"na",0.062,0.191,0.409,0.167,17.939,22.818,34.146,0.0,0.706,81.222,24.466,0.0,0.061,0.928,3.029,40.937,3.075,65.134,2.266,115.368,0.0,7.106,0.729,0.163,1.881,0.0,0.502,0.0,3.178,0.109,0.083,0.081,1.999,1.354,0.284,"na",0.338,0.0,1.28,0.0,0.0,6.855,0.0,0.0,0.0,0.393,0.507,0.126,2.697,"na",0.22,0.0,0.0,"na",0.156,"na",56.748,"na",0.935,0.0,0.0
