title         = ASCII CSV version of worksheet 19, "Natural Gas: Production" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_production_m3.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic metres

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.833,6.02,1.74,"na",0.0,0.621,0.219,0.0,101.732,179.136,255.534,0.114,5.496,745.949,193.468,0.135,0.708,2.844,15.714,281.903,19.913,663.014,18.094,1001.483,0.079,56.71,2.87,1.298,11.049,0.0,2.533,0.085,10.461,1.239,0.658,0.784,12.881,12.02,2.037,"na",0.0,0.0,11.247,0.0,0.111,26.68,0.0,0.0,0.413,3.486,4.891,1.006,23.333,"na",1.617,0.0,0.0,"na",1.827,"na",595.057,"na",7.71,0.0,0.0
1971,1.471,6.506,2.597,"na",0.42,0.906,0.217,0.0,124.06,192.217,276.598,0.119,6.211,789.827,207.226,0.126,0.746,4.527,18.624,317.506,22.165,685.057,18.544,1066.425,0.125,62.0,3.74,1.382,13.798,0.0,2.67,0.085,17.384,1.253,0.697,0.926,14.278,12.248,2.104,"na",1.448,0.0,11.133,0.0,0.206,36.87,0.0,0.0,0.493,3.476,5.044,1.006,24.936,"na",1.349,0.0,0.0,"na",1.78,"na",611.924,"na",7.472,0.0,0.0
1972,1.493,6.184,3.728,"na",0.42,1.13,0.446,1.067,148.753,200.362,293.655,0.165,6.785,824.118,216.085,0.125,0.717,7.093,21.448,350.623,25.145,693.914,19.552,1117.773,0.17,70.0,4.84,1.672,16.479,0.0,3.383,0.071,25.084,1.229,0.764,0.936,16.342,12.981,2.487,"na",3.198,0.0,11.599,0.0,0.276,49.15,0.0,0.0,0.474,3.221,5.337,1.103,25.507,"na",1.529,0.0,0.0,"na",1.84,"na",612.315,"na",7.427,0.0,0.0
1973,1.736,6.734,4.733,"na",0.581,1.602,1.946,1.644,167.012,213.846,319.582,0.312,7.029,850.983,230.625,0.054,0.553,9.079,25.519,382.576,28.256,702.965,22.17,1170.565,0.195,75.0,5.98,1.662,18.519,0.0,4.49,0.057,27.236,0.8,0.762,0.91,17.789,14.02,2.786,"na",3.798,0.0,12.611,0.0,0.422,59.76,0.0,0.0,0.464,3.669,5.411,1.58,27.004,"na",1.8,0.0,0.0,"na",1.767,"na",615.353,"na",9.149,0.0,0.0
1974,1.738,7.248,5.4,"na",0.639,1.976,4.223,1.721,185.409,235.837,352.926,0.445,7.298,839.48,252.868,0.066,0.631,9.588,31.306,423.107,31.783,673.198,23.423,1192.406,0.375,73.444,7.53,1.687,19.438,0.0,5.191,0.06,32.847,1.127,0.863,0.836,20.661,13.995,2.931,"na",3.498,0.168,13.226,0.0,0.394,70.85,0.0,0.0,0.478,4.059,5.239,1.298,27.871,"na",2.278,0.0,0.0,"na",1.615,"na",586.528,"na",9.669,0.0,0.0
