title         = ASCII CSV version of worksheet 21, "Natural Gas: Production" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_gas_production_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.75,5.418,1.566,"na",0.0,0.559,0.197,0.0,91.559,161.222,229.98,0.103,4.946,681.777,174.122,0.121,0.637,2.56,14.143,253.713,17.922,607.136,16.285,911.757,0.071,51.039,2.583,1.168,9.944,0.0,2.28,0.077,9.415,1.115,0.592,0.706,11.593,10.818,1.833,"na",0.0,0.0,10.123,0.0,0.1,24.012,0.0,0.0,0.372,3.137,4.402,0.905,21.0,"na",1.455,0.0,0.0,"na",1.644,"na",545.974,"na",6.939,0.0,0.0
1971,1.324,5.855,2.337,"na",0.378,0.815,0.195,0.0,111.654,172.995,248.938,0.107,5.59,721.559,186.503,0.113,0.671,4.075,16.762,285.756,19.948,627.267,16.69,970.497,0.113,55.8,3.366,1.244,12.418,0.0,2.403,0.077,15.646,1.128,0.627,0.833,12.85,11.023,1.894,"na",1.303,0.0,10.02,0.0,0.185,33.183,0.0,0.0,0.444,3.128,4.54,0.905,22.442,"na",1.214,0.0,0.0,"na",1.602,"na",561.447,"na",6.725,0.0,0.0
1972,1.344,5.566,3.355,"na",0.378,1.017,0.401,0.96,133.878,180.326,264.29,0.149,6.106,750.255,194.476,0.112,0.645,6.384,19.303,315.56,22.63,633.071,17.596,1014.544,0.153,63.0,4.356,1.505,14.831,0.0,3.045,0.064,22.576,1.106,0.688,0.842,14.708,11.683,2.238,"na",2.878,0.0,10.439,0.0,0.248,44.235,0.0,0.0,0.427,2.899,4.803,0.993,22.956,"na",1.376,0.0,0.0,"na",1.656,"na",559.632,"na",6.684,0.0,0.0
1973,1.562,6.061,4.26,"na",0.523,1.442,1.751,1.48,150.311,192.462,287.624,0.28,6.327,771.169,207.563,0.0,0.498,8.171,22.967,344.318,25.431,637.953,19.953,1058.793,0.176,67.5,5.382,1.496,16.667,0.0,4.041,0.051,24.512,0.72,0.686,0.819,16.01,12.618,2.507,"na",3.418,0.0,11.35,0.0,0.38,53.784,0.0,0.0,0.418,3.302,4.87,1.422,24.304,"na",1.62,0.0,0.0,"na",1.591,"na",559.103,"na",8.234,0.0,0.0
1974,1.564,6.523,4.86,"na",0.575,1.778,3.801,1.549,166.868,212.253,317.633,0.4,6.568,762.14,227.581,0.059,0.568,8.629,28.176,380.797,28.604,612.486,21.081,1079.773,0.338,66.1,6.777,1.518,17.494,0.0,4.672,0.054,29.562,1.014,0.776,0.752,18.595,12.595,2.638,"na",3.148,0.151,11.903,0.0,0.355,63.765,0.0,0.0,0.43,3.653,4.715,1.168,25.084,"na",2.05,0.0,0.0,"na",1.453,"na",534.483,"na",8.702,0.0,0.0
