title         = ASCII CSV version of worksheet 37, "Hydroelectricity: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_hydro_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.274,3.916,1.74,"na",0.0,0.453,0.062,50.164,19.306,48.044,2.398,2.504,161.438,21.807,0.038,0.788,2.879,34.419,89.073,0.427,73.53,9.155,209.483,5.425,"na",26.502,5.453,0.895,5.0,0.784,0.505,3.668,0.005,0.089,0.078,0.392,4.533,2.154,10.608,1.044,0.188,0.0,0.016,0.413,0.213,0.0,4.337,0.389,10.411,15.849,0.161,0.0,"na","na",2.005,0.135,0.0,11.17,2.267,0.595,0.172,0.497,0.208,0.918,0.0,0.226,"na",0.0,10.511,0.0,0.503,0.248,"na",0.501,0.0,0.831,"na",45.023,"na",0.316,0.265,0.0
1966,0.0,0.278,3.924,1.662,"na",0.0,0.455,0.068,54.194,21.77,52.437,2.523,2.521,171.729,24.514,0.059,1.115,3.018,37.318,96.471,0.477,76.69,10.192,224.166,5.934,"na",29.149,6.227,0.942,5.088,0.871,0.476,3.968,0.005,0.082,0.089,0.413,6.277,2.391,11.813,1.026,0.428,0.0,0.024,0.537,0.192,0.0,4.529,0.418,10.675,18.059,0.224,0.0,"na","na",2.3,0.16,0.0,11.018,2.445,0.639,0.18,0.497,0.211,1.221,0.0,0.234,"na",0.0,10.303,0.0,0.482,0.288,"na",0.538,0.0,0.863,"na",45.241,"na",0.324,0.265,0.0
1967,0.0,0.284,4.005,1.721,"na",0.0,0.458,0.054,52.368,20.998,53.061,2.851,2.531,176.477,23.949,0.067,1.165,3.388,35.148,95.661,0.517,84.042,10.781,229.538,6.207,"na",30.123,6.754,0.963,4.386,0.971,0.429,3.768,0.005,0.092,0.099,0.445,5.218,2.678,10.268,1.105,0.411,0.0,0.018,0.603,0.182,0.0,5.068,0.45,10.353,15.614,0.216,0.0,"na","na",2.505,0.167,0.0,12.066,2.539,0.716,0.243,0.589,0.224,1.266,0.0,0.334,"na",0.0,11.158,0.0,0.413,0.394,"na",0.546,0.0,0.813,"na",51.414,"na",0.376,0.265,0.0
1968,0.0,0.335,4.108,1.799,"na",0.0,0.295,0.055,53.096,24.666,60.602,3.339,2.581,180.443,27.923,0.078,1.206,4.144,37.541,102.035,0.562,85.333,11.43,241.045,6.496,"na",30.846,6.679,0.808,5.175,1.082,0.332,3.824,0.005,0.126,0.103,0.679,5.616,2.391,11.409,0.842,0.34,0.0,0.021,0.745,0.174,0.0,5.849,0.484,10.45,15.659,0.211,0.0,"na","na",2.861,0.185,0.0,13.628,2.664,0.768,0.159,0.708,0.239,1.201,0.0,0.353,"na",0.0,11.039,0.0,0.379,0.357,"na",0.732,0.0,1.184,"na",51.626,"na",0.632,0.265,0.0
1969,0.0,0.3,3.757,1.965,"na",0.0,0.416,0.052,52.094,26.824,65.846,3.882,2.614,189.604,30.823,0.087,1.304,4.867,39.995,103.078,0.608,94.539,12.364,255.451,6.952,"na",33.54,6.391,0.911,5.263,1.203,0.271,3.103,0.005,0.082,0.115,0.903,7.047,1.993,11.979,0.737,0.511,0.0,0.021,0.779,0.132,0.0,6.494,0.521,10.12,17.328,0.324,0.0,"na","na",3.066,0.233,0.0,12.987,2.633,0.837,0.181,0.747,0.205,1.457,0.0,0.503,"na",0.0,9.471,0.0,0.295,0.267,"na",0.802,0.0,0.902,"na",57.933,"na",0.742,0.265,0.0
1970,0.0,0.343,4.742,2.301,"na",0.0,0.487,0.056,55.089,28.991,72.474,4.244,2.667,194.145,33.303,0.102,1.45,5.437,40.822,108.763,0.663,95.9,15.035,266.619,9.008,"na",35.146,6.601,0.974,5.439,1.339,0.387,3.967,0.005,0.132,0.126,1.061,6.397,2.154,12.826,1.026,0.661,0.0,0.021,0.947,0.182,0.0,6.887,0.561,9.927,16.611,0.276,0.0,"na","na",3.395,0.295,0.0,13.091,2.867,0.866,0.349,0.661,0.426,1.333,0.0,0.626,"na",0.0,9.4,0.0,0.445,0.453,"na",0.7,0.0,0.805,"na",57.359,"na",0.929,0.265,0.0
1971,0.0,0.345,3.721,2.604,"na",0.04,0.492,0.03,54.525,29.353,76.943,4.555,2.721,201.066,33.966,0.117,1.767,5.792,44.364,110.094,0.72,100.407,16.631,278.009,9.776,"na",35.532,6.572,0.995,6.579,1.421,0.266,3.045,0.005,0.074,0.138,1.142,7.328,2.417,11.055,0.763,0.666,0.0,0.021,0.312,0.105,0.0,7.554,0.603,9.614,17.968,0.3,0.0,"na","na",3.271,0.297,0.0,14.468,3.257,0.968,0.386,0.863,0.434,1.415,0.0,1.018,"na",0.0,11.774,0.0,0.342,0.519,"na",0.576,0.0,0.7,"na",61.604,"na",1.221,0.265,0.021
1972,0.0,0.336,3.859,2.614,"na",0.04,0.474,0.041,57.107,28.63,81.311,5.255,2.801,209.592,33.986,0.117,1.656,6.723,46.37,112.748,0.909,105.324,18.83,290.903,11.471,"na",38.768,5.484,1.182,7.456,1.574,0.284,2.988,0.005,0.113,0.243,1.168,7.872,2.239,11.049,0.763,0.671,0.0,0.024,0.279,0.155,0.0,7.332,0.792,10.331,18.995,0.311,0.0,"na","na",3.489,0.281,0.0,15.418,3.454,1.005,0.324,0.908,0.437,1.718,0.0,1.661,"na",0.0,12.168,0.0,0.353,0.486,"na",0.768,0.0,0.824,"na",63.067,"na",1.363,0.265,0.187
1973,0.0,0.67,4.26,2.78,"na",0.075,0.582,0.039,56.011,28.54,84.919,5.416,2.817,208.839,33.74,0.104,1.832,6.796,44.935,113.014,0.775,107.1,21.139,293.758,13.103,"na",40.465,6.016,1.203,8.333,1.713,0.245,3.446,0.005,0.171,0.131,1.166,6.454,2.282,10.792,0.868,0.557,0.0,0.021,0.352,0.145,0.0,7.808,0.671,8.498,15.833,0.289,0.0,"na","na",3.682,0.296,0.0,16.666,3.416,1.079,0.418,0.958,0.418,1.825,0.0,1.708,"na",0.0,13.555,0.0,0.3,0.527,"na",0.592,0.0,0.768,"na",62.953,"na",1.408,0.265,0.043
1974,0.0,1.125,4.951,3.139,"na",0.055,0.471,0.054,59.886,30.798,93.884,6.083,2.926,227.35,36.863,0.245,1.839,7.834,48.964,121.138,0.984,118.116,24.198,321.234,14.863,"na",44.788,6.302,1.368,9.43,1.945,0.392,3.991,0.005,0.113,0.131,1.384,6.997,2.743,12.724,0.921,0.505,0.0,0.018,0.39,0.179,0.0,7.513,0.739,8.193,17.878,0.432,0.0,"na","na",3.797,0.293,0.0,17.345,3.437,1.182,0.503,0.963,0.555,1.761,0.0,1.918,"na",0.0,12.966,0.0,0.524,0.674,"na",0.761,0.0,1.066,"na",69.531,"na",1.745,0.265,0.254
1975,0.0,1.162,5.312,3.369,"na",0.099,0.555,0.041,59.521,29.353,97.143,6.228,2.987,228.396,35.331,0.379,1.845,8.09,52.146,120.988,1.155,116.855,26.305,325.539,16.361,"na",44.132,7.294,1.389,9.868,2.153,0.411,3.86,0.005,0.074,0.137,1.537,5.896,2.75,13.601,0.868,0.504,0.0,0.037,0.409,0.118,0.0,8.976,0.776,8.113,18.255,0.382,0.0,"na","na",3.434,0.293,0.0,17.521,3.771,1.237,0.503,1.108,0.537,1.418,0.0,1.971,"na",0.0,13.053,0.0,0.453,0.672,"na",1.337,0.0,1.189,"na",69.289,"na",2.021,0.265,0.251
1976,0.0,1.118,4.53,3.203,"na",0.112,0.668,0.025,53.927,31.611,104.288,6.566,3.076,221.809,37.975,0.519,1.976,8.888,52.848,118.202,1.387,115.379,29.393,326.097,18.766,"na",45.896,5.849,1.411,10.0,2.271,0.326,3.133,0.005,0.087,0.143,1.811,4.697,2.134,10.989,1.026,0.47,0.0,0.037,0.24,0.134,0.0,9.39,0.868,9.406,18.898,0.405,0.0,"na","na",3.903,0.268,0.0,18.566,3.507,1.313,0.596,1.203,0.474,1.154,0.0,1.834,"na",0.0,12.416,0.0,0.458,0.718,"na",1.895,0.0,0.968,"na",65.58,"na",2.395,0.265,0.424
1977,0.0,1.291,5.548,3.065,"na",0.099,0.797,0.051,71.393,34.23,113.842,6.92,3.179,220.602,41.297,0.701,2.26,9.466,51.326,138.845,1.598,100.381,32.829,334.445,21.155,"na",44.93,7.895,1.471,10.439,2.321,0.445,3.978,0.005,0.061,0.215,2.045,8.968,2.742,17.27,0.895,0.482,0.0,0.034,0.399,0.168,0.0,10.245,0.897,12.36,16.342,0.316,0.0,"na","na",4.345,0.224,0.0,16.339,3.331,1.363,0.436,1.429,0.542,2.318,0.0,2.113,"na",0.0,12.113,0.0,0.545,0.647,"na",1.939,0.0,0.911,"na",51.106,"na",2.753,0.265,0.44
1978,0.0,1.734,5.546,3.321,"na",0.114,0.658,0.05,68.707,37.12,123.663,7.072,3.306,236.127,44.486,0.832,2.432,9.808,53.381,140.729,2.237,117.559,36.077,359.79,23.253,"na",49.102,7.141,1.545,9.781,2.697,0.413,4.155,0.005,0.058,0.245,2.247,9.138,2.205,15.468,0.921,0.749,0.0,0.032,0.285,0.158,0.0,12.711,1.405,10.303,15.448,0.408,0.0,"na","na",3.668,0.241,0.0,18.3,3.543,1.403,0.634,1.774,0.539,2.36,0.0,2.403,"na",0.0,13.074,0.0,0.511,0.425,"na",2.113,0.0,1.124,"na",64.789,"na",2.768,0.265,0.431
1979,0.0,2.384,6.246,3.224,"na",0.133,0.75,0.053,71.479,40.642,133.96,7.513,3.373,242.809,48.467,0.984,2.575,10.015,57.72,149.108,2.202,116.887,40.838,376.77,26.384,"na",48.111,6.717,1.571,10.987,2.963,0.518,4.16,0.005,0.066,0.221,2.174,10.535,2.461,15.029,0.974,0.894,0.0,0.032,0.317,0.187,0.0,12.257,1.218,9.746,17.901,0.526,0.0,"na","na",4.076,0.295,0.0,20.137,4.173,1.516,0.628,1.918,0.555,2.467,0.0,2.566,"na",0.0,13.855,0.0,0.426,0.693,"na",2.329,0.0,1.034,"na",64.7,"na",3.224,0.262,0.262
