title         = ASCII CSV version of worksheet 36, "Hydroelectricity: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_hydro_consumption_twh.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = terawatt-hours

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,1.211,17.306,7.69,"na",0.0,2.002,0.272,221.696,85.321,212.328,10.596,11.066,713.46,96.376,0.168,3.482,12.722,152.112,393.649,1.887,324.958,40.459,925.787,23.975,"na",117.123,24.097,3.955,22.097,3.465,2.232,16.212,0.022,0.393,0.345,1.732,20.033,9.519,46.881,4.612,0.831,0.0,0.071,1.825,0.942,0.0,19.167,1.719,46.012,70.045,0.712,0.0,"na","na",8.861,0.597,0.0,49.365,10.019,2.63,0.76,2.196,0.919,4.057,0.0,0.999,"na",0.0,46.452,0.0,2.223,1.096,"na",2.214,0.0,3.673,"na",198.974,"na",1.397,1.17,0.0
1966,0.0,1.229,17.343,7.345,"na",0.0,2.011,0.299,239.504,96.21,231.74,11.149,11.143,758.938,108.339,0.259,4.929,13.337,164.925,426.342,2.106,338.923,45.044,990.678,26.225,"na",128.821,27.519,4.163,22.486,3.849,2.104,17.534,0.022,0.362,0.393,1.825,27.743,10.567,52.208,4.536,1.892,0.0,0.106,2.373,0.849,0.0,20.015,1.847,47.177,79.811,0.99,0.0,"na","na",10.165,0.707,0.0,48.693,10.805,2.824,0.795,2.196,0.93,5.396,0.0,1.034,"na",0.0,45.533,0.0,2.13,1.273,"na",2.378,0.0,3.814,"na",199.937,"na",1.432,1.17,0.0
1967,0.0,1.255,17.698,7.606,"na",0.0,2.024,0.238,231.435,92.799,234.499,12.6,11.184,779.92,105.84,0.294,5.15,14.973,155.334,422.765,2.283,371.417,47.647,1014.419,27.431,"na",133.126,29.85,4.256,19.383,4.291,1.896,16.652,0.022,0.407,0.438,1.967,23.06,11.835,45.378,4.885,1.816,0.0,0.08,2.665,0.802,0.0,22.398,1.989,45.755,69.004,0.955,0.0,"na","na",11.071,0.738,0.0,53.324,11.221,3.164,1.074,2.603,0.989,5.595,0.0,1.476,"na",0.0,49.312,0.0,1.825,1.741,"na",2.413,0.0,3.593,"na",227.221,"na",1.662,1.17,0.0
1968,0.0,1.48,18.155,7.951,"na",0.0,1.304,0.244,234.652,109.009,267.823,14.758,11.407,797.451,123.404,0.343,5.329,18.316,165.909,450.936,2.482,377.119,50.513,1065.274,28.708,"na",136.321,29.515,3.571,22.87,4.782,1.467,16.899,0.022,0.557,0.455,3.001,24.819,10.567,50.423,3.722,1.503,0.0,0.093,3.292,0.768,0.0,25.849,2.139,46.183,69.204,0.932,0.0,"na","na",12.644,0.818,0.0,60.228,11.773,3.394,0.703,3.129,1.058,5.308,0.0,1.56,"na",0.0,48.786,0.0,1.675,1.578,"na",3.235,0.0,5.233,"na",228.155,"na",2.793,1.17,0.0
1969,0.0,1.326,16.602,8.684,"na",0.0,1.838,0.23,230.224,118.546,291.002,17.157,11.552,837.937,136.22,0.382,5.763,21.51,176.754,455.544,2.685,417.805,54.642,1128.939,30.724,"na",148.227,28.245,4.026,23.259,5.317,1.198,13.713,0.022,0.362,0.508,3.991,31.144,8.808,52.942,3.256,2.258,0.0,0.093,3.443,0.582,0.0,28.7,2.303,44.725,76.581,1.432,0.0,"na","na",13.55,1.03,0.0,57.395,11.636,3.699,0.8,3.301,0.907,6.439,0.0,2.223,"na",0.0,41.856,0.0,1.304,1.18,"na",3.544,0.0,3.986,"na",256.028,"na",3.279,1.17,0.0
1970,0.0,1.516,20.956,10.171,"na",0.0,2.152,0.246,243.463,128.123,320.292,18.755,11.785,858.006,147.178,0.449,6.409,24.027,180.41,480.665,2.928,423.82,66.447,1178.298,39.81,"na",155.324,29.173,4.304,24.037,5.918,1.71,17.534,0.022,0.583,0.557,4.689,28.27,9.519,56.681,4.536,2.921,0.0,0.093,4.185,0.802,0.0,30.436,2.479,43.872,73.408,1.22,0.0,"na","na",15.004,1.304,0.0,57.854,12.67,3.827,1.542,2.921,1.884,5.891,0.0,2.767,"na",0.0,41.542,0.0,1.967,2.002,"na",3.094,0.0,3.558,"na",253.492,"na",4.106,1.17,0.0
1971,0.0,1.525,16.444,11.507,"na",0.175,2.174,0.134,240.966,129.723,340.042,20.131,12.024,888.589,150.111,0.515,7.81,25.598,196.063,486.552,3.18,443.74,73.5,1228.631,43.204,"na",157.03,29.044,4.397,29.075,6.28,1.176,13.455,0.022,0.327,0.61,5.047,32.387,10.682,48.857,3.373,2.943,0.0,0.093,1.379,0.465,0.0,33.384,2.665,42.489,79.408,1.326,0.0,"na","na",14.456,1.313,0.0,63.94,14.394,4.278,1.706,3.814,1.919,6.253,0.0,4.499,"na",0.0,52.034,0.0,1.511,2.294,"na",2.546,0.0,3.094,"na",272.254,"na",5.396,1.17,0.093
1972,0.0,1.485,17.056,11.553,"na",0.175,2.095,0.18,252.38,126.527,359.345,23.225,12.377,926.271,150.196,0.517,7.316,29.713,204.926,498.278,4.017,465.467,83.215,1285.617,50.695,"na",171.331,24.234,5.224,32.951,6.956,1.255,13.206,0.022,0.499,1.074,5.162,34.79,9.895,48.831,3.373,2.965,0.0,0.106,1.233,0.686,0.0,32.403,3.5,45.655,83.948,1.374,0.0,"na","na",15.419,1.242,0.0,68.138,15.265,4.441,1.432,4.013,1.931,7.593,0.0,7.341,"na",0.0,53.775,0.0,1.56,2.148,"na",3.394,0.0,3.642,"na",278.716,"na",6.024,1.17,0.826
1973,0.0,2.961,18.829,12.286,"na",0.331,2.572,0.171,247.535,126.13,375.291,23.933,12.451,922.942,149.109,0.459,8.094,30.032,198.587,499.453,3.424,473.316,93.42,1298.233,57.907,"na",178.831,26.587,5.317,36.827,7.57,1.083,15.229,0.022,0.756,0.579,5.153,28.521,10.085,47.696,3.838,2.462,0.0,0.093,1.556,0.64,0.0,34.507,2.965,37.554,69.973,1.277,0.0,"na","na",16.272,1.308,0.0,73.654,15.097,4.769,1.847,4.234,1.849,8.065,0.0,7.548,"na",0.0,59.905,0.0,1.326,2.329,"na",2.616,0.0,3.394,"na",278.213,"na",6.223,1.17,0.19
1974,0.0,4.972,21.878,13.874,"na",0.243,2.082,0.24,264.662,136.109,414.912,26.884,12.932,1004.751,162.911,1.081,8.129,34.623,216.391,535.358,4.347,522.001,106.942,1419.663,65.686,"na",197.936,27.85,6.046,41.675,8.596,1.732,17.638,0.022,0.499,0.579,6.116,30.921,12.122,56.23,4.071,2.232,0.0,0.08,1.724,0.791,0.0,33.203,3.266,36.208,79.009,1.909,0.0,"na","na",16.78,1.295,0.0,76.654,15.189,5.224,2.223,4.256,2.454,7.783,0.0,8.476,"na",0.0,57.302,0.0,2.316,2.979,"na",3.363,0.0,4.711,"na",307.285,"na",7.712,1.17,1.123
1975,0.0,5.135,23.478,14.888,"na",0.436,2.453,0.183,263.048,129.723,429.313,27.524,13.202,1009.372,156.142,1.674,8.155,35.753,230.452,534.695,5.103,516.428,116.254,1438.685,72.306,"na",195.037,32.236,6.139,43.611,9.515,1.816,17.059,0.022,0.327,0.605,6.793,26.058,12.153,60.108,3.838,2.227,0.0,0.164,1.808,0.523,0.0,39.669,3.429,35.855,80.678,1.688,0.0,"na","na",15.176,1.295,0.0,77.432,16.664,5.467,2.223,4.897,2.373,6.267,0.0,8.711,"na",0.0,57.686,0.0,2.002,2.97,"na",5.909,0.0,5.255,"na",306.215,"na",8.932,1.171,1.109
1976,0.0,4.941,20.019,14.154,"na",0.494,2.952,0.109,238.324,139.702,460.888,29.017,13.593,980.263,167.829,2.295,8.732,39.279,233.557,522.382,6.131,509.904,129.899,1441.151,82.934,"na",202.833,25.849,6.236,44.194,10.036,1.441,13.847,0.022,0.384,0.632,8.004,20.76,9.431,48.565,4.536,2.077,0.0,0.164,1.061,0.593,0.0,41.498,3.836,41.57,83.517,1.79,0.0,"na","na",17.249,1.184,0.0,82.051,15.499,5.803,2.634,5.317,2.093,5.1,0.0,8.105,"na",0.0,54.871,0.0,2.024,3.173,"na",8.375,0.0,4.278,"na",289.822,"na",10.584,1.171,1.874
1977,0.0,5.705,24.521,13.544,"na",0.437,3.522,0.224,315.514,151.276,503.115,30.581,14.048,974.93,182.509,3.098,9.988,41.833,226.831,613.61,7.062,443.624,145.085,1478.045,93.492,"na",198.564,34.89,6.501,46.134,10.257,1.967,17.582,0.022,0.27,0.95,9.038,39.633,12.118,76.323,3.954,2.13,0.0,0.15,1.763,0.744,0.0,45.277,3.964,54.623,72.223,1.397,0.0,"na","na",19.202,0.99,0.0,72.209,14.72,6.024,1.927,6.315,2.396,10.244,0.0,9.338,"na",0.0,53.532,0.0,2.409,2.859,"na",8.569,0.0,4.026,"na",225.858,"na",12.167,1.171,1.945
1978,0.0,7.663,24.508,14.675,"na",0.506,2.908,0.223,303.642,164.048,546.518,31.253,14.612,1043.54,196.601,3.677,10.747,43.345,235.911,621.938,9.886,519.54,159.438,1590.058,102.764,"na",217.001,31.561,6.828,43.226,11.919,1.825,18.362,0.022,0.256,1.083,9.93,40.385,9.745,68.36,4.071,3.31,0.0,0.141,1.26,0.698,0.0,56.175,6.209,45.534,68.271,1.803,0.0,"na","na",16.21,1.065,0.0,80.875,15.66,6.2,2.802,7.84,2.384,10.43,0.0,10.62,"na",0.0,57.779,0.0,2.258,1.878,"na",9.338,0.0,4.967,"na",286.328,"na",12.233,1.171,1.905
1979,0.0,10.536,27.602,14.246,"na",0.587,3.315,0.234,315.893,179.613,592.025,33.203,14.906,1073.072,214.193,4.349,11.381,44.26,255.088,658.966,9.731,516.571,180.48,1665.096,116.601,"na",212.622,29.684,6.943,48.556,13.095,2.289,18.384,0.022,0.292,0.977,9.608,46.556,10.876,66.419,4.303,3.951,0.0,0.141,1.401,0.826,0.0,54.169,5.383,43.074,79.112,2.325,0.0,"na","na",18.013,1.304,0.0,88.993,18.443,6.7,2.775,8.476,2.454,10.903,0.0,11.34,"na",0.0,61.231,0.0,1.883,3.063,"na",10.293,0.0,4.57,"na",285.935,"na",14.248,1.156,1.158
1980,0.0,14.973,28.732,13.467,"na",0.583,3.708,0.278,300.357,183.604,631.531,35.696,15.454,1067.775,219.862,4.271,12.461,46.757,271.606,648.9,9.853,521.436,200.754,1699.306,128.932,"na",222.512,33.448,7.341,58.221,14.292,2.395,19.069,0.022,0.256,1.158,9.802,29.551,10.222,69.527,3.954,3.774,0.0,0.115,1.268,0.837,0.0,55.441,5.582,40.765,86.356,1.989,0.0,"na","na",16.922,1.662,0.0,83.982,19.365,7.014,3.438,8.887,3.28,9.771,0.0,12.644,"na",0.0,59.255,0.0,2.36,1.343,"na",11.349,0.0,2.93,"na",282.002,"na",14.584,1.201,1.003
