title         = ASCII CSV version of worksheet 6, "Oil: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_oil_consumption_bbl.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = thousand barrels daily

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,433.206,107.069,347.916,"na",0.0,71.221,0.0,7481.742,3313.952,7638.758,242.359,62.545,22837.7,3418.194,176.371,424.478,517.764,3225.438,11233.149,953.602,12926.663,1619.842,30476.458,306.786,"na",1108.116,164.825,68.06,216.081,83.807,78.083,1714.153,199.77,26.79,13.493,130.886,269.111,110.828,1069.845,1448.73,84.972,40.594,73.122,122.448,46.724,80.847,252.605,200.494,982.178,1705.076,24.977,103.95,"na","na",296.359,41.046,478.934,99.752,57.206,71.716,84.871,75.846,108.745,53.976,1.02,142.55,"na",390.68,369.066,71.463,44.881,47.561,"na",96.42,36.783,43.856,"na",11522.188,"na",181.512,31.347,117.729
1966,0.0,447.824,118.685,372.146,"na",0.0,81.129,318.668,8563.17,3548.819,8288.459,269.532,72.647,24863.298,3673.574,185.348,457.876,572.892,3691.43,12582.904,987.249,13576.952,1740.33,33151.757,336.255,"na",1167.469,175.424,75.541,277.426,94.518,85.892,1922.303,225.527,35.467,14.066,140.039,319.677,134.809,1150.12,1555.519,93.077,44.726,80.925,117.926,52.364,84.379,281.899,221.436,1083.62,1945.192,37.414,100.78,"na","na",309.136,48.697,523.173,112.341,63.246,92.17,92.592,77.864,113.892,57.384,1.018,148.9,"na",394.031,416.708,83.376,49.358,55.993,"na",89.837,37.037,51.778,"na",12100.347,"na",185.042,68.51,127.854
1967,0.0,460.177,126.18,405.685,"na",0.0,101.827,350.395,9293.126,3866.126,8871.406,290.888,83.758,26670.067,4015.113,194.869,481.135,578.677,4307.849,13689.619,1024.528,14143.71,1797.09,35541.473,346.638,"na",1245.557,188.766,79.965,274.04,95.202,95.499,2005.072,239.186,33.433,15.214,115.86,388.806,141.582,1320.612,1676.376,109.517,53.552,86.061,114.766,58.718,88.029,289.765,244.593,1202.833,2388.41,64.809,97.691,"na","na",331.273,48.185,534.974,116.952,66.337,92.987,104.333,86.944,124.184,63.219,1.551,169.973,"na",397.384,408.876,103.583,54.869,61.973,"na",110.03,38.774,61.371,"na",12566.88,"na",186.999,100.338,138.497
1968,0.893,468.92,144.899,446.192,"na",0.0,120.457,405.103,10183.754,4107.31,9492.101,306.373,90.631,28979.847,4279.118,204.402,480.917,612.608,4919.066,14887.316,1062.516,15088.181,1902.26,38471.948,415.317,"na",1322.157,208.399,84.774,298.822,105.464,105.561,2240.972,264.468,35.505,18.133,120.665,412.305,159.898,1423.911,1781.887,112.585,58.318,90.229,121.11,65.054,91.629,324.761,269.477,1323.173,2765.208,95.531,94.448,"na","na",361.475,48.542,574.208,129.946,67.97,92.883,118.725,98.779,154.398,67.854,1.984,180.335,"na",399.684,457.898,128.404,60.694,81.13,"na",123.965,39.457,72.864,"na",13404.549,"na",196.396,102.08,150.065
1969,1.337,491.423,159.318,478.984,"na",0.0,148.472,468.288,11421.996,4376.249,10238.961,337.55,99.892,31640.685,4565.496,215.569,518.613,632.355,5755.458,16452.512,1109.534,15915.703,2014.085,41879.646,461.11,"na",1380.19,227.289,91.442,401.661,101.792,113.458,2529.731,318.114,37.831,19.067,91.691,470.398,185.001,1647.978,1921.516,120.318,69.569,101.012,131.106,71.221,95.885,392.945,298.434,1467.583,3284.039,129.949,91.8,"na","na",382.527,50.437,626.837,143.389,70.898,91.138,127.605,92.924,170.271,76.782,2.299,200.296,"na",404.209,516.938,126.424,65.223,87.97,"na",137.584,41.631,87.341,"na",14152.985,"na",197.871,123.714,165.283
1970,2.681,447.121,176.456,500.705,"na",0.0,172.553,511.709,12634.717,4826.363,11201.936,363.129,104.006,34213.459,5043.24,226.846,547.315,702.664,6653.987,18197.764,1171.831,16593.034,2096.114,45415.395,522.6,"na",1471.58,254.663,96.49,555.743,117.194,136.729,2774.231,353.309,43.131,21.634,117.276,535.6,207.93,1866.608,2030.304,130.214,74.897,117.526,138.217,79.645,100.045,390.95,343.633,1664.452,3876.209,162.315,88.973,"na","na",411.544,56.95,701.977,161.493,82.89,95.475,144.881,91.997,181.138,90.275,1.971,217.607,"na",407.681,562.017,138.432,78.574,102.809,"na",149.514,42.767,104.729,"na",14709.91,"na",205.518,128.258,179.128
1971,2.986,478.598,197.067,528.536,"na",0.0,189.469,525.208,13241.707,5126.54,12054.862,381.783,99.294,35886.056,5374.816,250.969,562.639,748.424,7388.645,19170.122,1240.021,17168.676,2225.03,47940.918,582.028,"na",1512.128,270.549,107.969,755.241,120.836,151.18,2899.478,353.96,49.006,24.025,122.261,595.056,215.672,2029.568,2038.429,143.716,79.621,132.699,142.984,88.137,104.382,416.998,381.091,1796.142,4285.448,183.346,87.532,"na","na",433.79,62.345,698.28,160.641,85.5,95.768,168.378,87.282,191.04,106.733,1.906,221.924,"na",411.155,531.452,122.779,86.911,114.387,"na",171.996,41.859,148.004,"na",15222.758,"na",211.308,108.502,195.373
1972,3.896,478.295,212.797,529.442,"na",15.483,196.511,566.885,14149.678,5547.118,13098.046,409.836,111.962,38394.301,5806.86,269.882,599.012,815.452,7941.556,20540.23,1338.601,18450.379,2406.13,51492.348,668.206,"na",1588.909,276.656,112.208,866.907,135.903,164.674,3048.409,371.56,53.675,24.808,139.976,624.668,228.476,2245.782,2156.549,165.309,90.006,144.069,154.866,96.568,108.368,448.047,421.24,1893.358,4570.639,190.761,94.72,"na","na",480.656,70.303,780.144,168.052,91.678,82.077,164.796,71.311,213.607,114.487,2.263,235.969,"na",438.233,542.501,151.927,94.649,142.748,"na",191.69,67.287,158.962,"na",16380.814,"na",238.336,111.719,211.965
1973,6.063,481.209,231.431,580.014,"na",17.738,207.978,597.896,15185.461,5981.45,14336.285,455.887,112.549,41324.491,6267.666,279.074,640.429,880.896,9076.436,22105.691,1450.424,19515.022,2632.307,55660.776,822.517,"na",1682.379,298.388,106.605,1061.218,132.243,184.897,3261.792,347.887,58.987,27.609,131.846,747.47,255.558,2507.926,2226.194,192.922,93.921,163.105,185.058,104.829,115.772,474.34,491.239,1989.645,5264.604,235.415,89.622,"na","na",514.71,80.909,811.965,172.562,96.933,95.961,193.339,73.318,238.11,121.927,2.939,265.196,"na",465.715,564.995,143.31,106.295,151.426,"na",239.057,68.266,202.41,"na",17317.933,"na",257.467,109.935,234.176
1974,8.395,481.421,208.066,599.227,"na",19.394,216.242,529.36,14267.433,6587.913,15239.539,469.037,116.699,39615.389,6899.337,281.932,628.378,909.144,9000.999,21779.106,1512.27,18931.855,2721.553,54854.928,887.48,"na",1712.654,266.148,103.692,1220.056,145.865,188.955,2969.527,310.544,65.784,31.532,145.932,777.78,223.808,2383.707,2070.629,180.156,96.436,178.354,193.982,103.845,117.654,464.899,530.554,1933.56,5068.186,243.814,82.033,"na","na",588.552,81.771,701.601,156.959,91.127,112.624,180.528,79.062,250.002,127.249,4.017,244.407,"na",487.686,508.721,140.933,108.627,153.653,"na",241.525,67.354,183.722,"na",16630.648,"na",263.206,67.511,228.391
