title         = ASCII CSV version of worksheet 7, "Oil: Consumption" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_oil_consumption_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes

"YEAR","AE","AR","AT","AU","AZ","BD","BG","BP_BELU","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,22.102,5.561,16.902,"na",0.0,3.702,0.0,383.972,168.325,385.163,11.999,3.053,1127.643,173.6,8.754,21.528,25.83,163.467,574.31,47.683,620.172,81.344,1512.805,14.878,"na",53.835,8.037,3.338,10.96,3.924,3.997,86.274,10.215,1.289,0.661,6.936,14.209,5.721,53.887,74.223,4.435,2.12,3.776,6.12,2.424,4.118,12.642,10.025,52.29,87.936,1.287,5.151,"na","na",14.229,1.997,25.286,5.105,2.718,3.579,4.176,3.777,5.409,2.744,0.0,7.147,"na",19.577,18.949,3.829,2.298,2.3,"na",5.021,1.994,2.164,"na",552.108,"na",9.34,1.486,5.606
1966,0.0,22.791,6.116,18.12,"na",0.0,4.226,16.257,438.238,180.256,417.625,13.381,3.544,1227.533,186.591,9.2,23.274,28.616,186.872,642.072,49.368,651.137,87.093,1645.158,16.218,"na",56.711,8.551,3.696,14.074,4.468,4.418,96.472,11.56,1.693,0.691,7.449,16.801,6.923,57.663,79.472,4.839,2.323,4.144,5.894,2.704,4.298,14.126,11.072,57.651,100.047,1.927,4.994,"na","na",14.761,2.367,27.384,5.761,3.014,4.499,4.556,3.878,5.62,2.902,0.0,7.447,"na",19.745,21.483,4.472,2.539,2.719,"na",4.548,2.008,2.564,"na",579.665,"na",9.448,3.247,6.093
1967,0.0,23.317,6.513,19.812,"na",0.0,5.316,17.941,474.212,196.394,446.868,14.443,4.083,1316.944,203.979,9.673,24.454,28.704,218.637,697.233,51.23,678.227,89.781,1763.812,16.759,"na",60.566,9.263,3.871,13.9,4.489,4.916,100.073,12.242,1.578,0.746,6.06,20.34,7.249,66.219,85.254,5.689,2.784,4.379,5.67,3.023,4.484,14.57,12.23,63.717,122.969,3.342,4.841,"na","na",15.783,2.418,27.999,5.956,3.17,4.54,5.145,4.335,6.089,3.204,0.071,8.429,"na",19.913,21.023,5.61,2.825,3.023,"na",5.595,2.102,3.05,"na",601.878,"na",9.504,4.756,6.623
1968,0.0,23.794,7.536,21.892,"na",0.0,6.3,20.854,521.003,209.335,479.52,15.25,4.433,1435.893,218.124,10.174,24.552,30.475,250.572,760.445,53.273,725.45,95.198,1915.412,20.139,"na",64.477,10.28,4.096,15.2,4.975,5.42,112.366,13.635,1.682,0.891,6.342,21.606,8.224,71.782,90.388,5.815,3.04,4.579,5.993,3.364,4.68,16.316,13.511,70.259,142.741,4.942,4.693,"na","na",17.294,2.45,30.111,6.63,3.253,4.572,5.883,4.936,7.62,3.442,0.092,8.866,"na",20.083,23.758,7.005,3.116,3.993,"na",6.37,2.145,3.643,"na",643.679,"na",10.034,4.852,7.201
1969,0.061,24.679,8.278,23.425,"na",0.0,7.736,24.053,582.838,222.581,515.036,16.711,4.871,1566.904,232.224,10.701,26.283,31.085,292.334,838.351,55.479,764.756,99.935,2081.939,22.109,"na",67.135,11.167,4.373,20.377,4.763,5.819,126.325,16.49,1.775,0.946,4.68,24.6,9.563,82.953,97.321,6.19,3.605,5.115,6.393,3.651,4.884,19.596,14.922,77.334,169.072,6.709,4.549,"na","na",18.211,2.532,32.899,7.291,3.378,4.509,6.303,4.632,8.387,3.85,0.107,9.895,"na",20.255,26.804,6.878,3.345,4.33,"na",7.061,2.257,4.369,"na",679.41,"na",10.016,5.864,7.919
1970,0.122,22.079,9.097,24.451,"na",0.0,8.986,26.211,645.482,245.084,562.887,17.932,5.07,1697.369,256.127,11.261,27.828,34.621,338.02,927.69,58.467,797.864,103.595,2260.256,25.197,"na",71.614,12.523,4.597,28.191,5.355,6.984,138.749,18.38,2.032,1.081,6.075,28.066,10.763,94.272,103.57,6.707,3.894,5.932,6.79,4.101,5.096,19.505,17.056,87.333,199.238,8.38,4.409,"na","na",19.601,2.852,36.51,8.198,3.975,4.744,7.183,4.581,8.864,4.61,0.093,10.714,"na",20.429,29.26,7.524,4.014,5.053,"na",7.719,2.318,5.254,"na",706.649,"na",10.396,6.079,8.582
1971,0.136,23.547,10.156,25.803,"na",0.0,9.889,26.855,674.681,259.892,604.879,19.023,4.819,1778.139,272.501,12.615,28.635,36.963,374.628,974.955,61.977,824.868,109.627,2383.018,27.974,"na",73.523,13.281,5.177,38.43,5.531,7.685,144.039,18.392,2.288,1.194,6.264,30.898,11.138,102.768,104.272,7.405,4.097,6.679,7.029,4.525,5.317,20.475,18.902,93.821,219.765,9.461,4.315,"na","na",20.709,3.126,35.988,8.092,4.103,4.699,8.319,4.29,9.423,5.437,0.089,10.876,"na",20.603,27.465,6.62,4.418,5.626,"na",8.952,2.261,7.522,"na",730.636,"na",10.608,5.143,9.388
1972,0.179,23.59,10.957,25.784,"na",0.757,10.282,29.075,722.156,281.892,659.196,20.375,5.492,1907.642,295.073,13.617,30.628,40.279,403.39,1046.621,67.087,890.506,118.954,2566.837,32.106,"na",77.395,13.612,5.376,44.175,6.297,8.419,152.236,19.379,2.514,1.228,7.15,32.54,11.865,114.123,110.537,8.586,4.679,7.259,7.584,4.984,5.535,22.091,20.943,98.188,234.466,9.876,4.687,"na","na",23.186,3.539,40.06,8.476,4.417,4.001,8.164,3.554,10.578,5.85,0.106,11.619,"na",22.02,28.067,8.25,4.839,7.08,"na",10.017,3.732,8.148,"na",789.925,"na",11.996,5.335,10.24
1973,0.28,23.604,11.866,28.206,"na",0.876,10.849,30.561,772.64,303.066,719.274,22.724,5.512,2049.49,317.508,14.01,32.69,43.488,459.752,1122.88,72.46,940.543,129.64,2768.764,39.618,"na",81.651,14.65,5.059,53.83,6.024,9.47,162.23,17.929,2.739,1.363,6.722,39.138,13.272,127.269,113.227,10.0,4.855,8.155,9.055,5.401,5.897,23.314,24.377,103.557,269.192,12.158,4.421,"na","na",24.657,4.055,41.29,8.609,4.679,4.662,9.597,3.641,11.742,6.255,0.138,13.066,"na",23.337,28.962,7.709,5.444,7.499,"na",12.43,3.751,10.333,"na",834.235,"na",12.87,5.241,11.303
1974,0.388,23.781,10.613,29.042,"na",0.967,11.284,26.875,725.783,333.061,763.993,23.359,5.693,1963.359,348.74,14.125,32.093,44.826,455.672,1105.204,75.439,912.211,133.998,2727.351,42.764,"na",83.008,13.031,4.925,61.89,6.675,9.719,146.979,16.025,3.036,1.557,7.42,41.081,11.561,121.007,105.258,9.39,4.969,8.932,9.468,5.352,5.993,22.834,26.261,100.755,259.032,12.55,4.046,"na","na",28.412,4.101,35.387,7.841,4.411,5.493,8.977,3.921,12.39,6.576,0.188,12.054,"na",24.438,26.27,7.599,5.587,7.655,"na",12.497,3.7,9.373,"na",800.791,"na",13.011,3.191,11.011
