title         = ASCII CSV version of worksheet 4, "Oil: Production" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_oil_production_bbl.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = thousand barrels daily

"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,282.0,13.297,275.674,7.0,"na",80.0,698.824,4857.76,20983.408,13018.994,2.139,35.114,10815.02,5328.232,60.996,13921.674,47.135,2239.535,898.588,5643.5,8386.996,10296.0,4333.808,31798.428,96.0,920.0,1.377,227.13,203.0,0.0,577.377,8.0,126.01,25.335,1.726,0.0,486.0,62.344,1313.0,1908.0,47.766,2371.0,"na",1220.0,362.0,1.0,274.0,0.0,0.0,66.0,233.0,265.776,"na",2219.0,0.0,0.0,0.0,0.0,"na",0.0,135.0,9014.0,"na",3503.0,0.0,0.0
1966,360.0,12.81,292.864,9.0,"na",96.0,697.242,5302.0,23085.047,13879.822,2.139,34.085,11478.172,5788.678,65.761,15381.396,54.411,2847.673,1002.15,6100.36,9360.761,10961.0,4291.275,34563.219,117.0,1012.0,1.203,292.196,199.0,0.0,738.586,7.0,121.712,28.98,1.603,0.0,474.0,95.868,1392.0,2132.0,39.077,2505.0,"na",1508.0,370.0,1.0,418.0,0.0,0.0,66.0,291.0,271.002,"na",2615.0,0.0,0.0,0.0,0.0,"na",16.244,153.0,9579.0,"na",3402.0,0.0,0.0
1967,382.0,10.902,318.631,21.0,"na",104.0,704.542,5762.0,24839.919,14969.579,2.056,31.085,12272.596,6268.992,72.978,16380.937,78.214,3142.733,1062.737,6586.222,10013.978,11736.0,4570.845,37112.515,147.0,1106.0,0.97,278.741,192.0,0.0,852.035,6.0,108.562,68.994,1.829,0.0,510.0,116.911,1228.0,2603.0,36.56,2522.0,"na",1733.0,411.0,1.0,319.0,0.0,57.0,74.0,324.0,278.841,"na",2825.0,0.0,0.0,0.0,0.0,"na",47.214,179.0,10219.0,"na",3576.0,0.0,0.0
1968,498.0,15.184,348.158,39.0,"na",122.0,702.255,6167.104,27634.535,16012.909,1.843,35.114,12795.575,6684.742,77.969,18250.098,84.571,4016.897,1239.769,7000.746,11257.969,12233.0,4681.73,40430.111,161.0,1194.0,0.832,320.237,176.0,0.0,932.914,5.0,166.384,92.693,1.721,0.0,599.0,120.418,1503.0,2840.0,34.583,2656.0,"na",2599.0,439.0,4.0,141.0,0.0,241.0,77.0,340.0,279.7,"na",3081.0,0.0,21.0,0.0,0.0,"na",67.046,191.0,10600.0,"na",3639.0,0.0,0.0
1969,599.0,49.901,361.532,45.0,"na",124.0,698.202,6566.0,30457.106,16818.393,1.204,36.427,13170.093,7096.045,77.959,20242.807,83.805,5094.419,1431.711,7412.775,12390.959,12595.0,4702.337,43627.199,176.0,1306.0,0.0,436.587,214.0,0.0,976.906,4.0,239.163,100.678,1.779,0.0,642.0,138.696,1521.0,3376.0,33.861,2819.0,"na",3108.0,461.0,9.0,540.0,0.0,327.0,75.0,356.0,281.089,"na",3262.0,0.0,53.0,0.0,0.0,"na",78.101,157.0,10828.0,"na",3631.0,0.0,0.0
1970,762.0,102.826,399.465,176.0,"na",136.0,693.497,7126.746,34104.098,18167.318,0.914,39.505,13952.084,7654.983,78.548,22762.118,63.947,6111.896,1979.495,7974.172,13904.207,13257.0,4829.411,48056.182,167.0,1473.0,0.0,615.519,226.0,0.0,1051.632,4.0,319.092,108.609,3.505,0.0,854.0,140.471,1549.0,3847.66,31.899,3036.0,"na",3357.0,487.0,18.0,1084.0,0.0,332.0,75.0,363.0,283.784,"na",3851.0,0.0,85.0,0.0,0.0,"na",87.455,140.0,11297.0,"na",3754.0,0.0,0.0
1971,1106.0,116.144,431.538,315.0,"na",129.0,676.679,7610.459,36793.729,18526.527,0.0,42.418,14044.965,8119.771,76.215,24701.709,80.385,5700.512,2387.084,8451.539,16352.636,13224.0,4722.923,50838.695,175.0,1582.0,0.0,791.439,224.0,0.0,809.143,4.0,290.847,116.059,4.886,0.0,892.0,148.228,1694.0,4572.422,28.538,3253.0,"na",2750.0,486.0,69.0,1531.0,6.0,294.0,64.0,430.0,292.344,"na",4821.0,0.0,106.0,0.0,0.0,"na",86.57,129.0,11156.0,"na",3615.0,0.0,0.0
1972,1300.0,142.875,444.116,337.0,"na",182.0,668.427,8064.128,39284.421,19204.501,0.58,44.3,14377.15,8568.497,70.918,26392.942,89.237,5722.468,2803.638,8935.236,18185.876,13520.0,4494.353,53661.571,171.0,1829.0,6.5,914.648,203.0,2.0,1089.109,78.0,207.956,125.888,7.848,0.0,1081.0,151.69,1466.0,5058.957,25.472,3339.0,"na",2248.0,506.0,93.0,1818.0,33.0,282.0,67.0,482.0,298.419,"na",6070.0,0.0,117.0,0.0,0.0,"na",83.56,141.0,11185.0,"na",3301.0,0.0,0.0
1973,1456.0,165.964,433.636,424.0,"na",231.0,673.929,8664.422,43929.295,19862.737,0.872,47.056,14530.309,9173.565,68.744,29932.446,89.739,5984.287,3356.158,9544.664,21197.12,13585.0,4792.375,58459.605,174.0,2114.0,40.56,1076.606,192.0,3.0,1111.106,209.0,164.934,152.148,8.811,0.0,1338.0,148.496,2018.0,5907.376,23.356,3080.0,"na",2211.0,525.0,91.0,2056.0,32.0,293.0,73.0,570.0,303.933,"na",7693.0,0.0,111.0,0.0,0.0,"na",81.704,166.0,10946.0,"na",3455.0,0.0,0.0
1974,1631.0,173.394,423.387,420.0,"na",198.0,686.473,9270.405,44558.272,19675.694,0.519,47.335,14055.122,9780.38,67.764,29667.294,85.596,5507.592,3578.185,10158.529,21894.104,13107.0,4367.984,58613.394,181.0,1993.0,47.62,1302.33,175.0,2.0,1035.561,177.0,144.976,204.32,9.748,0.0,1375.0,154.52,1977.038,6060.301,23.375,2603.0,"na",1558.0,653.0,81.0,2256.0,35.0,290.0,79.0,518.0,308.027,"na",8618.0,0.0,129.0,0.0,0.0,"na",87.202,187.0,10461.0,"na",3060.0,0.0,0.0
1975,1696.0,158.168,406.091,451.0,"na",187.0,713.801,9915.984,42123.623,19725.298,0.0,47.576,13698.664,10423.707,61.686,26181.005,77.88,5046.909,3807.99,10987.555,19732.864,12549.0,3697.971,55822.288,178.0,1735.0,34.702,1547.534,164.0,3.0,1002.659,161.0,228.25,226.61,33.658,0.0,1306.0,170.879,2270.559,5386.619,26.882,2132.0,"na",1514.0,806.0,98.0,1785.0,189.0,341.0,73.0,437.0,311.307,"na",7216.0,0.0,192.0,0.0,0.0,"na",97.105,216.0,10008.0,"na",2422.0,0.0,0.0
