title         = ASCII CSV version of worksheet 5, "Oil: Production" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_oil_production_mtoe.csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes

"YEAR","AE","AO","AR","AU","AZ","BN","BP_EU2","BP_FSU","BP_NONOECD","BP_NONOPEC","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OPEC","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CG","CN","CO","DK","DZ","EC","EG","GA","GB","GQ","ID","IN","IQ","IR","IT","KW","KZ","LY","MX","MY","NG","NO","OM","PE","QA","RO","RU","SA","SD","SY","TD","TH","TM","TN","TT","US","UZ","VE","VN","YE"
1965,13.657,0.655,13.765,0.346,"na",3.965,34.572,242.888,1052.282,626.214,0.103,1.679,515.597,266.711,3.046,698.777,2.206,106.531,44.905,281.894,418.666,489.615,226.267,1567.879,5.033,43.874,0.071,11.31,10.655,0.0,26.481,0.429,6.478,1.265,0.084,0.0,24.535,3.022,64.675,95.662,2.278,119.011,"na",57.982,18.054,0.0,13.497,0.0,0.0,3.394,11.605,12.821,"na",111.009,0.0,0.0,0.0,0.0,"na",0.0,6.671,427.687,"na",184.114,0.0,0.0
1966,17.434,0.631,14.644,0.445,"na",4.761,34.46,265.1,1155.187,667.508,0.103,1.632,547.117,289.723,3.284,769.696,2.526,135.402,50.012,304.726,467.056,521.229,223.879,1702.304,6.147,48.212,0.062,14.55,10.444,0.0,33.872,0.375,6.257,1.447,0.078,0.0,23.929,4.647,68.567,106.893,1.85,125.556,"na",71.669,18.49,0.0,20.59,0.0,0.0,3.394,14.494,13.075,"na",130.828,0.0,0.0,0.0,0.0,"na",0.771,7.563,454.527,"na",178.786,0.0,0.0
1967,18.499,0.537,15.962,1.039,"na",5.158,34.788,288.1,1242.341,719.227,0.099,1.488,584.235,313.748,3.642,819.248,3.591,149.105,53.026,329.016,499.778,557.374,238.276,1826.576,7.739,52.701,0.0,13.88,10.075,0.0,39.076,0.322,5.581,3.445,0.089,0.0,25.747,5.667,60.489,130.508,1.723,126.392,"na",82.363,20.464,0.0,15.713,0.0,2.823,3.812,16.138,13.456,"na",141.287,0.0,0.0,0.0,0.0,"na",2.241,8.851,484.209,"na",187.925,0.0,0.0
1968,24.183,0.75,17.488,1.934,"na",6.07,34.764,309.2,1382.677,771.558,0.089,1.688,610.126,335.473,3.902,912.046,3.901,191.018,62.05,350.719,562.457,581.913,244.647,1992.803,8.505,57.119,0.0,15.99,9.258,0.0,42.904,0.269,8.577,4.641,0.084,0.0,30.323,5.853,74.237,142.78,1.627,133.128,"na",123.859,21.901,0.192,6.964,0.0,11.968,3.979,16.981,13.535,"na",154.228,0.0,1.049,0.0,0.0,"na",3.191,9.485,502.893,"na",191.762,0.0,0.0
1969,29.008,2.458,18.107,2.226,"na",6.153,34.416,328.3,1518.121,807.97,0.058,1.743,625.294,355.122,3.89,1007.146,3.857,242.663,71.425,370.344,617.297,596.551,245.135,2143.416,9.277,62.218,0.0,21.74,11.234,0.0,44.784,0.214,12.295,5.027,0.085,0.0,32.411,6.723,74.921,169.264,1.591,140.908,"na",147.711,22.965,0.43,26.599,0.0,16.195,3.864,17.732,13.546,"na",162.741,0.0,2.639,0.0,0.0,"na",3.707,7.775,511.368,"na",190.806,0.0,0.0
1970,36.902,5.065,20.001,8.705,"na",6.75,34.082,353.039,1695.665,873.448,0.0,1.88,662.322,379.693,3.918,1131.501,2.955,292.254,98.767,395.028,692.428,627.744,251.766,2357.988,8.8,70.068,0.0,30.65,11.76,0.0,48.208,0.214,16.404,5.423,0.156,0.0,43.113,6.809,76.3,192.587,1.502,151.799,"na",159.545,24.179,0.86,53.395,0.0,16.442,3.864,18.08,13.677,"na",192.166,0.0,4.233,0.0,0.0,"na",4.151,6.934,533.497,"na",197.238,0.0,0.0
1971,53.561,5.721,21.571,15.255,"na",6.402,33.189,377.0,1830.649,889.72,0.0,2.022,665.535,402.672,3.802,1229.464,3.648,273.811,118.602,418.623,814.096,625.17,245.883,2496.184,9.203,75.164,0.0,39.41,11.676,0.0,37.099,0.214,14.952,5.795,0.212,0.0,45.032,7.185,83.443,228.685,1.353,162.549,"na",130.684,24.107,3.296,75.414,0.293,14.56,3.305,21.418,14.093,"na",240.8,0.0,5.278,0.0,0.0,"na",4.109,6.389,525.899,"na",189.877,0.0,0.0
1972,63.129,7.057,22.218,16.28,"na",9.062,32.767,400.4,1958.955,923.567,0.0,2.12,681.676,425.864,3.547,1316.664,3.991,275.135,139.683,443.547,908.283,639.704,234.28,2640.631,9.015,86.713,0.336,45.67,10.577,0.098,50.098,4.192,10.72,6.303,0.333,0.0,54.723,7.373,72.41,253.711,1.21,167.349,"na",106.82,25.098,4.455,89.796,1.615,14.004,3.472,24.073,14.428,"na",304.217,0.0,5.842,0.0,0.0,"na",3.977,7.002,527.893,"na",173.812,0.0,0.0
1973,70.511,8.175,21.601,20.394,"na",11.434,32.86,429.0,2184.493,953.242,0.0,2.242,686.841,454.574,3.429,1489.092,3.995,287.057,166.774,472.396,1054.953,640.829,249.327,2871.334,9.15,100.315,2.091,53.61,9.948,0.146,50.888,11.202,8.479,7.597,0.372,0.0,67.548,7.198,99.402,295.377,1.105,153.8,"na",104.633,25.859,4.348,101.274,1.561,14.511,3.775,28.391,14.637,"na",384.005,0.0,5.527,0.0,0.0,"na",3.878,8.221,514.655,"na",181.435,0.0,0.0
1974,78.986,8.541,21.145,20.179,"na",9.74,33.373,458.9,2215.187,944.966,0.0,2.255,664.216,484.378,3.38,1475.537,3.806,264.881,177.799,502.533,1088.959,618.199,227.032,2879.403,9.521,94.387,2.455,64.85,9.074,0.097,47.355,9.487,7.453,10.202,0.41,0.0,69.416,7.49,97.277,303.197,1.104,129.87,"na",73.586,32.416,3.87,111.126,1.708,14.362,4.089,25.801,14.836,"na",429.662,0.0,6.424,0.0,0.0,"na",4.139,9.261,491.396,"na",160.65,0.0,0.0
