title         = ASCII CSV version of worksheet 41, "Renewables: Consumption - Wind" from the 2012 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2012/BP_2012_wind_consumption_twh .csv
original data = http://www.bp.com/assets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2012/STAGING/local_assets/spreadsheets/statistical_review_of_world_energy_full_report_2012.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = terawatt-hours

"YEAR","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OEE","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","CA","CN","DE","DK","ES","FR","GB","IN","IT","MX","US"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1971,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1972,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1973,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1974,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1975,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1976,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1977,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1978,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1979,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1980,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1981,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1982,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1983,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1984,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1985,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1986,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1987,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1988,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1989,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1990,0.786,0.0,0.034,0.0,3.603,0.073,0.0,0.032,0.786,0.001,2.819,0.0,3.638,0.002,0.002,0.071,0.616,0.014,0.0,0.009,0.03,0.002,0.0,2.817
1991,0.987,0.0,0.123,0.0,3.97,0.112,0.0,0.122,0.987,0.001,2.983,0.0,4.093,0.002,0.009,0.1,0.748,0.015,0.0,0.009,0.113,0.003,-0.0,2.981
1992,1.539,0.0,0.221,0.001,4.459,0.201,0.0,0.22,1.539,0.001,2.92,0.0,4.68,0.003,0.131,0.275,0.925,0.103,0.0,0.033,0.088,0.002,-0.0,2.917
1993,2.291,0.0,0.31,0.004,5.362,0.308,0.0,0.311,2.291,0.001,3.067,0.002,5.672,0.031,0.212,0.6,1.045,0.116,0.002,0.217,0.095,0.004,0.0,3.036
1994,2.994,0.0,0.584,0.012,6.547,0.406,0.0,0.587,2.994,0.001,3.541,0.008,7.131,0.056,0.384,0.909,1.148,0.175,0.005,0.344,0.191,0.007,0.004,3.482
1995,3.87,0.0,1.122,0.01,7.138,0.506,0.0,1.123,3.87,0.001,3.259,0.008,8.26,0.057,0.616,1.5,1.189,0.27,0.005,0.392,0.496,0.009,0.006,3.196
